Old Chinese	Old Chinese	probability
ʦʰ	ʨʰ	1.0
ʔ_lʼ	t	1.0
ɯ_ʔ	u	1.0
ɯ_s	z̩	1.0
ɢʷ	-	1.0
ɢ	-	1.0
ɡʷ	-	1.0
ɡ_s	z	1.0
ŋ_s	ŋ_⁵³	1.0
z	s	1.0
w	k̚	1.0
uː	a	1.0
u_ʔ	w	1.0
u_#>	w_⁴⁴_#>	1.0
tʰ	ʦʰ	1.0
sʰ	ʦʰ	1.0
s_r	s	1.0
s	-	1.0
r_ɯ	i	1.0
r_aː	a	1.0
qʰʷ	-	1.0
qʰ	-	1.0
pʰ	pʰ	1.0
oː_#>	e_w_¹¹_#>	1.0
n_ʔ	n_³¹	1.0
n_s	n_⁵³	1.0
n_i	ɲ	1.0
n_a	n̩	1.0
l̥ʰ	tʰ	1.0
lʼ	tʰ	1.0
kʷ	k	1.0
j	-	1.0
i_u	u	1.0
hʷ	f	1.0
h_m	h	1.0
h	s	1.0
d_i	s	1.0
aː_l	o	1.0
a_b	p̚	1.0
<#_ɡ	<#	1.0
<#_ŋ	<#	1.0
<#_s	<#_ɕ	1.0
<#_r	<#	1.0
<#_q	<#	1.0
n	n	0.833
ŋ	ŋ	0.821
i	i	0.769
d	t̚	0.727
ʔ_s	ʦ	0.667
oː	ʊ	0.667
o	a	0.667
e	a	0.667
d_s	j_⁵³	0.667
b	pʰ	0.667
m	m	0.652
l	-	0.647
r	l	0.636
p	p	0.636
aː	ɔ	0.625
t	ʦ	0.6
a	ɔ	0.583
ʔ	-	0.571
k	k	0.556
ɡ	k̚	0.526
<#	<#_ʦʰ	0.5
<#	<#_ʋ	0.5
ɯ	u	0.455
k	c	0.444
a	-	0.417
t	t	0.4
ɯ	i	0.364
u	ʊ	0.364
r	-	0.364
p	f	0.364
eː	j_a	0.364
eː	a	0.364
ɯː	ɛ	0.357
#>	¹¹_#>	0.34
ʔ_s	ʨ	0.333
oː	ɔ	0.333
o	j_ʊ	0.333
e	-	0.333
d_s	⁵³	0.333
b	f	0.333
ɡ	t̚	0.316
#>	⁴⁴_#>	0.311
ʔ	w_³¹	0.286
ɯː	o	0.286
kʰ	ʦʰ	0.286
kʰ	kʰ	0.286
kʰ	h	0.286
u	j_ʊ	0.273
eː	-	0.273
d	tʰ	0.273
aː	a	0.25
l	j	0.235
i	-	0.231
m	-	0.217
ɯː	-	0.214
#>	¹_#>	0.198
ɯ	-	0.182
u	w	0.182
u	j_u	0.182
ŋ	n	0.179
n	-	0.167
ɡ	cʰ	0.158
ʔ	n_³¹	0.143
ɯː	j	0.143
kʰ	ç	0.143
m	ʋ	0.13
aː	-	0.125
l	o	0.118
#>	⁵³_#>	0.085
#>	³¹_#>	0.066
