East Low German	Insular North Frisian	probability
ˈœː	-	1.0
ˈyː	ˈyː	1.0
ˈoː	ˈɔː	1.0
ˈiː_t	ˈɪ_ɾ	1.0
ˈaɪ̯	-	1.0
ʃ_l	s_l	1.0
ɾ	ɾ	1.0
ɪ	ɪ	1.0
x	x	1.0
w	v	1.0
tʰ	tʰ	1.0
s_#>	s_#>	1.0
s	s	1.0
r	r	1.0
p	p	1.0
n_d	nʲ	1.0
l	l	1.0
kʰ	kʰ	1.0
h	h	1.0
f	f	1.0
b	b	1.0
<#_ˈa	<#_ˈɔː	1.0
#>	t_#>	1.0
æ	ɐ	0.946
m	m	0.929
n	n	0.895
z	s	0.889
k	k	0.875
ŋ	ŋ	0.846
v	v	0.84
ɡ	ɡ	0.8
n_#>	#>	0.75
ç	ç	0.714
t	t	0.686
ˈʏ	ˈɛ	0.625
ˈɔʏ̯	ˈɛ	0.6
j	ɡ	0.6
ʃ	s_k	0.545
ˈiː	ˈɪ	0.533
ˈuː	ˈʏ	0.529
ˈa	ˈa	0.524
ˈʊ	ˈʊ	0.5
ˈaː	ˈaː_r	0.5
ˈaː	ˈa_x	0.5
ˈɪ	ˈɪ	0.458
ʃ	s	0.455
d	d	0.45
ˈɛ	ˈɛ	0.444
ˈɔ	ˈɔ	0.429
ˈɒː	ˈɔː	0.429
ˈae̯	ˈiː	0.412
ˈɔʏ̯	ˈeː	0.4
j	j	0.4
ˈʏ	ˈœ	0.375
ˈɪ	ˈɛ	0.375
ˈɛː	ˈɛ	0.333
ˈɛː	ˈiː	0.333
ˈɛː	ˈeː	0.333
ˈɛ	-	0.333
ˈiː	ˈiː	0.333
ˈaʊ̯	ˈoː	0.333
ˈʊ	ˈʏ	0.3
ˈuː	ˈuː	0.294
ˈae̯	ˈɛ	0.294
ˈae̯	ˈeː	0.294
ˈɔ	ˈɔː	0.286
ˈɔ	ˈœ	0.286
n_#>	ə_#>	0.25
ˈɛ	ˈɔ	0.222
ˈʊ	ˈœ	0.2
ɡ	ç	0.2
d	tʰ	0.2
ˈaʊ̯	ˈɔa̯	0.19
ˈuː	ˈyː	0.176
ˈɪ	ˈʊ	0.167
v	-	0.16
ŋ	ˈiː	0.154
d	-	0.15
ˈɒː	ˈʊ	0.143
ˈɒː	ˈuː	0.143
ˈɒː	ˈeː	0.143
ˈɒː	-	0.143
ˈaʊ̯	ˈʊ	0.143
ˈaʊ̯	ˈɔ	0.143
ç	ŋ	0.143
ç	x	0.143
t	ɾ	0.137
ˈiː	ˈʏ	0.133
k	-	0.125
d	ɾ	0.125
z	ʃ	0.111
t	x_t	0.098
ˈaʊ̯	ˈœ	0.095
ˈaʊ̯	ˈuː	0.095
ˈa	ˈʏ	0.095
ˈa	ˈʊ	0.095
ˈa	ˈɔa̯	0.095
ˈa	ˈœ	0.095
ˈa	ˈeː	0.095
d	t	0.075
m	ə_f	0.071
æ	r_ə	0.054
