Icelandic	Danish	probability
a	ə	0.889
a	-	0.094
a	w	0.026
b̥	b̥	0.936
b̥	-	0.063
c	k	0.833
c	j	0.129
cʰ	kʰ	1.0
d̥	d̥	0.803
d̥	-	0.194
f	f	0.831
f	-	0.167
h	h	0.968
h	-	0.036
i	e	1.0
j	-	0.556
j	j	0.197
j	ˈyˀ	0.092
j	ˈeˀ	0.068
j	ð̞ˠ	0.045
j	ˈiː	0.034
j_ˈoːu̯	ˈyː	0.463
k	k	0.655
k	-	0.209
k	j	0.117
kʰ	kʰ	0.58
kʰ	ʋ	0.305
kʰ	-	0.11
l	l	0.922
l	lˀ	0.076
l_d̥	lˀ	1.0
l_ʏ	l	1.0
l̥	l	0.58
l̥	lˀ	0.414
m	m	0.781
m	mˀ	0.217
m_ʏ	m	1.0
n	n	0.933
n	lˀ	0.04
n	m	0.034
n_d̥	nˀ	1.0
nː	n	0.618
nː	nˀ	0.367
nː_ʏ	nˀ	1.0
n̥	n	0.92
n̥	nˀ	0.073
p	b̥	0.491
p	wˀ	0.364
p	p	0.111
r	ʁ	0.752
r	ɐˀ	0.114
r	ɐ	0.083
r	-	0.041
r_a	ɐ	1.0
r_t	ɐˀ	0.514
r_t	ɐ	0.463
r_ð	ɐˀ	1.0
r_ɪ	ɐ	0.463
rː̥	ɐ	0.463
r̥	-	0.846
r̥	ɐ	0.136
s	s	1.0
sː	s	1.0
t	t	0.39
t	-	0.389
t	ð̞ˠ	0.202
t_ʏ	ð̞ˠ	1.0
tʰ	ʦʰ	1.0
u	ˈɔˀ	0.138
u	-	0.12
u	w	0.12
v	ʋ	0.493
v	-	0.393
v	v	0.106
v_a	w	1.0
v_ʏ	w	0.163
v_ʏ	ə	0.163
x	j	1.0
ç	j	0.608
ç	h	0.245
ð	ð̞ˠ	0.635
ð	-	0.296
ð	nˀ	0.068
ð_ɪ	ɐ	1.0
ð_ʏ	ð̞ˠ	1.0
ŋ	ŋ	1.0
ŋ_ɡ̊	ŋˀ	1.0
ɑu̯	e	0.215
ɛ	-	1.0
ɛː	i	0.1
ɟ̊	ɡ̊	1.0
ɟ̊_a	ə	1.0
ɟ̊ː	ɡ̊	0.215
ɡ̊	-	0.474
ɡ̊	ɡ̊	0.356
ɡ̊	jˀ	0.091
ɡ̊	w	0.061
ɡ̊_a	ə	1.0
ɡ̊ː	ɡ̊	1.0
ɣ	-	0.644
ɣ	j	0.341
ɣ_ʏ	j	1.0
ɪ	ə	0.478
ɪ	-	0.279
ɪ	ɐ	0.224
ɲ	ŋ	0.463
ʏ	-	0.859
ʏ	ə	0.056
ʏ	i	0.032
ʏ	w	0.03
ʏ	j	0.029
ʰk	k	0.692
ʰk	-	0.287
ʰp	b̥	1.0
ʰt	t	0.631
ʰt	-	0.235
ʰt_ʏ	t	1.0
ˈa	ˈa	0.425
ˈa	ˈɛ	0.174
ˈa	ˈɑ	0.129
ˈa	ˈæ	0.074
ˈa	ˈʌ	0.074
ˈa	ˈe	0.057
ˈa	ˈo	0.056
ˈa_r	ˈɑˀ	1.0
ˈai̯	ˈœˀ	0.24
ˈai̯	ˈœ	0.209
ˈai̯	ˈɑ	0.209
ˈaː	ˈa	0.29
ˈaː	ˈæˀ	0.105
ˈaː	ˈɛ	0.105
ˈaː	ˈɛˀ	0.105
ˈaː	ˈɛː	0.105
ˈaː	ˈʌ	0.076
ˈaː	ˈɑː	0.074
ˈaː	-	0.054
ˈaː	ˈaː	0.053
ˈaːi̯	ˈeˀ	0.229
ˈaːi̯	ˈœ	0.229
ˈaːi̯	ˈœˀ	0.14
ˈaːi̯	ˈœː	0.14
ˈaːi̯	ˈɔˀ	0.14
ˈaːu̯	ˈɔˀ	1.0
ˈeːi̯	ˈœ	0.403
ˈeːi̯	ˈeˀ	0.087
ˈi	ˈe	0.574
ˈi	ˈoː	0.111
ˈi	ˈy	0.111
ˈi	ˈø	0.111
ˈiː	ˈiˀ	0.558
ˈiː	ˈiː	0.171
ˈiː	ˈyˀ	0.149
ˈiː	ˈuˀ	0.067
ˈiː	ˈɛˀ	0.041
ˈiː_r̥	ˈoˀ	0.463
ˈou̯	ˈʌ	1.0
ˈoːu̯	ˈoˀ	0.381
ˈoːu̯	-	0.177
ˈoːu̯	ˈoː	0.08
ˈoːu̯	ˈœ	0.08
ˈoːu̯	ˈʌ	0.08
ˈoːu̯	w	0.062
ˈoːu̯	ˈuˀ	0.061
ˈoːu̯	ˈo	0.06
ˈu	ˈu	0.263
ˈu	ˈy	0.263
ˈu	ˈɔ	0.212
ˈu	ˈyː	0.086
ˈuː	ˈuˀ	0.724
ˈuː	ˈyˀ	0.111
ˈuː	ˈu	0.049
ˈuː	ˈyː	0.047
ˈœ	ˈoˀ	0.194
ˈœ	ˈœˀ	0.194
ˈœ	ˈʌ	0.194
ˈœ	ˈa	0.119
ˈœ	ˈœ	0.119
ˈœ	ˈɑ	0.079
ˈœy̯	ˈøː	0.1
ˈœː	ˈeˀ	0.131
ˈœː	ˈoˀ	0.131
ˈœː	ˈoː	0.131
ˈœː	w	0.075
ˈœːy̯	ˈœˀ	0.701
ˈœːy̯	ˈʌ	0.168
ˈœːy̯	ˈøː	0.107
ˈɑu̯	ˈɑ	0.561
ˈɑu̯	ˈoː	0.162
ˈɑu̯	ˈɛ	0.162
ˈɑːu̯	ˈɔˀ	0.389
ˈɑːu̯	ˈʌˀ	0.179
ˈɑːu̯	ˈɔː	0.174
ˈɑːu̯	ˈɒˀ	0.076
ˈɑːu̯	ˈeː	0.05
ˈɔ	ˈo	0.404
ˈɔ	ˈɔˀ	0.137
ˈɔ	ˈɒ	0.104
ˈɔ	ˈɒː	0.104
ˈɔ	ˈʌ	0.104
ˈɔ	ˈe	0.071
ˈɔ	ˈoː	0.052
ˈɔu̯	ˈɛ	0.425
ˈɔu̯	ˈe	0.322
ˈɔu̯	ˈoˀ	0.172
ˈɔː	ˈœ	0.574
ˈɔː	ˈɒː	0.266
ˈɛ	ˈɛ	0.42
ˈɛ	ˈe	0.196
ˈɛ	ˈeˀ	0.093
ˈɛ	ˈeː	0.071
ˈɛ	ˈæ	0.054
ˈɛ	ˈɑ	0.045
ˈɛ	ˈa	0.044
ˈɛ	ˈi	0.042
ˈɛ	ˈɛː	0.034
ˈɛi̯	ˈeˀ	1.0
ˈɛː	ˈeˀ	0.214
ˈɛː	ˈɛˀ	0.141
ˈɛː	ˈuˀ	0.123
ˈɛː	ˈi	0.087
ˈɛː	ˈiˀ	0.084
ˈɛː	ˈɑ	0.084
ˈɛː	ˈɑˀ	0.084
ˈɛː	ˈɑː	0.061
ˈɛː	ˈe	0.043
ˈɛːi̯	ˈeˀ	0.364
ˈɛːi̯	ˈøː	0.292
ˈɛːi̯	ˈiː	0.111
ˈɛːi̯	ˈʌˀ	0.107
ˈɛːi̯	ˈɛˀ	0.047
ˈɪ	ˈœ	0.356
ˈɪ	ˈe	0.152
ˈɪ	ˈi	0.115
ˈɪ	ˈy	0.115
ˈɪ	-	0.084
ˈɪ	ˈɛ	0.081
ˈɪː	ˈe	0.253
ˈɪː	ˈɑ	0.253
ˈɪː	ˈiː	0.155
ˈɪː	ˈeˀ	0.089
ˈɪː	ˈiˀ	0.089
ˈʏ	ˈu	0.314
ˈʏ	ˈuː	0.153
ˈʏ	ˈø	0.153
ˈʏ	ˈɔ	0.105
ˈʏ	ˈuˀ	0.102
ˈʏ	ˈœˀ	0.098
ˈʏ_t	ˈu	0.463
ˈʏː	ˈuː	0.257
ˈʏː	ˈu	0.157
ˈʏː	ˈi	0.148
