Pennsylvania German	West Flemish	probability
b	b	1.0
d	d	0.84
d	-	0.108
d	t	0.052
eː	iə̯	1.0
f	v	0.774
f	p	0.226
h	-	0.886
h	ɦ	0.067
j	ɦ	0.722
j	j	0.278
k	ɦ	0.428
k	k	0.34
k	h	0.232
kʰ	k	0.98
l	l	0.688
l	w	0.298
m	m	0.886
m	-	0.114
n	n	0.783
n	n_d	0.11
n	-	0.066
p	f	0.753
p	v	0.13
p	p	0.117
p͡f	p	1.0
s	t	0.379
s	z	0.375
s	s	0.246
t	t	0.874
t	d	0.077
v	v	0.924
v	ʋ	0.076
x	h	0.576
x	k	0.424
ç	h	0.347
ç	k	0.308
ç	-	0.173
ç	ŋ	0.099
ç	ç	0.073
ŋ	ŋ	1.0
ɑ	ɾ	0.928
ɑ	-	0.072
ə	n	0.805
ə	-	0.154
ɡ	ɦ	0.945
ɡ	k	0.055
ɣ	ɦ	0.846
ɣ	-	0.154
ɪ	ə	0.405
ɪ	-	0.277
ɪ	m	0.159
ɪ	ɪ	0.159
ɾ	ɾ	0.867
ɾ	ˈæ_ɾ	0.089
ʃ	s	0.62
ʃ	ʃ_h	0.294
ʃ	z	0.086
ʋ	ʋ	0.979
ʦ	t	1.0
ˈa	ˈɑ	0.665
ˈa	ˈɒː	0.126
ˈa	ˈoː_ɾ	0.09
ˈa	ˈiə̯	0.069
ˈaɪ̯	ˈi	0.39
ˈaɪ̯	ˈiə̯	0.284
ˈaɪ̯	ˈyː	0.136
ˈaɪ̯	ˈeː	0.084
ˈaɪ̯	ˈɛ	0.059
ˈaʊ̯	ˈyː	0.84
ˈaʊ̯	ˈoː	0.106
ˈaʊ̯	ˈu	0.053
ˈaː	ˈoː	0.259
ˈaː	ˈæ	0.252
ˈaː	ˈɒː	0.155
ˈaː	ˈɔ	0.14
ˈaː	ˈɑ	0.126
ˈaː	ˈoː_ɾ	0.068
ˈeː	ˈɛː	0.353
ˈeː	ˈoː	0.229
ˈeː	ˈeː	0.175
ˈeː	ˈiə̯	0.111
ˈeː	j	0.051
ˈiː	ˈiə̯	0.724
ˈiː	ˈuə̯	0.204
ˈiː	ˈi	0.072
ˈoː	ˈoː	0.539
ˈoː	ˈɒː	0.387
ˈoː	ˈøː	0.073
ˈuː	ˈuə̯	1.0
ˈɔ	ˈɔ	0.419
ˈɔ	ˈœ	0.167
ˈɔ	ˈoː	0.116
ˈɔ	ˈu	0.1
ˈɔ	ˈøː	0.1
ˈɔ	ˈeː	0.098
ˈɔɪ̯	ˈɛː	1.0
ˈɔː	ˈoː	0.369
ˈɔː	ˈɒː	0.291
ˈɔː	ˈɑ	0.194
ˈɔː	ˈøː	0.056
ˈɛ	ˈeː	0.309
ˈɛ	ˈæ	0.198
ˈɛ	ˈɪ	0.132
ˈɛ	ˈɛ	0.113
ˈɛ	ˈɔ	0.067
ˈɛ	ˈɑ	0.057
ˈɛː	ˈæ	0.651
ˈɛː	ˈɒː	0.253
ˈɛː	-	0.096
ˈɪ	ˈɪ	0.572
ˈɪ	ˈœ	0.171
ˈɪ	ˈɛ	0.076
ˈɪ	ˈæ	0.076
ˈʊ	ˈu	0.422
ˈʊ	ˈuə̯	0.135
ˈʊ	ˈɔ	0.135
ˈʊ	ˈoː	0.123
ˈʊ	ˈɛː	0.117
ˈʊ	ˈœ	0.068
