Ripuarian	Ripuarian	probability
ˈʊ	-	1.0
ˈɔː	-	1.0
ˈøʏ̯	ˈiː	1.0
ˈu	-	1.0
ˈoʊ̯	-	1.0
ˈeɪ̯_#>	ˈaɪ̯_#>	1.0
ˈeɪ̯	-	1.0
ʦ	t	1.0
ʃ_#>	ʃ_k_#>	1.0
ʃ	ʃ	1.0
ɪ	-	1.0
ɣ	ɡ	1.0
ɡ̊	d̥	1.0
ə_f	v	1.0
t	t	1.0
s_#>	s_#>	1.0
s	t	1.0
p	p	1.0
n_ə	n_n	1.0
m	m	1.0
l_ˈeː	l	1.0
l	l	1.0
h	h	1.0
f_#>	p_#>	1.0
f	f	1.0
e	aɪ̯	1.0
d̥	d̥	1.0
d_ɐ	ɐ	1.0
d	d	1.0
b	b	1.0
<#_n	<#_n	1.0
ɫ	l	0.917
ɐ	ɐ	0.882
n	n	0.875
ʀ	r	0.871
k	k	0.857
z	s	0.833
ˈʏ	-	0.8
ə	n	0.786
ʋ	v	0.769
z̥	z̥	0.714
j	x	0.714
ˈa	ˈa	0.692
ˈe	ˈɪ	0.684
ˈɪ	ˈɪ	0.636
ˈøː	ˈøː	0.625
ŋ	n	0.619
ˈɔʊ̯	ˈaʊ̯	0.6
ŋ_ɡ̊	ŋ	0.6
v	v	0.6
ˈiː	ˈiː	0.583
ˈœ	ˈʏ	0.571
ˈɔ	ˈʊ	0.556
ˈo	ˈʊ	0.538
ˈeː	ˈaɪ̯	0.5
ɕ	ç	0.5
v̥	v	0.5
ˈuː	ˈaʊ̯	0.462
ˈo	-	0.462
ˈaː	ˈa	0.417
ˈɔʊ̯	ˈuː	0.4
ŋ_ɡ̊	n	0.4
v	ˈɪə̯_v	0.4
ŋ	ŋ	0.381
ˈɛː	ˈɪɛ̯	0.375
ˈɛː	-	0.375
ˈøː	-	0.375
ˈyː	ˈyː	0.375
ˈyː	-	0.375
ɕ	k	0.375
x	x	0.375
x	k	0.375
ˈeː	ˈeː	0.35
ˈoː	ˈɔː	0.333
ˈaː	-	0.333
v̥	ʋ	0.333
ˈɛ	ˈɪɛ̯	0.312
ˈuː	ˈuː	0.308
ˈoː	ˈoː	0.292
ˈœ	-	0.286
z̥	z	0.286
ˈɛː	ˈɛ	0.25
ˈɛ	ˈɛ	0.25
ˈɛ	-	0.25
ˈyː	ˈøː	0.25
ˈiː	-	0.25
x	x_t	0.25
ˈuː	ˈʊ	0.231
ʋ	ʋ	0.231
ˈɔ	ˈɔ	0.222
ˈɔ	-	0.222
ˈe	-	0.211
ˈʏ	ˈyːœ̯	0.2
ˈɛ	ˈa	0.188
ˈɪ	ˈiː	0.182
ˈɪ	-	0.182
ˈoː	-	0.167
ˈiː	ˈaɪ̯	0.167
ˈaː	ˈaː	0.167
ə	-	0.167
z	z	0.167
v̥	v̥	0.167
ˈeː	-	0.15
ˈœ	ˈyə̯	0.143
k	-	0.143
j	ɡ	0.143
j	j	0.143
ʀ	-	0.129
ˈoː	ˈaʊ̯	0.125
ɕ	k_ə	0.125
ɐ	-	0.118
ˈa	ˈɔ	0.115
ˈa	-	0.115
ˈe	ˈɛ	0.105
ˈoː	ˈuːə̯	0.083
ˈaː	ˈɒː	0.083
ɫ	l_ə	0.083
ˈa	ˈɪ	0.077
n	ˈɔː_n	0.062
n	-	0.062
