English	Proto-Germanic	probability
b	b	0.971
d	d	0.48
d	ð_ɑ̃	0.161
d	θ	0.093
d	ð	0.081
d	ð_ɑ	0.072
d	ð_i	0.061
f	ɸ	0.789
f	β_ɑ̃	0.117
f	β_ɑ	0.065
h	x	0.987
j	ɣ	0.377
j	j	0.357
j	ˈiu̯	0.182
j	ˈɑ	0.084
k	k	0.446
k	k_i	0.225
k	k_ɑ	0.174
k	x	0.066
kʰ	k	0.855
kʰ	ɸ	0.083
kʰ	kʷ	0.063
l	l	0.849
l	ɑ_l	0.078
l	x_l	0.054
m	m	0.69
m	m_ɑ	0.188
m	mː	0.06
n	n	0.672
n	nː	0.09
n	u_n	0.088
p	p_ɑ	0.418
p	p	0.314
p	p_ɑ̃	0.128
p	x	0.069
pʰ	p	1.0
s	s	0.927
s	s_ɑ̃	0.065
t	t_ɑ	0.336
t	t	0.326
t	x_t	0.109
t	t_i	0.088
t	t_u	0.057
t	t_ɑ̃	0.054
tʰ	t	0.927
tʰ	b	0.073
v	β	0.724
v	ɸ	0.257
w	w	0.813
w	xʷ	0.157
z	s	1.0
ð	θ	0.575
ð	ð	0.425
ŋ	ŋ	0.92
ŋ	n	0.08
ə	r_ɑ̃	0.159
ə	ɛː	0.15
ə	r	0.108
ə	u	0.09
ə	r_ɑ	0.077
ə	s_ɔːː	0.068
ə	ɔːː	0.059
ə	-	0.057
ə	e	0.05
əʊ̯	ɑ	0.552
əʊ̯	w	0.364
əʊ̯	ɑː	0.084
ɜː	ˈi	1.0
ɡ	ɣ	0.87
ɪ	iː	0.419
ɪ	ɑ_ɣ	0.277
ɪ	ɑ	0.185
ɪ	i	0.12
ɫ	l	0.494
ɫ	l_ɑ	0.261
ɫ	l_i	0.108
ɫ	l_u	0.079
ɹ	r	0.901
ɹ	x_r	0.065
ʃ	s_k	0.935
ʃ	ɸ	0.065
ʤ	ɣ_j	0.871
ʤ	z	0.129
ʧ	k	0.877
ʧ	kː	0.123
ˈaɪ̯	ˈiː	0.3
ˈaɪ̯	ˈi	0.203
ˈaɪ̯	ˈe	0.126
ˈaɪ̯	ˈeu̯_ɣ	0.066
ˈaɪ̯	ˈuː	0.052
ˈaʊ̯	ˈuː	0.574
ˈaʊ̯	ˈu	0.237
ˈaʊ̯	wː	0.105
ˈaʊ̯	ˈuː_z	0.083
ˈe	ˈe	0.287
ˈe	ˈɑ	0.186
ˈe	ˈɑu̯	0.155
ˈe	ˈi	0.106
ˈe	ˈɔː	0.069
ˈe	ɑi̯	0.052
ˈeɪ̯	ˈɑ	0.556
ˈeɪ̯	ˈɑ_ɣ	0.231
ˈeɪ̯	ˈe_ɣ	0.12
ˈeɪ̯	ˈɑ_x	0.056
ˈiː	ˈɑu̯	0.193
ˈiː	ˈɔː	0.176
ˈiː	ˈe	0.115
ˈiː	ˈeu̯	0.072
ˈiː	ˈiː_z	0.066
ˈiː	ˈɛː	0.065
ˈiː	ˈi	0.063
ˈiː	j	0.058
ˈiː	e	0.056
ˈuː	ˈɔː	0.382
ˈuː	j	0.168
ˈuː	ˈɑ_n	0.124
ˈuː	ˈeu̯	0.108
ˈuː	w	0.086
ˈuː	ˈɛː	0.051
ˈuː	ˈuː	0.05
ˈæ	ˈɑ	0.899
ˈæ	ˈe	0.101
ˈɐ	ˈu	0.699
ˈɐ	ˈɑi̯	0.084
ˈɐ	ˈɛː	0.073
ˈɑː	ˈɑ	0.54
ˈɑː	ˈɑ_r	0.21
ˈɑː	ˈɑ_l	0.139
ˈɑː	ˈe_r	0.111
ˈɒ	ˈu	0.421
ˈɒ	ˈɑ	0.414
ˈɒ	ˈɑi̯	0.165
ˈɔː	ˈu_r	0.584
ˈɔː	w	0.118
ˈɔː	ˈɑ_r	0.117
ˈɔː	ˈɑ	0.074
ˈəʊ̯	ˈɑi̯	0.608
ˈəʊ̯	ˈɑ	0.202
ˈəʊ̯	ˈu	0.124
ˈəʊ̯	ˈɑi̯_w	0.057
ˈɛ	ˈe	0.445
ˈɛ	ˈɑ	0.277
ˈɛ	ˈɛː	0.277
ˈɜː	ˈu_r	0.892
ˈɜː	ˈe	0.108
ˈɪ	ˈi	0.495
ˈɪ	ˈu	0.112
ˈɪ	ˈe	0.085
ˈɪ	ˈu_n	0.069
ˈɪ	ˈɑ	0.052
ˈʊ	ˈu	0.638
ˈʊ	ˈɔː	0.362
θ	θ	0.897
θ	θ_r	0.061
