Swabian	Pennsylvania German	probability
a	ə	0.974
a	ɑ	0.037
b	b	0.648
b	v	0.216
b	p	0.121
b̥	p	1.0
b̥͡f	p	1.0
d	t	0.519
d	d	0.433
d	-	0.045
e	-	0.121
f	f	1.0
h	h	1.0
i	ɪ	0.494
j	j	1.0
k	k	0.494
kʰ	kʰ	0.857
kʰ	-	0.122
l	l	0.967
l	n	0.033
l_e	l	1.0
m	m	0.947
m	n	0.052
n	n	0.969
n	v	0.037
p͡f	p	1.0
s	s	0.976
s	-	0.03
t	t	0.629
t	ç	0.361
x	x	0.907
x	ç	0.078
ç	ç	1.0
ŋ	ŋ	1.0
ɐ	ə	0.494
ə	-	0.494
ɡ	k	0.395
ɡ	ɡ	0.292
ɡ	ç	0.114
ɡ	ɣ	0.107
ɡ	j	0.069
ɪ	ɪ	1.0
ʁ	ɾ	0.973
ʁ	-	0.037
ʃ	ʃ	1.0
ʋ	ʋ	0.975
ʋ	v	0.039
ʌ	ɑ	1.0
ʕ	-	0.922
ʕ	ɾ	0.077
ʦ	ʦ	0.839
ʦ	s	0.156
ˈa	ˈa	0.859
ˈa	ˈɔː	0.082
ˈa	ˈaː	0.054
ˈa_ʕ	ˈaː	1.0
ˈae̯	ˈaɪ̯	0.774
ˈae̯	ˈɔː	0.115
ˈae̯	ˈeː	0.079
ˈao̯	ˈaʊ̯	0.57
ˈao̯	ˈɔː	0.269
ˈao̯	ˈʊ	0.087
ˈao̯	ˈoː	0.068
ˈaː	ˈɔː	0.59
ˈaː	ˈa_n	0.198
ˈaː	ˈaː	0.114
ˈaː	ˈa	0.085
ˈe	ˈɪ	0.436
ˈe	ˈɛ	0.274
ˈe	ˈɛː	0.158
ˈe	ˈa	0.107
ˈeə̯	ˈeː	0.74
ˈeə̯	ˈiː	0.137
ˈeː	ˈeː	0.836
ˈeː	ˈɛ	0.111
ˈeː	ˈɪ	0.042
ˈi	ˈɪ	0.616
ˈi	ˈiː	0.15
ˈi	ˈɪ_ç	0.15
ˈi	ˈɛ	0.07
ˈiə̯	ˈiː	1.0
ˈiː	ˈiː	0.822
ˈiː	ˈɪ	0.113
ˈo	ˈʊ	0.502
ˈo	ˈɔ	0.323
ˈo	ˈoː	0.09
ˈo	ˈaː	0.069
ˈoː	ˈoː	0.574
ˈoː	ˈɔ	0.201
ˈoː	ˈɔː	0.089
ˈoː	ˈʊ	0.089
ˈu	ˈʊ	0.616
ˈu	ˈɪ	0.375
ˈuə̯	ˈuː	1.0
ˈuː	ˈuː	1.0
ˈɔ	ˈɔ	0.38
ˈɔ	ˈa	0.149
ˈɔ	ˈaː	0.149
ˈɔ	ˈɔː	0.101
ˈɔ	ˈʊ	0.101
ˈɔe̯	ˈeː	0.904
ˈɔe̯	ˈɔɪ̯	0.089
ˈɔə̯	ˈʊ	0.494
ˈɔː	ˈɔː	0.504
ˈɔː	ˈoː	0.391
ˈɔː	ˈa_n	0.076
ˈəi̯	ˈaɪ̯	1.0
ˈɛ	ˈɛ	0.652
ˈɛ	ˈɛː	0.168
ˈɛ	ˈɪ	0.096
ˈɛ	ˈa	0.076
ˈɛː	ˈɛː	0.428
ˈɛː	ˈɛ	0.404
ˈɛː	ˈeː	0.129
ˈɪ	ˈɪ	1.0
ˈʌ	ˈɛː_ɾ	1.0
