German	English	probability
<#_b	<#_b	1.0
<#_d	<#_θ	1.0
<#_f	<#_f	1.0
<#_h	<#_h	1.0
<#_j	<#_j	1.0
<#_l	<#_l	1.0
<#_m	<#_m	1.0
<#_n	<#_n	1.0
<#_p͡f	<#_pʰ	1.0
<#_tʰ	<#_d	1.0
<#_v	<#_w	1.0
<#_z	<#_s	1.0
<#_ɡ	<#_ɡ	1.0
<#_ʁ	<#_ɹ	1.0
<#_ʦ	<#_tʰ	1.0
<#_ˈa	<#_ˈæ	1.0
<#_ˈɛ	<#	1.0
<#_ˈʊ	<#_ˈɐ	1.0
b	v	1.0
b_n	v	1.0
b̥_#>	f_#>	1.0
d_n	d	1.0
f	v	1.0
f_#>	p_#>	1.0
f_n	p	1.0
k_n	k	1.0
k_ə	ʤ	1.0
l_#>	ɫ_#>	1.0
l_ə	l_#>	1.0
m_#>	m_#>	1.0
m_ə	m	1.0
n_#>	n_#>	1.0
s	t	1.0
s_n	t	1.0
s_t	s_t	1.0
t_#>	d_#>	1.0
t_n	d	1.0
x	ˈiː_k_#>	1.0
x_#>	k_#>	1.0
x_t	t	1.0
z_ə	z	1.0
ç_#>	k_#>	1.0
ç_t	t	1.0
ŋ_#>	ŋ	1.0
ŋ_ə	ŋ	1.0
ɐ_#>	ə_#>	1.0
ə	-	1.0
ɡ̊	-	1.0
ɪ_ç	ɪ	1.0
ʁ_ə	ə	1.0
ʃ	ʃ	1.0
ʃ_#>	ʃ_#>	1.0
ʦ	t	1.0
ʦ_#>	t_#>	1.0
ˈa_n	ˈæ_n	1.0
ˈa_x	ˈaɪ̯	1.0
ˈaɪ̯_#>	ˈiː_#>	1.0
ˈaː_ɡ	ˈeɪ̯	1.0
ˈeː_#>	ˈəʊ̯_#>	1.0
ˈiː_ɐ	ˈiː_#>	1.0
ˈiː_ɡ	ˈaɪ̯_#>	1.0
ˈoː	-	1.0
ˈoː_n	ˈɐ_n	1.0
ˈoː_t	ˈe_d	1.0
ˈuː_#>	ˈaʊ̯_#>	1.0
ˈøː	ˈɪ	1.0
ˈɔ_l	ˈʊ_ɫ	1.0
ˈɔ_ɐ	ˈɔː	1.0
ˈɔʏ̯	ˈaɪ̯	1.0
ˈɛ_n	ˈe_n	1.0
ˈɛ_ɐ	ˈɑː	1.0
ˈɪ_n	ˈaɪ̯_n	1.0
ˈʊ_ɐ	ˈɜː	1.0
<#_ʃ	<#_ʃ	0.381
d	d	0.571
ʁ	-	0.091
ˈaɪ̯	ˈe	0.091
ˈaɪ̯	ˈɪ	0.091
ˈaʊ̯	ˈɐ	0.211
ˈaʊ̯	ˈaʊ̯	0.421
ˈaː	ˈeɪ̯	0.231
<#_kʰ	<#_ʧ	0.2
<#_kʰ	<#	0.2
d̥_#>	θ_#>	0.312
l	ɫ	0.32
ɐ	-	0.222
ɐ	ˈɜː	0.222
ˈuː	-	0.2
ˈuː	ˈɐ	0.2
ˈɔ	ˈɔː	0.2
ˈɔ	ˈɒ	0.2
ˈɔ	ˈɐ	0.2
ˈɪ	ˈaɪ̯	0.2
ˈʊ	-	0.222
v	-	0.3
ˈaʊ̯	ˈiː	0.263
ˈuː	ˈuː	0.3
ˈuː	ˈʊ	0.3
ˈyː	-	0.333
ç	ʧ	0.4
ˈa_ɐ	ˈɔː	0.4
ˈaː	-	0.154
ˈiː	ˈɪ	0.444
ˈɔ	-	0.4
ˈʏ	ˈɪ	0.714
k	-	0.25
k	k_ɪ	0.25
k	k	0.5
s_#>	t_#>	0.5
s_#>	s_#>	0.5
t	ð	0.25
t	t	0.75
ŋ	ŋ	0.5
ŋ	ŋ_ɡ	0.5
ˈa	ˈeɪ̯	0.235
ˈa	ˈæ	0.235
ˈa_l	ˈɑː	0.5
ˈa_l	ˈəʊ̯_ɫ	0.5
ˈaʊ̯	-	0.105
ˈeː	ˈe	0.25
ˈeː	ˈiː	0.25
ˈeː	ˈeɪ̯	0.25
ˈeː	ˈɪ	0.25
ˈɛ	ˈɪ	0.25
ˈɛ	ˈe	0.75
<#_kʰ	<#_kʰ	0.6
ç	k	0.6
ɐ	ˈɔː	0.556
ɡ	j	0.286
ɡ	ˈaɪ̯_#>	0.286
ˈa	ˈɒ	0.176
ˈa_ɐ	ˈɑː	0.6
ˈiː	ˈiː	0.556
ˈʏ	-	0.286
v	w	0.7
ˈyː	ˈiː	0.667
d̥_#>	d_#>	0.688
l	l	0.68
n	ˈuː	0.068
n	n	0.318
n	-	0.568
ˈa	ˈe	0.118
ˈa	ˈɑː	0.118
ˈa	ˈɔː	0.118
ˈaː	ˈɑː	0.308
ˈaː	ˈiː	0.308
ˈɪ	ˈɪ	0.8
ˈʊ	ˈɐ	0.778
<#_ʃ	<#_s	0.619
d	ð	0.429
ɡ	-	0.429
ʁ	ɹ	0.909
ˈaɪ̯	ˈəʊ̯	0.409
ˈaɪ̯	ˈaɪ̯	0.409
