Bavarian	Bavarian	probability
β	ʋ	1.0
ˈɑː	ˈa	1.0
ˈuɐ̯	ˈuː	1.0
ˈou̯	ˈoː	1.0
ˈo_ɐ	ˈaː	1.0
ˈiː	ˈɪ	1.0
ˈiɐ̯	ˈiː	1.0
ˈeɐ̯	-	1.0
ˈau̯	ˈaʊ̯	1.0
ˈai̯_ʃ	ˈeː_ʃ	1.0
ˈai̯	ˈaɪ̯	1.0
ʋ	ʋ	1.0
ʃ	ʃ	1.0
ɡ̊_a	k	1.0
ə	-	1.0
ɑ	-	1.0
ŋ_ɡ̊	ŋ	1.0
ç	ç	1.0
s_ˈo	s_ˈa	1.0
s_n	s_ə	1.0
s	s	1.0
l	l	1.0
j_β	l	1.0
j	l	1.0
i	ɪ_ç	1.0
h	h	1.0
f_a	f_ə	1.0
f	f	1.0
eɐ̯	eː	1.0
d̥_n	ə	1.0
d̥_a	ɑ	1.0
b̥͡v̥	p	1.0
b̥_#>	b̥_#>	1.0
b̥	b	1.0
<#_j	<#_j	1.0
r	ɾ	0.926
m	m	0.871
ʦ	ʦ	0.867
kʰ	k	0.846
ˈɑ	ˈa	0.8
ˈoɐ̯	ˈeː	0.8
ɐ	ɑ	0.769
ˈi	ˈɪ	0.741
n	n	0.727
ˈeː	ˈeː	0.714
ˈe	ˈɛ	0.7
x	x	0.688
#>	ɑ_#>	0.667
ˈaː	ˈɔː	0.6
a	ɑ	0.568
ˈu	ˈʊ	0.565
ˈɒː	ˈɔː	0.538
ˈoː	ˈɔ	0.5
ˈoː	ˈoː	0.5
ˈo	ˈɔ	0.5
ˈa	ˈa	0.5
ˈa	-	0.5
d̥	d	0.463
ŋ	ŋ	0.429
ˈaː	-	0.4
ɡ̊	ɡ	0.394
ˈo	ˈa	0.389
d̥	d̥	0.378
a	ə	0.378
#>	b̥_#>	0.333
x	ç	0.312
ˈɒː	ˈa	0.308
ˈe	ˈɛː	0.3
ˈeː	ˈɛ	0.286
ˈi	-	0.259
ɡ̊	k	0.242
ɐ	-	0.231
ŋ	ə	0.214
ŋ	j_ə	0.214
ɡ̊	ɡ̊	0.212
ˈɑ	-	0.2
n	ə	0.182
ˈu	ˈɪ	0.174
ˈu	-	0.174
d̥	t	0.159
ˈɒː	-	0.154
kʰ	k_ˈɛː	0.154
ŋ	ɣ_ə	0.143
ˈoɐ̯	-	0.133
ʦ	-	0.133
m	ʋ_ə	0.129
ˈo	ˈoː	0.111
ɡ̊	ɪ_ç	0.091
n	-	0.091
ˈu	ˈuː	0.087
r	-	0.074
ˈoɐ̯	ˈɔɪ̯	0.067
ɡ̊	ɣ	0.061
a	-	0.054
