West Frisian	Westphalian	probability
b	b	0.921
b	-	0.073
d	d	0.866
d	-	0.067
d	t	0.067
f	f	1.0
h	h	1.0
j	-	0.288
j	ˈaɪ̯	0.217
j	ˈiː	0.217
j	j	0.112
j	ˈɪə̯	0.074
j	ˈøː	0.064
j_ə	n	1.0
j_ˈuə̯	ˈyː	0.491
j_ˈɔ	ˈɛ	1.0
k	k	0.944
k	-	0.055
l	l	0.958
m	m	1.0
n	n	0.763
n	n_d	0.137
p	p	0.901
p	b	0.079
r	r	0.46
r	ɐ	0.374
r	-	0.11
r	d_ɐ	0.051
r_ˈɛ	r	1.0
s	s	0.565
s	ʃ	0.432
s_k	ʃ	1.0
t	t	0.703
t	d	0.178
t	-	0.065
t	l_t	0.052
v	w	0.522
v	v	0.225
v	-	0.088
v	f	0.088
v	b	0.071
z	z	0.45
z	s	0.209
z	ɡ	0.192
ŋ	ŋ	0.815
ŋ	ç	0.104
ŋ	-	0.076
ɕ	s	1.0
ə	-	0.474
ə	n	0.289
ə	ə	0.155
ə	ɪ	0.055
ə_r	ɐ	1.0
ɡ	x	1.0
ɣ	ɣ	0.561
ɣ	ɡ	0.322
ɣ	k	0.068
ɪ	ɪ	1.0
ʋ	w	1.0
ʦ	d	0.361
ʦ	t	0.361
ʦ	k	0.204
ʦ_j	d	0.491
ˈa	ˈa	0.639
ˈa	ˈɛ	0.116
ˈa	ˈɔː	0.067
ˈa	ˈɪ	0.067
ˈa	ˈaː	0.056
ˈa	ˈɒː	0.055
ˈaː	ˈaː	0.288
ˈaː	ˈɔː	0.231
ˈaː	ˈa	0.133
ˈaː	ˈeː	0.133
ˈaː	-	0.107
ˈaː	ˈɪɛ̯	0.069
ˈeː	ˈaɪ̯	0.5
ˈeː	ˈaʊ̯	0.5
ˈi	ˈiː	0.475
ˈi	ˈɪ	0.311
ˈi	ˈɪɛ̯	0.132
ˈi	ˈeː	0.054
ˈiə̯	ˈɔː	0.244
ˈiə̯	ˈaɪ̯	0.194
ˈiə̯	ˈeː	0.173
ˈiə̯	ˈøː	0.151
ˈiə̯	ˈɪɛ̯	0.109
ˈiə̯	ˈœː	0.054
ˈiə̯	ˈiː	0.053
ˈiː	ˈiː	0.721
ˈiː	ˈɪ	0.14
ˈiː	ˈeː	0.073
ˈiː	ˈa	0.052
ˈoə̯	ˈuːə̯	0.409
ˈoə̯	ˈɛ	0.2
ˈoə̯	ˈoː	0.092
ˈoə̯	ˈœː	0.083
ˈoə̯	ˈɔː	0.058
ˈoə̯	ˈɪə̯	0.058
ˈoː	ˈaʊ̯	0.361
ˈoː	ˈuː	0.361
ˈoː	ˈoː	0.204
ˈu	ˈʊ	0.667
ˈu	ˈuə̯	0.333
ˈuə̯	ˈoː	0.662
ˈuə̯	ˈaʊ̯	0.14
ˈuə̯	ˈuə̯	0.098
ˈuə̯	ˈyːœ̯	0.075
ˈuː	ˈuː	0.393
ˈuː	ˈʊ	0.306
ˈuː	-	0.099
ˈuː	ˈyː	0.099
ˈuː	ˈaʊ̯	0.077
ˈy	ˈa	1.0
ˈyː	ˈuː	0.394
ˈyː	ˈyː	0.168
ˈø	ˈɔː	0.574
ˈø	ˈʏ	0.282
ˈøə̯	ˈø	0.491
ˈɔ	ˈʊ	0.419
ˈɔ	ˈɔ	0.134
ˈɔ	ˈɪ	0.117
ˈɔ	-	0.088
ˈɔ	ˈiɛ̯	0.088
ˈɔ	ˈɪɛ̯	0.07
ˈɔ	ˈuːə̯	0.055
ˈɔu̯	ˈeː	0.183
ˈɔu̯	ˈʏ	0.183
ˈɔː	ˈɔ	0.474
ˈɔː	ˈa	0.351
ˈɔː	ˈɪə̯	0.131
ˈɛ	ˈɪɛ̯	0.321
ˈɛ	-	0.114
ˈɛ	ˈɛː	0.114
ˈɛ	ˈa	0.11
ˈɛ	ˈaː	0.102
ˈɛ	ˈɪ	0.074
ˈɛ	ˈaʊ̯	0.071
ˈɛi̯	ˈɛ	0.295
ˈɛi̯	ˈa	0.194
ˈɛi̯	ˈaː	0.194
ˈɛi̯	ˈɪ	0.194
ˈɛi̯	ˈɪɛ̯	0.085
ˈɛː	ˈɪɛ̯	0.242
ˈɛː	ˈɛː	0.157
ˈɛː	ˈʏ	0.157
ˈɛː	ˈa	0.148
ˈɛː	ˈeː	0.148
ˈɪ	ˈɪ	0.406
ˈɪ	ˈɛ	0.184
ˈɪ	-	0.136
ˈɪ	ˈyə̯	0.053
ˈɪ	ˈʏ	0.053
ˈɪə̯	ˈaʊ̯	0.418
ˈɪə̯	ˈa	0.139
ˈɪə̯	-	0.08
ˈɪə̯	ˈaɪ̯	0.08
ˈɪə̯	ˈɔː	0.066
ˈɪə̯	ˈœː	0.062
ˈɪə̯	ˈɪɛ̯	0.062
ˈɪə̯	ˈeː	0.052
ˈɵ	ˈøː	1.0
χ	ç	0.507
χ	x	0.414
χ	ɣ	0.075
