Standard German	Hessian	probability
ˈʏ	ˈi	1.0
ˈɪ	ˈi	1.0
ˈɛː	-	1.0
ˈœ	-	1.0
ˈøː	-	1.0
ˈaɪ̯_n	ˈãː	1.0
ʁ_ə	ɐ	1.0
ʁ	ʀ	1.0
ɪ	i	1.0
ə_n	ə	1.0
ɐ_n	ɐ_n	1.0
ɐ_#>	#>	1.0
ŋ	ŋ	1.0
z̥	s	1.0
z	s	1.0
v	v	1.0
n_d	n	1.0
n_#>	#>	1.0
m	m	1.0
l	l	1.0
kʰ_n	k_n	1.0
kʰ	kʰ	1.0
j	j	1.0
h	h	1.0
f_ˈyː	f	1.0
d̥	d̥	1.0
d_n	ə	1.0
b̥	b̥	1.0
b_ɐ	v_æ̆	1.0
b_n	v_ə	1.0
f	f	0.909
ə	-	0.889
ˈiː	ˈiː	0.867
ʦ	ʦ	0.867
ç	ʃ	0.867
ˈʊ	ˈu	0.846
ˈoː	ˈoː	0.846
d	d̥	0.842
ˈaː	ˈɑː	0.833
ʃ	ʃ	0.826
x	x	0.8
ˈɔʏ̯	ˈoi̯	0.778
ˈuː	ˈuː	0.75
s	s	0.75
ˈaɪ̯	ˈai̯	0.647
ˈɔ	ˈo	0.643
n	n	0.625
b	b̥	0.619
ˈaʊ̯	ˈau̯	0.611
ˈa_ɐ	ˈɑː	0.6
p͡f	-	0.6
tʰ	d̥	0.583
ɐ	æ̆	0.571
k	k	0.545
t	d̥	0.528
ˈyː	ˈi	0.5
ˈyː	-	0.5
ɡ̊	ʃ	0.5
ɡ̊	-	0.5
ˈa	ˈa	0.464
k	ɡ̊	0.455
ɡ	ɡ̊	0.45
ˈa	ˈɑ	0.429
ɐ	ɐ	0.429
tʰ	t	0.417
ˈa_ɐ	ˈɑ	0.4
p͡f	f	0.4
ˈaʊ̯	ˈaː	0.389
t	t	0.389
b	p	0.381
n	ə	0.375
ˈɛ	ˈɛ	0.368
ˈɔ	ˈɔ	0.357
ˈaɪ̯	ˈaː	0.353
ˈeː	ˈeː	0.333
ˈɛ	ˈe	0.316
ˈuː	ˈu	0.25
ˈeː	ˈɛː	0.25
ˈeː	ˈɛ	0.25
s	z̥	0.25
ˈɔʏ̯	-	0.222
ˈɛ	ˈæ	0.211
ɡ	ɣ̊	0.2
x	ɣ̊	0.2
ˈeː	-	0.167
ˈaː	-	0.167
d	t	0.158
ˈʊ	ˈɔ	0.154
ˈoː	-	0.154
ɡ	k	0.15
ˈiː	-	0.133
ʦ	-	0.133
ç	-	0.133
ə	ə	0.111
ˈa	-	0.107
ˈɛ	-	0.105
ɡ	ʒ̊	0.1
ɡ	j	0.1
f	v̥	0.091
ʃ	ʒ̊	0.087
ʃ	-	0.087
t	-	0.083
