Faroese	West Frisian	probability
ˈʏ	-	1.0
ˈʊ_nː	ˈɪ_n	1.0
ˈɪ_ɡ̊	ˈoː	1.0
ˈɛːi̯_j	ˈɪə̯	1.0
ˈɛːa̯_ɹ	ˈi	1.0
ˈɔːu̯_w	ˈuə̯	1.0
ˈɔːi̯	ˈɪə̯	1.0
ˈuː	-	1.0
ˈoː	-	1.0
ˈeː_v	ˈaː	1.0
ʰʧ	ˈy_k	1.0
ʰt͡n̥	t	1.0
ʰp	p	1.0
ʰk	k	1.0
ʧ	k	1.0
ʤ̊	-	1.0
ʊ_ɹ	d̥	1.0
ɹ_ʊ	ˈuə̯	1.0
ɹ_ʈ	t	1.0
ɲ	ˈɔ_ŋ	1.0
ɡ̊ː	-	1.0
ɡ̊_ʊ	ə	1.0
ŋ_ɡ̊	ŋ	1.0
ŋ	ŋ	1.0
w	-	1.0
v̥	-	1.0
t͡l̥	l	1.0
tʰ	d	1.0
t	t	1.0
s	s	1.0
r	r	1.0
p	p	1.0
n̥	n	1.0
nː	n	1.0
mː	m	1.0
m_j	m	1.0
m	m	1.0
l̥	l	1.0
l	l	1.0
kʰ_v	ʋ	1.0
k	k	1.0
h	h	1.0
f	f	1.0
b̥	b	1.0
n	n	0.971
ˈøː	-	0.94
ɹ	r	0.858
ʰt	t	0.789
a	ə	0.753
ɡ̊	-	0.717
ɪ_ɹ	ə_r	0.706
d̥	d	0.696
ʤ̊ː	-	0.649
ˈaːi̯	ˈiə̯	0.648
ˈiː	ˈɪ	0.635
ˈɛːi̯	ˈɪə̯	0.572
ˈɛːa̯	ˈa	0.57
ʃ	s_k	0.564
v_ʊ	ɣ̥	0.562
ˈʉːu̯	-	0.557
t͡n̥	n	0.522
ʧʰ	ʦ	0.5
ʧʰ	-	0.5
ɪ	-	0.499
t͡n̥	r	0.478
v	v	0.472
ˈai̯	ˈiə̯	0.466
j	d	0.448
ˈeː	ˈɪ	0.444
ˈʉːu̯	ˈuː	0.443
v_ʊ	f	0.438
ʃ	s	0.436
ˈɛːi̯	-	0.428
ˈɔ̯aː	ˈiə̯	0.417
ˈœ	-	0.408
ˈʊ	ˈɔ	0.394
ɪ	ə	0.394
ˈɪ	ˈɪ	0.368
ˈʊ̯iː	ˈi	0.366
ˈiː	-	0.365
ˈɔ̯aː	-	0.364
ˈɛ	ˈa	0.353
ˈaːi̯	-	0.352
ʤ̊ː	ɣ	0.351
v	ʋ	0.347
ˈœ	ˈɔ	0.341
ˈʊ	ˈu	0.339
ˈɔ	ˈoə̯	0.328
ˈeː	ˈɛi̯	0.326
ˈɪ	-	0.323
j	-	0.321
ˈɛːa̯	-	0.317
ʊ	ə	0.316
ˈɔːu̯	ˈiə̯	0.315
ˈʊ̯iː	j	0.31
d̥	-	0.304
ˈɛ	-	0.297
ɪ_ɹ	r	0.294
ɡ̊	ɣ	0.283
ʊ	ɣ̥	0.276
ʊ	-	0.276
ˈai̯	ˈɪ	0.273
ˈʊ	ˈuː	0.267
ˈɔːu̯	-	0.263
ˈai̯	-	0.261
ˈœ	ˈɛ	0.251
ˈɔ	-	0.236
ˈʊ̯iː	ˈiː	0.231
j	ˈɪə̯	0.231
ˈeː	-	0.229
ˈa	ˈa	0.224
ˈɔ̯aː	ˈoə̯	0.219
ˈɪ	ˈiː	0.216
ˈɔːu̯	ˈuə̯	0.211
ˈɔːu̯	j	0.211
ʰt	χ_t	0.211
ˈa	ˈɔː	0.188
v	-	0.181
ˈa	ˈɛː	0.177
ˈɛ	ˈɪ	0.149
ʊ	ə_n	0.132
ˈɔ	ˈa_χ	0.128
ˈa	ˈaː	0.118
ˈɔ	ʋ	0.116
a	j_ə	0.115
ˈɔ	ˈɛ	0.114
ˈɛːa̯	ˈɛː	0.113
ɪ	r	0.107
ˈɛ	ˈɛi̯	0.101
ˈɛ	ˈeː	0.101
ˈɪ	ˈi	0.094
ˈʊ̯iː	ˈɛ_j	0.093
ˈa	-	0.092
ˈa	ˈɛ	0.086
ɹ	ˈoə̯	0.08
ˈɔ	ˈɪə̯	0.077
a	ɪ	0.069
ɹ	-	0.063
a	n	0.063
ˈøː	ˈu̯o	0.06
ˈa	ˈøə̯	0.058
ˈa	ˈɛi̯	0.057
