Limburgish	Limburgish	probability
ˈʏː	-	1.0
ˈʏ	-	1.0
ˈʊ	ˈʊ	1.0
ˈɛːi̯	ˈiː	1.0
ˈɑ	ˈa	1.0
ˈœː	-	1.0
ˈœ_k	ˈɛ_ç	1.0
ˈœ	-	1.0
ˈøː	-	1.0
ˈæ	-	1.0
ˈyː	-	1.0
ʃ	s_k	1.0
ʀ_ə	ɐ_n	1.0
ɪ	ɪ	1.0
ɦ	h	1.0
ə_ʀ	ɐ	1.0
ə_x	ɪ_ç	1.0
ə_k	k	1.0
ŋ_k	ŋ	1.0
ŋ	ŋ	1.0
z̥_#>	s_#>	1.0
w	l	1.0
v̥	f	1.0
v	f	1.0
t_ˈi	tʰ	1.0
t_ə	t	1.0
p	p	1.0
n_ə	n	1.0
n_d̥	nʲ	1.0
m	m	1.0
i	aɪ̯	1.0
b	b	1.0
<#_β	<#	1.0
<#_ˈɑ	<#_ˈɔː	1.0
<#_ʀ	<#_r	1.0
<#_t	<#_tʰ	1.0
<#_p	<#_pʰ	1.0
<#_k	<#_kʰ	1.0
<#	<#_j	1.0
#>	n_#>	1.0
z	s	0.955
l	l	0.933
β	v	0.929
k	k	0.867
t	t	0.857
n	n	0.791
ˈuː	ˈʏ	0.778
ˈi	-	0.75
d	d	0.679
ˈu	ˈɔa̯	0.667
n_d	n	0.667
ɣ	ɡ	0.611
ˈœi̯	-	0.6
ˈæː	-	0.6
ˈɪː	ˈɪ	0.583
ˈiː	ˈɪ	0.583
ˈɪ	ˈɛ	0.571
ˈoː	-	0.571
j	ɾ	0.571
x	x	0.562
s	s	0.538
ˈɛ	ˈɛ	0.5
ˈɛ	-	0.5
ˈɔu̯	ˈʏ	0.5
ˈɔu̯	-	0.5
ˈɔ	-	0.5
ˈaː	-	0.5
ə	-	0.479
ʀ	r	0.468
ə	ə	0.458
ˈɪ	-	0.429
ˈoː	ˈɔ	0.429
ˈœi̯	ˈʏ	0.4
ˈæː	ˈa	0.4
d̥	ɾ	0.4
ˈɔː	ˈʊ	0.375
ˈɔː	ˈoː	0.375
ˈɒː	ˈɔː	0.364
ˈɛː	ˈeː	0.333
ˈɑː	ˈœ	0.333
ˈɑː	ˈa	0.333
ˈɑː	-	0.333
ˈu	-	0.333
n_d	nʲ	0.333
d̥	-	0.32
ʀ	ɐ	0.319
ˈɔ	ˈɔ	0.3
d	tʰ	0.286
ˈeː	-	0.28
ˈʊː	ˈʊ	0.273
ˈɒː	-	0.273
ˈaː	ˈɔː	0.273
s	s_k	0.269
ˈɛː	-	0.267
ˈɪː	ˈʊ	0.25
ˈɔː	-	0.25
ˈiː	ˈiː	0.25
ˈi	ˈeː	0.25
ˈʊː	ˈuː	0.227
ˈʊː	-	0.227
ˈuː	ˈyː	0.222
ɣ	-	0.222
ˈɛː	ˈɛ	0.2
ˈɛː	ˈiː	0.2
ˈɔ	ˈœ	0.2
ˈeː	ˈiː	0.2
s	s_t	0.192
x	ç_t	0.188
ˈʊː	ˈœ	0.182
ˈɒː	ˈuː	0.182
ˈɒː	ˈiː	0.182
ˈɪː	-	0.167
ˈiː	-	0.167
ɣ	ç	0.167
ˈeː	ˈeː	0.16
d̥	t	0.16
t	-	0.143
j	l	0.143
j	j	0.143
j	-	0.143
ˈaː	ˈa	0.136
k	ɡ	0.133
x	ˈaɪ̯	0.125
x	ç	0.125
ˈeː	ˈɛ	0.12
d̥	x_t	0.12
ˈʊː	ˈøː	0.091
ˈaː	ˈɔa̯_l	0.091
ʀ	ɐ_x	0.085
ˈeː	ˈɛ_ɾ	0.08
ˈeː	ˈøː	0.08
ˈeː	ˈyː	0.08
β	-	0.071
n	ˈœ_n	0.07
ʀ	x	0.064
ʀ	r_ˈœ	0.064
ə	l	0.062
