Standard German	Middle English	probability
ˈøː	ˈeː	1.0
ˈiː_ɡ	ˈiː_ə	1.0
ˈiː_ɐ	ˈeː	1.0
ˈaː_ɡ	ˈæi̯	1.0
ˈaː_ɐ	ˈɛː_r	1.0
ˈa_x	ˈi_ç	1.0
ˈa_n	ˈoː	1.0
ʦ	t	1.0
ɪ_ç	iː	1.0
ɡ̊	x	1.0
ɐ_ʦ	r_t	1.0
ɐ_n	r_n	1.0
z̥	s	1.0
tʰ	d	1.0
s_t	s_t	1.0
n_d	n_d	1.0
m	m	1.0
k_ə	ʤ	1.0
j	j	1.0
h	h	1.0
eː	eː	1.0
a	ə_θ	1.0
b̥	f	0.906
v	w	0.897
n	n	0.889
z	s	0.844
ʁ	r	0.831
ˈɛ	ˈɛ	0.793
ə	ə	0.766
kʰ	k	0.739
f	f	0.734
ˈʏ	ˈi	0.702
ˈʊ	ˈu	0.7
ˈɪ	ˈi	0.666
l	l	0.659
d̥	d	0.657
b	b	0.656
ˈuː	ˈoː	0.642
ˈyː	ˈeː	0.627
d	θ	0.614
ʃ	ʃ	0.607
ˈɔʏ̯	ˈeː	0.596
ŋ	ŋ_ɡ	0.586
ɐ	r	0.584
ˈiː	ˈeː	0.58
ˈɛː	ˈɛː	0.566
x	x	0.564
ˈa	ˈa	0.539
t	d	0.526
ˈaɪ̯	ˈɔː	0.523
ˈɔ	ˈu	0.467
s	t	0.467
s	t_ə	0.463
ç	k	0.438
x	k	0.436
ˈɛː	-	0.434
ˈaʊ̯	ˈuː	0.432
ˈaɪ̯	ˈiː	0.42
ˈɔʏ̯	ˈiː	0.404
ʃ	s	0.393
ɡ	ɡ	0.389
ˈɔ	ˈɔ	0.384
ˈyː	-	0.373
b	v	0.344
k	k	0.343
d̥	θ	0.343
ˈoː	ˈɛː	0.341
k	ʤ	0.331
k	k_ə	0.326
t	t	0.319
ˈaː	ˈaː	0.315
ɡ	ə	0.315
ˈeː	ˈɛ	0.299
ˈʏ	ˈiː	0.298
ˈeː	-	0.297
ˈɪ	ˈiː	0.289
ç	ç	0.286
ˈaʊ̯	ˈɛː	0.284
ˈa	ˈɔː	0.281
ç	-	0.276
ˈiː	-	0.275
ˈaː	ˈɛː	0.266
kʰ	ʧ	0.261
l	ɫ	0.253
ə	-	0.234
ˈoː	-	0.227
ɐ	ə_r	0.223
ŋ	ŋ	0.22
ˈoː	ˈu	0.216
ˈoː	ˈoː	0.216
ˈuː	ˈuː	0.215
d	ð	0.208
ˈʊ	-	0.197
ŋ	n_ɡ	0.194
d	d	0.177
ɡ	ˈæi̯	0.169
ˈaʊ̯	-	0.165
ˈaː	ˈa	0.162
ˈeː	ˈɛː	0.16
z	z	0.156
t	d_ə	0.155
ˈaː	-	0.152
ˈɔ	-	0.149
ˈiː	ˈɛː	0.146
ˈuː	ˈeː	0.143
f	p_ə	0.138
ˈa	ˈaː	0.137
ɡ	j	0.127
ˈeː	ˈi	0.124
ˈeː	ˈɔu̯	0.121
ɐ	r_ə	0.12
ˈaʊ̯	ˈu	0.118
ʁ	-	0.107
ˈaː	ˈæi̯	0.105
ˈʊ	ˈɔ	0.103
v	ʍ	0.103
n	-	0.094
b̥	ɔu̯	0.094
ˈɛ	ˈi	0.087
ˈɛ	-	0.086
f	v	0.075
ɐ	ˈɔ_r	0.073
s	s	0.07
ʁ	r_ˈeː	0.062
ˈaɪ̯	ˈi	0.057
f	p	0.053
