English	North Frisian	probability
b	b	1.0
d	d	0.551
d	-	0.209
d	dʲ	0.17
d	t	0.066
f	f	0.875
f	k	0.049
f	v	0.049
f	ə_v	0.038
h	h	1.0
j	j	0.322
j	ˈiː	0.322
j	ɡ	0.112
j	ˈai̯	0.112
k	k	0.588
k	k_ə	0.292
k	-	0.114
kʰ	k	1.0
l	l	1.0
m	m	0.815
m	m_ə	0.161
m	-	0.038
n	n	0.849
n	r_n	0.062
n	nʲ	0.05
n	ŋ	0.033
n_d	nʲ	1.0
p	p	0.611
p	p_ə	0.258
p	b	0.108
pʰ	p	0.244
s	s	0.977
s	ʃ	0.029
t	t	0.473
t	x	0.211
t	tʲ	0.169
t	d	0.06
t	t_ə	0.052
t	z_ə	0.034
tʰ	t	0.97
tʰ	b	0.04
v	v_ə	0.388
v	v	0.379
v	-	0.138
w	v	0.83
w	ˈuː	0.098
w	-	0.065
w_ˈʊ	ˈʊ	1.0
z	s	0.629
z	z	0.236
ð	d	1.0
ŋ	ŋ	1.0
ə	ə_r	0.445
ə	r	0.317
ə	ə	0.146
ə	-	0.044
ə	r_ə	0.041
əʊ̯	j	0.74
əʊ̯	-	0.137
ɡ	ɡ	0.704
ɡ	-	0.29
ɪ	i	0.882
ɪ	ˈa	0.09
ɫ	l	0.554
ɫ	ə_l	0.197
ɫ	l_ə	0.131
ɫ	lʲ	0.071
ɫ	j	0.046
ɫ_d	lʲ	1.0
ɹ	r	0.99
ɹ	-	0.033
ʃ	ʃ	0.904
ʃ	k	0.089
ʤ	-	0.66
ʤ	w	0.161
ʧ	k	0.457
ʧ	ʃ	0.339
ʧ	s	0.194
ˈaɪ̯	ˈi	0.344
ˈaɪ̯	ˈɒ	0.138
ˈaɪ̯	ˈiː	0.11
ˈaɪ̯	ˈyː	0.11
ˈaɪ̯	j	0.082
ˈaɪ̯	ˈa	0.073
ˈaɪ̯	ˈuː	0.047
ˈaɪ̯	ˈʊ	0.047
ˈaɪ̯	w	0.043
ˈaʊ̯	ˈyː	0.632
ˈaʊ̯	ˈøː_j	0.202
ˈaʊ̯	ˈuː	0.081
ˈaʊ̯	ˈøː	0.076
ˈe	ˈyː	0.264
ˈe	ˈɛː	0.161
ˈe	ˈɔː	0.11
ˈe	-	0.096
ˈe	ˈɒː	0.081
ˈe	ˈeː	0.063
ˈe	ˈʊ	0.063
ˈe	ˈɔi̯	0.053
ˈe	ˈøː	0.046
ˈe	ˈiː	0.045
ˈe	ˈi	0.04
ˈeɪ̯	ˈeː	0.195
ˈeɪ̯	ˈɛi̯	0.17
ˈeɪ̯	ˈɔː	0.142
ˈeɪ̯	nʲ	0.112
ˈeɪ̯	ˈi	0.112
ˈeɪ̯	ˈɒ	0.112
ˈeɪ̯	ˈɛː	0.112
ˈiː	ˈiː	0.257
ˈiː	ˈɛi̯	0.236
ˈiː	ˈuː	0.139
ˈiː	ˈeː	0.126
ˈiː	ˈiː_ə	0.079
ˈiː	ˈɛ	0.079
ˈiː	ˈi	0.042
ˈiː	ˈɛː	0.038
ˈuː	ˈɔu̯	0.224
ˈuː	ˈɛi̯	0.197
ˈuː	ˈɛː	0.139
ˈuː	ˈœ	0.128
ˈuː	-	0.088
ˈuː	ˈuː	0.057
ˈæ	ˈœ	0.412
ˈæ	ˈɒː	0.125
ˈæ	ˈɛ	0.125
ˈæ	ˈeː	0.105
ˈæ	ˈɔː	0.094
ˈæ	ˈʊ	0.091
ˈɐ	ˈʊ	0.409
ˈɐ	ˈɔu̯	0.169
ˈɐ	ˈœ	0.136
ˈɐ	ˈaː	0.089
ˈɐ	ˈyː	0.089
ˈɐ	ˈɒ	0.089
ˈɑː	ˈɒː	0.287
ˈɑː	ˈeː_r	0.23
ˈɑː	ˈa_r	0.152
ˈɑː	-	0.132
ˈɑː	ˈɒ	0.096
ˈɑː	ˈuː	0.072
ˈɒ	ˈɔː	0.325
ˈɒ	ˈa	0.163
ˈɒ	ˈiː	0.163
ˈɒ	ˈʏ	0.115
ˈɒ	ˈɒ	0.111
ˈɒ	ˈʊ	0.078
ˈɔː	ˈɔ	0.488
ˈɔː	r	0.187
ˈɔː	ˈɒ	0.081
ˈɔː	ˈɒː	0.081
ˈɔː	ˈɔː	0.063
ˈɔː	j	0.062
ˈɔː	ˈɔu̯	0.038
ˈəʊ̯	ˈiː	0.409
ˈəʊ̯	ˈœ	0.125
ˈəʊ̯	ˈyː	0.109
ˈəʊ̯	ˈɔu̯	0.067
ˈəʊ̯	ˈi	0.065
ˈəʊ̯	ˈɔː	0.065
ˈəʊ̯	ˈai̯	0.055
ˈəʊ̯	ˈɒ	0.054
ˈəʊ̯	ˈɔ	0.052
ˈɛ	ˈɒː	0.3
ˈɛ	ˈɛː	0.17
ˈɛ	ˈɔː	0.084
ˈɜː	r	0.341
ˈɜː	ˈœ_r	0.293
ˈɜː	ˈa	0.129
ˈɪ	ˈi	0.167
ˈɪ	ˈiː	0.125
ˈɪ	ˈʊ	0.123
ˈɪ	ˈa	0.119
ˈɪ	ˈeː	0.096
ˈɪ	ˈuː	0.06
ˈɪ	ˈai̯	0.053
ˈɪ	ˈaː	0.053
ˈɪ	ˈʏ	0.053
ˈɪ	-	0.035
ˈɪ	ˈɔː	0.034
ˈɪ	ˈøː	0.033
ˈɪ	ˈɛ	0.033
ˈʊ	ˈʊ	0.401
ˈʊ	ˈœ	0.353
θ	t	0.437
θ	s	0.235
θ	d	0.224
θ	tʲ	0.07
θ	z	0.037
