Northern Low Saxon	West Flemish	probability
#>	#>	0.8
#>	ə_#>	0.163
<#	<#	1.0
<#_h	<#	1.0
b	b	0.676
b	p	0.312
d	t	0.689
d	d	0.275
f	v	0.86
f	f	0.138
h	z	0.263
i	ə	1.0
j	j	0.263
kʰ	k	0.979
l	l	0.889
l	w	0.073
l_d	t	1.0
m	m	0.766
m	v_n	0.136
m	n	0.053
n	n	0.954
p	p	1.0
r	ɾ	1.0
s	s	0.827
s	z	0.157
t	t	1.0
tʰ	t	1.0
v	ʋ	0.937
v	v	0.063
x	h	0.859
x	ɦ	0.14
z	z	0.934
z	s	0.069
ç	h	0.389
ç	ɦ	0.237
ç	ç	0.136
ç	ŋ	0.106
ç	-	0.08
ŋ	ŋ	0.846
ŋ	ɦ_n	0.148
ɐ	ɾ	0.904
ɐ	ə_ɾ	0.065
ɡ	ɦ	0.617
ɡ	k	0.382
ɪ	ə	0.425
ɪ	ɪ	0.25
ɪ	m	0.147
ʃ	s	0.612
ʃ	ʃ	0.208
ʃ	z	0.171
ʒ	j	1.0
ˈa	ˈɑ	0.936
ˈaɪ̯	ˈiə̯	0.572
ˈaɪ̯	ˈɛː	0.42
ˈaʊ̯	ˈoː	0.621
ˈaʊ̯	ˈuə̯	0.353
ˈaʊ̯_l	ˈu	1.0
ˈaː	ˈæ_ɾ	0.478
ˈaː	ˈɒː	0.152
ˈaː	w	0.137
ˈaː	ˈɑ	0.137
ˈeɪ̯	ˈɛː	0.488
ˈeɪ̯	ˈeː	0.33
ˈeː	ˈeː	0.65
ˈeː	ˈɒː	0.144
ˈeː	ˈɑ	0.106
ˈeː	ˈiə̯	0.08
ˈiː	ˈi	0.716
ˈiː	ˈyː	0.109
ˈiː	ə	0.085
ˈiː	ˈœ	0.085
ˈoː	ˈɒː	0.801
ˈoː	ˈoː	0.142
ˈoː	ˈøː	0.061
ˈuː	ˈyː	0.68
ˈuː	ˈuə̯	0.143
ˈuː	ˈu	0.143
ˈyː	ˈiə̯	0.715
ˈyː	ˈyː	0.206
ˈø	ˈɛ	0.388
ˈø	ˈæ	0.199
ˈøː	ˈoː	0.37
ˈøː	ˈøː	0.287
ˈøː	ˈeː	0.139
ˈœ	ˈɔ	0.512
ˈœː	ˈæ	0.512
ˈɔ	ˈɔ	0.852
ˈɔ	ˈu	0.108
ˈɔʏ̯	ˈuə̯	0.511
ˈɔʏ̯	ˈoː	0.472
ˈɛ	ˈæ	0.533
ˈɛ	ˈɛ	0.336
ˈɛ	ˈeː	0.096
ˈɛɪ̯	ˈɒː	0.392
ˈɛɪ̯	ˈæ	0.231
ˈɛɪ̯	ˈɛː	0.231
ˈɪ	ˈɪ	0.579
ˈɪ	ˈɛ	0.22
ˈɪ	ˈiə̯	0.071
ˈɪ	ˈœ	0.055
ˈɪ	-	0.052
ˈɪ	ə	0.052
ˈʊ	ˈu	0.608
ˈʊ	ˈœ	0.234
ˈʊ	ˈɔ	0.131
ˈʏ	ˈœ	0.336
ˈʏ	ˈiə̯	0.193
ˈʏ	ˈʏ	0.193
ˈʏ	ˈɪ	0.136
ˈʏ	ˈɛː	0.096
