Slovenian	Slovenian	probability
́_r	ˈ	1.0
́_#>	#>	1.0
ʦ	ʦ	1.0
ʒ̊	ʒ	1.0
ʒ	ʒ	1.0
ʋ_#>	v_ʊ_#>	1.0
ʋ	v	1.0
ɡ̊	ɡ_ʊ	1.0
ɡ	ɡ	1.0
ɛ_#>	ɛ_#>	1.0
ə_̀	r	1.0
ə_w	l_ɪ	1.0
ə_r	r_ʊ	1.0
ə_m	m_ɪ	1.0
ɔː_́	l	1.0
ɔː_̀	ɔ	1.0
ɔ_#>	ɔ_#>	1.0
ɔ	ɔ	1.0
z̥	z	1.0
z	z	1.0
x_#>	x_ʊ_#>	1.0
uː	u	1.0
u	u	1.0
t_a	t_ɑ	1.0
t	t	1.0
s_ə	s	1.0
r_#>	r_ʊ_#>	1.0
p	p	1.0
oː_́	ɔ̃	1.0
o	ɔ	1.0
m	m	1.0
l	l	1.0
k	k	1.0
iː_̀	i	1.0
eː_́	ɛ	1.0
eː_̀	æ	1.0
d̥	d_ʊ	1.0
d	d	1.0
b̥	b	1.0
b	b	1.0
aː_̀	ɑ	1.0
a	ɑ	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_d	<#_d	1.0
s	s	0.941
́	ˈ	0.9
n	n	0.882
aː	ɑ	0.833
i	i	0.8
r	r	0.789
̀	ˈ	0.786
oː	ɔ	0.769
j	j	0.75
x	x	0.714
ɛː	ɛ	0.667
ʧ	ʧ	0.6
e	ɛ	0.6
#>	ʊ_#>	0.558
eː	æ	0.536
t_#>	t_ɪ_#>	0.533
ɛ	ɛ	0.5
w	l_ʊ	0.5
iː	ɯ	0.5
iː	i	0.5
t_#>	t_ʊ_#>	0.467
#>	ˈ_#>	0.442
ʧ	ʃ_t	0.4
e	æ	0.4
ɛː	ɛ̃	0.333
ɛ	æ_ˈ	0.333
ə	ɪ	0.312
x	ʊ	0.286
eː	ɛ	0.286
ə	r_ɪ	0.25
ə	-	0.25
w	ʊ	0.25
w	ɪ	0.25
j	-	0.25
oː	ɔ̃	0.231
̀	-	0.214
i	ɯ	0.2
ə	ʊ	0.188
eː	ɛ̃	0.179
ɛ	ɛ̃	0.167
n	nʲ_ɪ	0.118
aː	-	0.111
r	ɪ_ˈ	0.105
r	ɪ	0.105
s	s_ʊ	0.059
aː	a	0.056
