Bulgarian	Čakavian	probability
ˈɤ_ɫ	ûː	1.0
ˈɛ_#>	e_#>	1.0
ˈu	ûː	1.0
ʧ	ʧ	1.0
ʦ	ʦ	1.0
ʒ	ʒ	1.0
ɡ̊	ɡ̊	1.0
ɡ	ɡ	1.0
ɛ_m	a_n	1.0
z	z	1.0
x	x	1.0
vʲ_ˈa	ʋ_îː	1.0
v	ʋ	1.0
t	t	1.0
s	s	1.0
r_ˈɤ	r̩̂	1.0
r_ˈa	r_ǎː	1.0
mʲ	m	1.0
m	m	1.0
lʲ_ˈa	l_î	1.0
l_ɛ	ǔː	1.0
l	l	1.0
k	k	1.0
j_ɐ	t_i	1.0
i	iː	1.0
f_#>	ʋ_#>	1.0
d̥	d̥	1.0
d	d	1.0
b̥	b̥	1.0
b	b	1.0
r	r	0.913
n	n	0.889
p	p	0.818
ɫ	l	0.8
ɛ	e	0.75
ɐ	a	0.682
o	o	0.667
ˈɤ	-	0.625
ˈa	â	0.538
ˈi	î	0.5
ˈɛ	ê	0.417
ˈɔ	ô	0.389
ˈɤ	ûː	0.375
ˈɛ	î	0.333
ˈɔ	ôː	0.333
o	ô	0.333
ˈi	îː	0.3
ˈɔ	o	0.278
ˈɛ	êː	0.25
ˈi	i	0.2
ɫ	-	0.2
p	-	0.182
ˈa	âː	0.154
ˈa	a	0.154
ɐ	aː	0.136
ɛ	ê	0.125
ɛ	a	0.125
n	ɲ	0.111
ɐ	uː	0.091
ɐ	-	0.091
r	r̩̂	0.087
ˈa	îː	0.077
ˈa	î	0.077
