Upper Franconian	Upper Franconian	probability
β	v	1.0
ˈɛː	-	1.0
ˈɘ	ˈoː	1.0
ˈɒ_l	ˈu	1.0
ˈiː_s	ˈuə̯_t	1.0
ˈaː_#>	ˈɛː_n_#>	1.0
ˈaʊ̯	ˈyː	1.0
ˈa	h_ˈæ	1.0
ʦ	t	1.0
ʃ_d̥	s_t	1.0
ɾ_ɐ	ɾ	1.0
ɪ	ˈɛː_m	1.0
ɡ̊_s	s	1.0
ɡ̊_r	ɦ_ɾ	1.0
ɡ̊_n	k_n	1.0
ɡ̊_#>	ɦ_ə_#>	1.0
ə	ə_n	1.0
ɐ_d̥	ɾ_d̥	1.0
z̥	t	1.0
x_d̥	h_t	1.0
v̥	p	1.0
v	ʋ	1.0
t	t	1.0
s_#>	t_#>	1.0
r_ˈɪ	ɾ_ˈœ	1.0
r	ɾ	1.0
l_#>	ə_l_#>	1.0
j	j	1.0
f_#>	p_#>	1.0
f	v	1.0
eː	iə̯	1.0
b̥͡v̥	p	1.0
<#_ˈɒ	<#_ˈɒː	1.0
<#_ʦ	<#_t	1.0
<#_r	<#_ɾ	1.0
<#_n	<#_n	1.0
<#_h	<#	1.0
<#	<#_ɦ	1.0
#>	k_#>	1.0
m	m	0.905
ˈɪ	ˈɪ	0.765
ɐ	ɾ	0.765
n	n	0.755
ˈɒ	ˈɑ	0.739
l	l	0.73
b̥	b	0.714
ˈiː	ˈiə̯	0.667
ŋ	ŋ	0.643
s	z	0.643
ɡ̊	k	0.632
ˈoː	ˈɒː	0.625
ˈuː	ˈuə̯	0.579
ç	k	0.556
a	ə	0.533
ʃ	s	0.522
ˈeː	ˈeː	0.5
ˈaː	ˈoː	0.5
x	k	0.5
i	ɪ	0.5
i	ç	0.5
d̥	d	0.464
ˈuː	ˈoː	0.421
d̥	d̥	0.411
ˈaɪ̯	ˈi	0.409
ˈɛ	ˈæ	0.4
ˈʊ	ˈu	0.385
ɡ̊	-	0.368
ŋ	ɦ_n	0.357
ˈɔ	ˈɔ	0.333
ˈaː	ˈeː	0.333
a	n	0.333
ˈʊ	ˈɔ	0.308
ˈɛ	-	0.3
x	ɦ̥	0.3
b̥	v̥	0.286
l	w	0.27
ˈɔ	ˈoː	0.267
ʃ	ʃ_h	0.261
ˈoː	ˈɑ	0.25
ˈeː	ˈoː	0.25
ˈeː	-	0.25
s	z̥	0.25
ˈaɪ̯	ˈiə̯	0.227
ˈaɪ̯	-	0.227
ˈiː	-	0.222
ç	ɦ̥	0.222
ç	h	0.222
ʃ	z	0.217
ˈɛ	ˈeː	0.2
x	ɦ_ə	0.2
ˈaː	ˈɛː	0.167
ˈʊ	ˈoː	0.154
ˈʊ	-	0.154
ɐ	ə_ɾ	0.147
ˈaɪ̯	ˈyː	0.136
ˈɔ	ˈɑ	0.133
ˈɔ	ˈœ	0.133
ˈɔ	-	0.133
a	-	0.133
n	ə	0.132
ˈoː	ˈøː	0.125
d̥	t	0.125
ˈɪ	ˈæ	0.118
ˈɪ	-	0.118
ˈiː	ˈuə̯	0.111
s	s	0.107
ˈɛ	ˈɛ	0.1
m	v_n	0.095
ɐ	ɾ_ə	0.088
ˈɒ	ˈɔ	0.087
ˈɒ	ˈɒː	0.087
ˈɒ	-	0.087
n	n_d	0.075
