Upper Franconian	Upper Franconian	probability
β	v	1.0
ˈɘ	ɾ	1.0
ˈɒ_l	ˈu	1.0
ˈiː_s	ˈuə̯_t	1.0
ˈaʊ̯	ˈyː	1.0
ˈa	h_ˈæ	1.0
ʦ	t	1.0
ʃ_d̥	s_t	1.0
ɾ_ɐ	ɾ	1.0
ɡ̊_s	s	1.0
ɡ̊_r	ɦ_ɾ	1.0
ɡ̊_n	k_n	1.0
ɡ̊_#>	ɦ_ə_#>	1.0
ə	-	1.0
z̥	t	1.0
x_d̥	h_t	1.0
v_ˈaɪ̯	ʋ	1.0
v	ʋ	1.0
t	t	1.0
s_#>	t_#>	1.0
r	ɾ	1.0
j	j	1.0
f_#>	p_#>	1.0
f	v	1.0
eː	iə̯	1.0
b̥͡v̥	p	1.0
<#_ˈɒ	<#_ˈɒː	1.0
<#_r	<#_ɾ	1.0
<#_n	<#_n	1.0
<#_h	<#	1.0
<#	<#_ɦ	1.0
m	m	0.909
n	n	0.8
ɐ	ɾ	0.788
l	l	0.744
ˈɒ	ˈɑ	0.739
ˈiː	ˈiə̯	0.667
b̥	b	0.652
ˈɪ	ˈɪ	0.65
ŋ	ŋ	0.643
s	z	0.643
ˈoː	ˈɒː	0.625
ɡ̊	k	0.591
ˈuː	ˈuə̯	0.579
ç	k	0.545
a	ə	0.533
ˈaɪ̯	ˈi	0.529
ʃ	s	0.522
ˈeː	ˈeː	0.5
x	k	0.5
i	ɪ	0.5
i	ç	0.5
#>	ɦ̥_#>	0.5
#>	k_#>	0.5
d̥	d̥	0.431
ˈuː	ˈoː	0.421
d̥	d	0.414
ɡ̊	-	0.409
ˈɛ	ˈæ	0.4
ˈaː	ˈoː	0.4
ˈʊ	ˈu	0.357
ŋ	ɦ_n	0.357
a	n	0.333
ˈɔ	ˈɔ	0.312
ˈɔ	ˈoː	0.312
ˈɛ	-	0.3
x	ɦ̥	0.3
ˈaɪ̯	-	0.294
ˈʊ	ˈɔ	0.286
ç	-	0.273
ˈaː	ˈeː	0.267
ʃ	ʃ_h	0.261
b̥	v̥	0.261
l	w	0.256
ˈoː	ˈɑ	0.25
ˈeː	ˈoː	0.25
ˈeː	-	0.25
s	z̥	0.25
ˈiː	-	0.222
ʃ	z	0.217
ˈʊ	-	0.214
ˈɛ	ˈeː	0.2
ˈaː	ˈɛː_n	0.2
x	ɦ_ə	0.2
ç	ɦ̥	0.182
ˈaɪ̯	ˈiə̯	0.176
ɐ	ə_ɾ	0.152
ˈɪ	ˈœ	0.15
ˈʊ	ˈoː	0.143
ˈaː	ˈɛː	0.133
a	-	0.133
ˈɔ	ˈɑ	0.125
ˈɔ	ˈœ	0.125
ˈɔ	-	0.125
ˈoː	ˈøː	0.125
n	ə	0.12
ˈiː	ˈuə̯	0.111
s	s	0.107
ˈɪ	ˈæ	0.1
ˈɪ	-	0.1
ˈɛ	ˈɛ	0.1
m	v_n	0.091
ˈɒ	ˈɔ	0.087
ˈɒ	ˈɒː	0.087
ˈɒ	-	0.087
b̥	-	0.087
d̥	t	0.086
n	n_d	0.08
ɐ	ɾ_ə	0.061
