North Frisian	Northern Low Saxon	probability
b	b	0.94
b	-	0.062
d	d	0.836
d	-	0.154
dʲ	d	1.0
f	f	1.0
h	h	1.0
i	ɪ	0.622
i	-	0.239
i	i	0.109
j	ç	0.177
j	-	0.15
j	ɡ	0.15
j	l	0.099
j	r	0.099
j	ʒ	0.08
j	ˈaɪ̯	0.075
j	ˈeː	0.075
j	x	0.062
j_ə	ɡ	1.0
k	ɡ	0.426
k	kʰ	0.291
k	-	0.105
k	ç	0.06
k	k	0.052
k	x	0.052
k_ə	ɡ	1.0
l	l	0.92
l	-	0.077
lʲ	l	0.561
lʲ	l_d	0.281
m	m	1.0
n	n	0.937
n	-	0.057
nʲ	n	0.62
nʲ	n_d	0.336
p	b	0.826
p	p	0.144
p_ə	b	1.0
r	-	0.376
r	r	0.371
r	ɐ	0.246
r_s	s	1.0
s	s	0.443
s	z	0.267
s	ʃ	0.236
t	d	0.517
t	t	0.189
t	tʰ	0.152
t	-	0.126
tʲ	d	1.0
v	v	0.86
v	p	0.058
v	f	0.051
v_ə	m	0.882
v_ə	f	0.092
w	x	0.361
w	ˈeː	0.361
w	ɡ	0.208
x	x	0.559
x	ç	0.405
z	d	0.461
z	z	0.165
z	-	0.115
z	s	0.109
ŋ	ŋ	0.723
ŋ	ç	0.122
ŋ	n	0.075
ŋ	-	0.074
ə	n	0.333
ə	-	0.316
ə	ɐ	0.301
ə_v	f	1.0
ɡ	ɡ	1.0
ʃ	ʃ	0.761
ʃ	kʰ	0.141
ʃ	z	0.081
ˈa	ˈɪ	0.439
ˈa	ˈa	0.225
ˈa	ˈʏ	0.171
ˈa	ˈaː	0.083
ˈa	ˈœː	0.065
ˈa_r	ɐ	0.425
ˈa_r	ˈa	0.161
ˈai̯	ˈɪ	0.37
ˈai̯	ˈiː	0.281
ˈaː	ˈøː	0.361
ˈaː	ˈɪ	0.361
ˈaː	ˈeː	0.208
ˈeː	ˈiː	0.254
ˈeː	ˈɛ	0.139
ˈeː	ˈa	0.108
ˈeː	ˈaː	0.092
ˈeː	ˈeː	0.092
ˈeː	ˈø	0.092
ˈeː	ˈɛɪ̯	0.071
ˈeː	ˈœ	0.061
ˈi	ˈiː	0.558
ˈi	ˈɪ	0.365
ˈi	ˈɔʏ̯	0.063
ˈiː	ˈaɪ̯	0.585
ˈiː	ˈɔʏ̯	0.118
ˈiː	ˈiː	0.088
ˈiː	ˈeɪ̯	0.069
ˈiː	ˈeː	0.058
ˈiː_ə	ˈaɪ̯	1.0
ˈuː	ˈaʊ̯	0.703
ˈuː	ˈaː	0.101
ˈuː	ˈuː	0.076
ˈuː	ˈa	0.061
ˈuː	ˈoː	0.061
ˈyː	ˈuː	0.319
ˈyː	ˈaʊ̯	0.279
ˈyː	-	0.058
ˈyː	ˈɔʏ̯	0.058
ˈyː	ˈʊ	0.058
ˈyː	ˈʊ_n	0.053
ˈyː	ˈiː	0.052
ˈyː	ˈoː	0.051
ˈyː	ˈyː	0.051
ˈøː	ˈeː	0.225
ˈøː	ˈoː	0.225
ˈøː	ˈuː	0.149
ˈøː	ˈyː	0.093
ˈøː	ˈøː	0.093
ˈøː	ˈɔʏ̯	0.093
ˈœ	ˈaʊ̯	0.326
ˈœ	ˈa	0.233
ˈœ	ˈaː	0.094
ˈœ	ˈɪ	0.074
ˈœ	ˈuː	0.073
ˈœ	ˈɔː	0.06
ˈœ	ˈʊ	0.058
ˈœ	ˈʏ	0.058
ˈɒ	ˈa	0.514
ˈɒ	ˈɪ	0.218
ˈɒ	ˈɛɪ̯	0.144
ˈɒ	ˈɔ	0.103
ˈɒː	ˈa	0.441
ˈɒː	ˈoː	0.441
ˈɒː	ˈeɪ̯	0.089
ˈɔ	ˈaʊ̯	0.506
ˈɔ	ˈɔ	0.268
ˈɔ	ˈʊ	0.167
ˈɔi̯	ˈaɪ̯	0.5
ˈɔu̯	ˈaɪ̯	0.324
ˈɔu̯	ˈaʊ̯	0.186
ˈɔu̯	ˈoː	0.186
ˈɔu̯	ˈa	0.128
ˈɔu̯	ˈøː	0.128
ˈɔː	ˈɔ	0.285
ˈɔː	ˈøː	0.195
ˈɔː	ˈa	0.17
ˈɔː	ˈoː	0.17
ˈɔː	ˈɛ	0.085
ˈɔː	ˈœː	0.066
ˈɛ	ˈɔʏ̯	0.477
ˈɛ	ˈɪ	0.315
ˈɛ	ˈaː	0.122
ˈɛi̯	ˈoː	0.39
ˈɛi̯	ˈɔʏ̯	0.246
ˈɛi̯	ˈa	0.097
ˈɛi̯	ˈaɪ̯	0.097
ˈɛi̯	ˈɛ	0.079
ˈɛi̯	ˈɛɪ̯	0.055
ˈɛː	ˈoː	0.295
ˈɛː	ˈɛ	0.288
ˈɛː	ˈeː	0.251
ˈɛː	ˈaɪ̯	0.109
ˈʊ	ˈʊ	0.325
ˈʊ	ˈɪ	0.179
ˈʊ	ˈa	0.1
ˈʊ	v_ˈʊ	0.089
ˈʊ	ˈaː	0.066
ˈʊ	ˈø	0.059
ˈʊ	ˈɔ	0.059
ˈʊ	ˈʏ	0.059
ˈʊ	ˈɛ	0.05
ˈʏ	ˈyː	0.561
ˈʏ	ˈʏ	0.185
ˈʏ	ˈɔ	0.125
