Yiddish	Yiddish	probability
ˈʊ_t	ˈʊ_d̥	1.0
ˈɛ_ɡ	ˈeː	1.0
ˈɔ_ʀ	ˈuː	1.0
ˈa_ʀ	ˈaː	1.0
ʧ	ʃ	1.0
ʦ	ʦ	1.0
ʃ	ʃ	1.0
ʀ_n_#>	ʀ_#>	1.0
ɫ_t	l	1.0
ɫ	l	1.0
ɪ_k	ə_ɕ	1.0
ɡ_#>	#>	1.0
ɛ_m	m	1.0
ə_ʀ	ɐ	1.0
ŋ_ɡ	ŋ	1.0
ŋ	ŋ	1.0
s_t	ʃ_t	1.0
s	s	1.0
p	p	1.0
n_ə	n_ə	1.0
n_d	n	1.0
m	m	1.0
j	j	1.0
h	h	1.0
f	f	1.0
d_z	z̥	1.0
b_#>	v̥_#>	1.0
a	-	1.0
<#_ʀ	<#_ʀ	1.0
v	v	0.759
ˈɛɪ̯	ˈeː	0.75
χ	ɕ	0.739
b	b	0.682
n	n	0.651
z	z	0.625
k	kʰ	0.619
ə	ə	0.571
d	d	0.565
ʀ	ʀ	0.564
ɡ	ɡ	0.545
ˈaɪ̯	ˈæːɪ̯	0.524
ˈa	ˈaː	0.424
t	t	0.404
k	k	0.381
z	z̥	0.375
t	d	0.362
d	d̥	0.348
ˈʊ	ˈo	0.346
ˈa	ˈɑ	0.333
ʀ	ɐ	0.333
ə	-	0.286
ˈɪ	ˈə	0.283
n	ə_n	0.277
χ	χ	0.261
ˈɔ	ˈoː	0.241
ˈɔ	ˈo	0.241
v	w	0.241
ˈɔɪ̯	ˈəʊ̯	0.24
ˈɔɪ̯	ˈaː	0.24
ˈaɪ̯	ˈɑɪ̯	0.238
ˈaɪ̯	-	0.238
t	d̥	0.234
ˈɛ	ˈiə̯	0.231
ɡ	ə	0.227
ˈɪ	ˈɑ	0.217
ˈɔ	ˈaː	0.207
ˈɔɪ̯	ˈæːʊ̯	0.2
ˈɪ	ˈɜɪ̯	0.196
ˈʊ	ˈu	0.192
ˈʊ	-	0.154
ˈɛ	ˈɛ	0.154
ˈɛ	ˈə	0.154
ə	ɐ	0.143
b	v	0.136
ˈɪ	ˈiː	0.13
ˈɛɪ̯	ˈɜɪ̯	0.125
ˈɛɪ̯	-	0.125
ˈa	-	0.121
ˈɔɪ̯	ˈɑʊ̯	0.12
ˈɔɪ̯	-	0.12
ˈɛ	ˈɛː	0.115
ˈɛ	ˈi	0.115
ˈɪ	ˈe	0.109
ˈɔ	ˈɑ	0.103
ˈɔ	ˈuə̯	0.103
ˈɔ	ˈu	0.103
ɡ	ɡ̊	0.091
ɡ	-	0.091
b	v_ə	0.091
b	-	0.091
d	-	0.087
ˈɔɪ̯	ˈɜɪ̯	0.08
ˈʊ	ˈʊ	0.077
ˈʊ	ˈəʊ̯	0.077
ˈʊ	ˈə	0.077
ˈʊ	ˈɔ	0.077
ˈɛ	ˈɜɪ̯	0.077
ˈɛ	ˈæ	0.077
ˈɛ	ˈiː	0.077
n	-	0.072
ˈɪ	ˈi	0.065
ˈa	ˈæ	0.061
ˈa	ˈuə̯	0.061
ʀ	ˈiː_ɐ	0.051
ʀ	-	0.051
