Štokavian	Čakavian	probability
ʨ	c	1.0
ʧ	ʧ	1.0
ʦ	ʦ	1.0
ʎ	l	1.0
ʋ	ʋ	1.0
ʃ	ʃ	1.0
ɲ	ɲ	1.0
ɡ̊	ɡ̊	1.0
ɡ	ɡ	1.0
z	z	1.0
x	x	1.0
uː	uː	1.0
u	u	1.0
t	t	1.0
s	s	1.0
r̩ː	r̩	1.0
r̩	r̩	1.0
r	r	1.0
p	p	1.0
oː	oː	1.0
n	n	1.0
m	m	1.0
l	l	1.0
j_eː	iː	1.0
j	-	1.0
iː	iː	1.0
e_̌	e	1.0
d	d	1.0
b	b	1.0
aː	aː	1.0
a_r	a_r	1.0
a_m	a_n	1.0
k	k	0.938
o	o	0.925
̂	̂	0.857
ʒ	ʒ	0.826
a	a	0.819
i	i	0.767
e	e	0.713
̌	-	0.7
j_e	i	0.659
eː	eː	0.578
eː	e	0.422
j_e	i_̂	0.341
e	-	0.287
̌	̂	0.233
i	iː	0.233
ʒ	ʒ̊	0.174
a	aː	0.153
̂	̌	0.143
o	-	0.075
̌	̌	0.067
k	x	0.062
