Saterland Frisian	Dutch	probability
a	ə	0.5
a	ˈi	0.5
b	b	0.956
b	-	0.051
d	d	0.516
d	t	0.422
d	-	0.058
f	v	0.881
f	f	0.11
f_j	v	0.521
h	ɦ	0.989
j	-	0.267
j	χ	0.267
j	j	0.209
j	ʋ	0.12
j	ˈeː	0.097
j_ə	ə	1.0
j_ˈoː	ˈi	1.0
j_ˈʊ	ˈɪ	0.521
k	k	0.743
k	χ	0.22
k_s	s	1.0
l	ɫ	0.938
m	m	0.97
n	n	0.904
n	-	0.094
p	p	1.0
r	ɾ	0.972
r_j	ɾ	0.521
s	s	0.571
s	z	0.386
s_k	s	1.0
t	t	0.86
t	-	0.069
t	d	0.068
v	ʋ	0.827
v	-	0.086
v	v	0.086
w	f	0.488
w	v	0.152
w	ʋ	0.152
x	χ	0.756
x	f	0.115
x	ŋ	0.087
z	z	0.618
z	s	0.367
ŋ	ŋ	1.0
ə	ə	0.561
ə	-	0.413
ɡ	χ	1.0
ɣ	χ	0.889
ɣ	v	0.106
ɪ	ə	0.67
ɪ	ɪ	0.242
ɪ	-	0.074
ɫ	ɫ	0.521
ˈa	ˈɛ	0.548
ˈa	ˈɑ	0.415
ˈaː	ˈɑ	0.577
ˈaː	ˈeː	0.372
ˈaːi̯	ˈaː	0.292
ˈaːi̯	ˈɑ	0.255
ˈaːi̯	ˈɛ	0.152
ˈaːu̯	ˈi	0.344
ˈaːu̯	ˈoː	0.179
ˈaːu̯	ˈɔ	0.074
ˈeː	ˈeː	0.609
ˈeː	ˈoː	0.197
ˈeː	ˈaː	0.084
ˈeː	ˈi	0.064
ˈeː	ˈɛi̯	0.053
ˈeːu̯	ˈeː	1.0
ˈi	ˈɛi̯	0.53
ˈi	ˈeː	0.121
ˈi	ˈi	0.121
ˈi	ˈɪ	0.121
ˈi	-	0.08
ˈiː	ˈɛi̯	0.291
ˈiː	ˈɪ	0.224
ˈiː	ˈaː	0.166
ˈiː	ˈɛ	0.107
ˈiː	ˈeː	0.072
ˈiː	ˈɑ	0.068
ˈiː	ˈi	0.057
ˈiːu̯	ˈeː	1.0
ˈoː	ˈoː	0.632
ˈoː	ˈi	0.092
ˈoː	ˈɑ	0.08
ˈoː	ˈaː	0.076
ˈoː	ˈeː	0.07
ˈoː_l	ˈɑu̯	1.0
ˈoːu̯	ˈu	0.29
ˈoːu̯	ˈɑ	0.192
ˈoːu̯	-	0.117
ˈoːu̯	ˈoː	0.117
ˈoːu̯	ˈoː_ɾ	0.102
ˈoːu̯	ˈɔ	0.097
ˈoːu̯	ˈaː	0.056
ˈu	ˈœy̯	0.561
ˈu	ˈɔ	0.193
ˈu	ˈu	0.125
ˈuː	ˈœy̯	0.344
ˈuː	ˈoː	0.258
ˈuː	ˈu_d	0.109
ˈuː	-	0.083
ˈuː	ˈɔ	0.066
ˈuː	ˈyː	0.066
ˈuː	ˈu	0.063
ˈyː	ˈœy̯	0.574
ˈyː	ˈi	0.299
ˈœː	ˈoː	1.0
ˈɔ	ˈɔ	0.447
ˈɔ	ˈɑ	0.347
ˈɔ	ˈɛ	0.114
ˈɔ	ˈʏ	0.062
ˈɔː	ˈaː	0.326
ˈɔː	ˈɑ	0.239
ˈɔː	ˈɛ	0.175
ˈɔː	ˈeː	0.127
ˈɔː	ˈɔ	0.075
ˈɔː	-	0.057
ˈɔːɪ̯	ˈɛi̯	0.272
ˈɛ	ˈɛ	0.422
ˈɛ	ˈɑ	0.237
ˈɛ	ˈɛi̯	0.179
ˈɛ	ˈaː	0.134
ˈɛɪ̯	ˈu	0.236
ˈɛɪ̯	ˈaː	0.223
ˈɛɪ̯	ˈi	0.156
ˈɛɪ̯	ˈaː_ɾ	0.115
ˈɛɪ̯	ˈeː	0.087
ˈɛɪ̯	ˈœy̯	0.066
ˈɛɪ̯	w	0.06
ˈɛɪ̯	ˈɛi̯	0.058
ˈɛː	ˈɑ	0.433
ˈɛː	ˈʏ	0.336
ˈɛː	ˈɛ	0.184
ˈɪ	ˈɪ	0.855
ˈɪ	-	0.092
ˈɪ	ˈɛ	0.062
ˈʊ	ˈɔ	0.741
ˈʊ	ˈʏ	0.099
ˈʊ	ˈɛ	0.083
ˈʊ	ˈɪ	0.08
