Mecklenburgisch-Vorpommersch	Mecklenburgisch-Vorpommersch	probability
ˈʊ	ˈɔ	1.0
ˈɛɪ̯	ˈɑː	1.0
ˈɔ_l	ˈœu̯	1.0
ˈœ	-	1.0
ˈøː	ˈʊə̯	1.0
ˈuː_æ	r	1.0
ˈeː	-	1.0
ˈaʊ̯_t	ˈʊə̯_t	1.0
ˈaɪ̯	ˈi	1.0
ˈae̯_ŋ	ˈi_χ	1.0
ɾ_æ	r	1.0
ɾ	d_ə	1.0
ɪ	ə	1.0
ɣ̊	χ	1.0
ɣ	χ_ə	1.0
ɡ̊	-	1.0
ɡ_r	χ_r	1.0
ŋ_#>	#>	1.0
ŋ	ŋ	1.0
z̥	s	1.0
x	χ	1.0
w	v	1.0
v̥_#>	v̥_#>	1.0
v	v	1.0
t_#>	#>	1.0
t	t	1.0
s_t	r_s	1.0
s	s	1.0
r_ˈʏ	r	1.0
r	r	1.0
pʰ	p	1.0
p	p	1.0
n_t	n_t	1.0
n_n	n	1.0
l	ɫ	1.0
kʰ	k	1.0
k	k	1.0
h	ɦ	1.0
f	v̥	1.0
d̥_#>	#>	1.0
d̥	d̥	1.0
b_m_#>	#>	1.0
b	b	1.0
ae̯	i	1.0
<#_tʰ	<#_t	1.0
<#_r	<#_r	1.0
m	m	0.929
ˈa	ˈa	0.923
d	d	0.903
z	s	0.895
ˈɒː	ˈɑː	0.882
ɡ	χ	0.818
ç	χ	0.8
ˈɪ	ˈə	0.759
ˈʏ	ˈœ	0.75
ˈɛː	ˈɪə̯	0.75
ˈiː	ˈəɪ̯	0.75
ʃ	s	0.741
ˈɔ	ˈɔ	0.714
ˈɔʏ̯	ˈu	0.667
j	χ	0.667
ˈœː	-	0.6
n	n	0.588
ˈuː	ˈœɪ̯	0.562
ˈyː	ˈœɪ̯	0.5
ˈyː	ˈyː	0.5
ˈoː	ˈɑː	0.5
ˈoː	-	0.5
ˈaʊ̯	ˈu	0.455
æ	r	0.441
ˈaː	ˈa_r	0.429
ˈae̯	ˈɪə̯	0.429
ˈae̯	ˈi	0.429
ˈœː	ˈɪø̯	0.4
ˈɛ	ˈæ	0.385
ˈaʊ̯	ˈʊə̯	0.364
ˈɔʏ̯	ˈʊə̯	0.333
j	j	0.333
æ	ə_r	0.324
ˈɔ	-	0.286
ˈaː	ˈæː_r	0.286
ˈaː	ˈa	0.286
n	-	0.271
ʃ	s_k	0.259
ˈʏ	-	0.25
ˈɛː	-	0.25
ˈiː	ˈi	0.25
ˈɛ	ˈɪə̯	0.231
ˈɛ	ˈɛ	0.231
ç	-	0.2
ˈuː	ˈʊə̯	0.188
ˈaʊ̯	-	0.182
ɡ	-	0.182
æ	ə	0.176
ˈɛ	ˈɛː	0.154
ˈɪ	-	0.138
ˈuː	ˈʊə̯_r	0.125
ˈuː	ˈœu̯	0.125
ˈɒː	-	0.118
z	s_ə	0.105
ˈɪ	ˈəɪ̯	0.103
d	-	0.097
ˈae̯	ˈəɪ̯	0.095
ˈa	-	0.077
m	v̥	0.071
æ	ˈʊə̯_r	0.059
n	n_d	0.059
