Mecklenburgisch-Vorpommersch	Afrikaans	probability
ˈʏ	ˈœ	1.0
ˈʊ	ˈɔ	1.0
ˈɔ_l	ˈœu̯	1.0
ˈœː	-	1.0
ˈœ	-	1.0
ˈuː_æ	r	1.0
ˈeː	-	1.0
ˈaʊ̯_t	ˈʊə̯_t	1.0
ɾ_æ	r	1.0
ɾ	d_ə	1.0
ɪ	ə	1.0
ɣ̊	χ	1.0
ɡ_r	χ_r	1.0
ɡ_n	χ	1.0
ŋ_#>	#>	1.0
z̥	s	1.0
z	s	1.0
x	χ	1.0
w	v	1.0
v̥	v̥	1.0
v	v	1.0
t_n	t	1.0
t_#>	#>	1.0
t	t	1.0
s_t	r_s	1.0
s	s	1.0
r_ˈʏ	r	1.0
r	r	1.0
p_n	p	1.0
p	p	1.0
n_t	n_t	1.0
l	ɫ	1.0
kʰ	k	1.0
k	k	1.0
h	ɦ	1.0
f	v̥	1.0
d̥_#>	#>	1.0
d̥	d̥	1.0
b_m_#>	#>	1.0
b	b	1.0
<#_tʰ	<#_t	1.0
<#_r	<#_r	1.0
#>	ə_#>	1.0
m	m	0.929
ˈa	ˈa	0.923
d	d	0.903
ŋ	ŋ	0.846
ˈɒː	ˈɑː	0.833
ç	χ	0.8
ˈɪ	ˈə	0.786
ˈɛː	ˈɪə̯	0.75
ˈiː	ˈəɪ̯	0.75
ʃ	s	0.741
ɡ	χ	0.7
n	n	0.7
ˈɔʏ̯	ˈu	0.667
j	χ	0.667
ˈɔ	ˈɔ	0.625
ˈyː	-	0.6
ˈuː	ˈœɪ̯	0.562
ˈae̯	ˈi	0.522
ˈoː	ˈɑː	0.5
ˈoː	-	0.5
nː	n_d̥	0.5
nː	n	0.5
æ	r	0.484
ˈaʊ̯	ˈu	0.455
ˈaː	ˈa_r	0.429
ˈyː	ˈyː	0.4
ˈae̯	ˈɪə̯	0.391
ˈɛ	ˈæ	0.385
ˈɔ	-	0.375
ˈaʊ̯	ˈʊə̯	0.364
ˈɔʏ̯	ˈʊə̯	0.333
j	j	0.333
æ	ə_r	0.323
ɡ	-	0.3
ˈaː	ˈæː_r	0.286
ˈaː	ˈa	0.286
ʃ	s_k	0.259
ˈɛː	-	0.25
ˈiː	ˈi	0.25
ˈɛ	ˈɪə̯	0.231
ˈɛ	ˈɛ	0.231
ç	-	0.2
n	-	0.2
æ	ə	0.194
ˈuː	ˈʊə̯	0.188
ˈaʊ̯	-	0.182
ˈɒː	-	0.167
ˈɛ	ˈɛː	0.154
ŋ	χ	0.154
ˈuː	ˈʊə̯_r	0.125
ˈuː	ˈœu̯	0.125
ˈɪ	ˈəɪ̯	0.107
ˈɪ	-	0.107
d	-	0.097
ˈae̯	-	0.087
ˈa	-	0.077
m	v̥	0.071
n	n_d	0.057
