Swiss German	Faroese	probability
b̥	b̥	0.648
b̥	v	0.228
b̥	ʊ_ɹ	0.048
b̥	ɹ	0.046
b̥	tʰ	0.041
d̥	d̥	0.248
d̥	tʰ	0.229
d̥	-	0.211
d̥	w	0.136
d̥	ʧʰ	0.079
f	f	0.756
f	p	0.086
f	v	0.066
f	v_ʊ	0.05
f	-	0.037
fː	ʰp	1.0
h	h	0.906
h	j	0.089
i	ʊ	0.538
i	ɪ	0.153
i	ɛ	0.146
i	ŋ	0.059
j	-	0.319
j	ˈɔ̯aː	0.319
k	k	0.319
k	ʰʧ	0.154
k	ʰkː	0.055
l	l	0.692
l	l̥	0.126
l	l_ʊ	0.073
l	nː	0.036
l	-	0.034
m	m	0.656
m	m_ʊ	0.231
m	-	0.103
mː	m	1.0
n	n	0.59
n	n̥	0.114
n	-	0.092
n	nː	0.087
n	n_ʊ	0.074
n_d̥	nː	1.0
nː	nː	0.484
p	tː	1.0
p͡f	tː	0.25
p͡f	p	0.218
p͡f	ʰp	0.218
r	ɹ	0.844
r	-	0.083
r	ɹ_ʊ	0.034
r_d̥	ɹ	1.0
r_t	ɹ	0.484
rː	ˈœ	0.484
s	s	0.81
s	t	0.104
s	sː	0.042
s	ʰt	0.042
s	-	0.029
sː	t_ʊ	0.372
sː	t	0.26
sː	ʰt	0.24
sː	sː	0.093
t	d̥	0.29
t	t	0.235
t	-	0.187
t	w	0.11
t	j	0.062
tː	j	0.683
tː	v	0.218
w	l̥	0.484
ŋ	ŋ	0.506
ŋ	n_d̥	0.278
ŋ	nː	0.109
ŋ	ɲ	0.082
ŋ_k	ʰkː	0.484
ə	a	0.497
ə	-	0.203
ə	ʊ	0.124
ə	ɪ	0.117
ə	n̥	0.043
ɡ̊	ɡ̊	0.593
ɡ̊	-	0.248
ɡ̊	ʤ̊	0.07
ɡ̊	ɹ	0.067
ɡ̊	ʧ	0.028
ʃ	s	0.598
ʃ	ʃ	0.225
ʃ	s_k	0.125
ʃ	-	0.043
ʃː	k	1.0
ʋ	v	0.604
ʋ	-	0.342
ʋ	ˈʉːu̯	0.047
ʦ	tʰ	0.444
ʦ	t	0.154
ʦ	ʈ	0.154
ʦ	d̥	0.078
ʦ	-	0.072
ˈa	ˈa	0.654
ˈa	ˈɔ	0.155
ˈa	ˈɛːa̯	0.093
ˈau̯	ˈɛːi̯	1.0
ˈe	ˈɛ	0.266
ˈe	ˈeə̯	0.232
ˈe	ˈœ	0.155
ˈe	w	0.14
ˈe	ˈøː	0.089
ˈei̯	ˈaːi̯	0.871
ˈei̯	ˈai̯	0.048
ˈeː	ˈɔ̯aː	0.66
ˈeː	a	0.154
ˈi	ˈɪ	0.453
ˈi	ˈiː	0.184
ˈi	ˈeː	0.157
ˈi	ˈɛ	0.063
ˈi	ˈɛːa̯	0.063
ˈiə̯	ˈɔːu̯	0.324
ˈiə̯	ˈʊ̯iː	0.324
ˈiə̯	ˈeː	0.186
ˈiə̯	ˈa	0.124
ˈiː	ˈʊ̯iː	0.844
ˈiː	ʊ̯ˈiː	0.153
ˈo	ˈœ	0.2
ˈo	ˈɔ	0.2
ˈo	ˈʊ_t	0.106
ˈo	ˈuː	0.102
ˈo	ˈʊ	0.09
ˈou̯	ˈœ	0.341
ˈou̯	j	0.206
ˈou̯	ˈɔːi̯	0.114
ˈou̯	ˈɛːa̯	0.114
ˈoː	ˈɛːi̯	0.388
ˈoː	ˈɔ	0.265
ˈoː	ˈoː	0.108
ˈoː	ˈɔ̯aː	0.108
ˈoː	-	0.075
ˈu	ˈʊ	0.484
ˈu	ˈɔ	0.213
ˈu	ˈœ	0.122
ˈu	ˈɪ	0.092
ˈu	ˈʉːu̯	0.064
ˈuə̯	ˈɔːu̯	0.833
ˈuə̯	ˈœ	0.057
ˈuə̯	ˈɪ	0.057
ˈuː	ˈʉːu̯	0.619
ˈuː	ˈʊ	0.287
ˈuː	ˈɪ	0.073
ˈy	ˈɪ	0.305
ˈy	ˈiː	0.231
ˈy	r	0.153
ˈy	ˈʏ	0.153
ˈy	ˈɛ	0.075
ˈyə̯	ˈøː	0.715
ˈyə̯	ˈɔːu̯	0.194
ˈyː	ˈʊ̯iː	0.494
ˈyː	ˈuː	0.112
ˈyː	ˈɛːa̯	0.112
ˈyː	ˈɪ	0.078
ˈyː	ˈʊ	0.056
ˈæ	ˈɛ	0.218
ˈæ	ˈøː	0.161
ˈæ	ˈiː	0.145
ˈæ	ˈeː	0.13
ˈæ	j	0.11
ˈæi̯	ˈaːi̯	0.723
ˈæi̯	ˈai̯	0.201
ˈæː	ˈɛ	0.53
ˈæː	ˈa	0.142
ˈæː	ˈʊ	0.079
ˈø	ˈɪ	0.304
ˈø	ˈʊ	0.304
ˈø	ˈeː	0.169
ˈø	ˈœ	0.102
ˈøi̯	ˈɔ	0.236
ˈøi̯	ˈɔːi̯	0.236
ˈøi̯	ˈɛːi̯	0.236
ˈøː	ˈɔːi̯	0.366
ˈøː	ˈɔ	0.086
ˈɒ	ˈa	0.395
ˈɒ	ˈɔ	0.267
ˈɒ	ˈɛːa̯	0.236
ˈɒ	ˈɔ̯aː	0.052
ˈɒ	ˈøː	0.038
ˈɒː	ˈɔ̯aː	0.278
ˈɒː	ˈɛːa̯	0.194
ˈɒː	ˈa	0.118
ˈɒː	ˈɔ	0.083
ˈɒː	-	0.08
ˈɛi̯	ˈai̯	1.0
χ	kʰ	0.354
χ	k	0.322
χ	v	0.061
χ	ʧ	0.059
χ	ʧʰ	0.059
χ_t	ʰtː	1.0
