Slovenian	Čakavian	probability
ʦ	ʦ	1.0
ʒ	ʒ	1.0
ʋ	ʋ	1.0
ɡ	ɡ	1.0
ɔ́ː_w	ûː	1.0
ɔ́ː	-	1.0
ɔ̀ː	o	1.0
z	z	1.0
x	x	1.0
úː	ûː	1.0
t	t	1.0
s	s	1.0
p	p	1.0
òː	ô	1.0
o	ô	1.0
l	l	1.0
k	k	1.0
íː	îː	1.0
ìː	î	1.0
e	ê	1.0
d	d	1.0
b	b	1.0
áː	âː	1.0
á	ǎː	1.0
n	n	0.889
m	m	0.882
r	r	0.857
i	i	0.8
ə	a	0.714
àː	â	0.667
ɔ	o	0.625
j	-	0.625
ʃ	ʃ	0.6
ɛ̀ː	e	0.6
a	â	0.579
ɛ	e	0.571
ʧ	c	0.5
ʧ	-	0.5
ə́	â	0.5
ə́	-	0.5
w_#>	l_#>	0.5
w_#>	#>	0.5
óː	ôː	0.5
èː	î	0.444
ɛ	î	0.429
a	a	0.421
éː	e	0.412
ʃ	e	0.4
ɛ̀ː	ê	0.4
ɔ	ô	0.375
j	j	0.375
èː	ǐː	0.333
àː	aː	0.333
óː	o	0.286
éː	îː	0.235
èː	iː	0.222
óː	ûː	0.214
i	î	0.2
éː	î	0.176
éː	êː	0.176
ə	ǎː	0.143
ə	aː	0.143
r	r̩̂	0.143
m	n	0.118
n	ɲ	0.111
