Macedonian	Kashubian	probability
ˈu	w_ˈʉ	1.0
ʦ	ʦ	1.0
ʒ	ʒ	1.0
ʃ	ʃ	1.0
ɫ_#>	l_#>	1.0
ɫ	w	1.0
ɡ	ɡ	1.0
z	z	1.0
u	m	1.0
s	s	1.0
r_ˈa	ˈa_r	1.0
p	p	1.0
o_k	ʧ_i	1.0
l	l	1.0
j	j	1.0
i	ə	1.0
f	x	1.0
b	b	1.0
<#	<#_j	1.0
k	k	0.905
a	a	0.895
v	v	0.857
m	m	0.846
#>	i_#>	0.833
r	r	0.786
n	n	0.75
d	d	0.706
ˈi	ˈə	0.625
ˈr̩	r	0.6
o	ɔ	0.583
ɛ	ɛ	0.538
t	t	0.476
t	ʦ	0.429
o	u̯ɛ	0.417
ˈr̩	ˈɛ_r	0.4
ˈa	ˈɔ	0.4
ˈi	ˈi	0.375
ˈo	u̯ˈɛ	0.346
d	ʣ	0.294
ˈo	ˈu	0.269
n	ɲ	0.25
ˈɛ	ˈɛ	0.222
ˈɛ	ˈe	0.222
r	ʐ	0.214
ˈa	ˈõ	0.2
ˈa	ˈa_ŋ	0.2
ˈa	ˈa	0.2
ˈo	ˈɔ	0.192
ˈɛ	j_ˈa	0.185
#>	ʦ_#>	0.167
ɛ	ʦ	0.154
ɛ	a_ŋ	0.154
ɛ	a	0.154
m	ə	0.154
ˈɛ	ˈa	0.148
ˈɛ	j_ˈɞ	0.148
v	v_j	0.143
ˈo	ˈɞ	0.115
a	-	0.105
t	ʧ	0.095
k	i	0.095
ˈo	ˈɛ	0.077
ˈɛ	ˈɔ	0.074
