German	Luxembourgish	probability
<#_b	<#_b	1.0
<#_d	<#_d	1.0
<#_f	<#_f	1.0
<#_h	<#_h	1.0
<#_j	<#_j	1.0
<#_kʰ	<#_kʰ	1.0
<#_l	<#_l	1.0
<#_m	<#_m	1.0
<#_n	<#_n	1.0
<#_p͡f	<#_pʰ	1.0
<#_tʰ	<#_d	1.0
<#_v	<#_v	1.0
<#_z	<#_z	1.0
<#_ɡ	<#_ɡ	1.0
<#_ʁ	<#_ʀ	1.0
<#_ʃ	<#_ʃ	1.0
<#_ʦ	<#_ʦ	1.0
<#_ˈa	<#_ˈaː	1.0
<#_ˈaɪ̯	<#_ˈeː	1.0
b_n	v_ə	1.0
b_ɐ	v_ɐ	1.0
b̥_#>	v̥_#>	1.0
d̥_#>	d̥_#>	1.0
f	f	1.0
f_#>	f_#>	1.0
l_#>	l_#>	1.0
l_t	l	1.0
l_ɪ	l_ə	1.0
l_ˈuː	l_ˈu	1.0
m	m_#>	1.0
m_#>	m_#>	1.0
m_ə	m_ə	1.0
n_d	n_ə	1.0
s	s_#>	1.0
s_n	s_ə	1.0
s_t	ʃ_t	1.0
t_#>	d̥_#>	1.0
t_n	d_ə	1.0
v	w	1.0
x_#>	χ_#>	1.0
z_ə	s	1.0
ç	ɕ	1.0
ç_#>	ɕ_#>	1.0
ŋ	ŋ	1.0
ɐ	ɐ	1.0
ɐ_#>	ɐ_#>	1.0
ɪ_ç	ə_ɕ	1.0
ʁ	ʀ	1.0
ʁ_ə	ə_ʀ	1.0
ʃ_#>	ʃ_#>	1.0
ˈa_n	ˈɑ_n	1.0
ˈa_s	ˈaː_s	1.0
ˈa_x	ˈuə̯_ɕ	1.0
ˈa_ɐ	ˈaː	1.0
ˈaɪ̯_#>	ˈæːɪ̯_#>	1.0
ˈaʊ̯_s	ˈæːʊ̯_s	1.0
ˈaː_ɡ	ˈoː_ə	1.0
ˈeː_#>	ˈɜɪ̯_#>	1.0
ˈiː_ɐ	ˈiː_ɐ	1.0
ˈyː	ˈi	1.0
ˈyː_s	ˈɜɪ̯_s	1.0
ˈøː	ˈɜɪ̯	1.0
ˈɔ	ˈo	1.0
ˈɔ_l	ˈo_l	1.0
ˈɔ_ɐ	ˈaː_ʀ	1.0
ˈɔʏ̯	ˈɑɪ̯	1.0
ˈɛ_k	ˈɛ_k	1.0
ˈɛ_n	ˈæ_n	1.0
ˈɛː	ˈɜɪ̯	1.0
ˈɪ_n	ˈɑ_n	1.0
ˈʊ_n	ˈɔ_n	1.0
ˈʊ_ɐ	ˈuː_ɐ	1.0
ˈʏ	ˈe	1.0
ˈʏ_n	ˈə_n	1.0
d	-	0.571
n	ə_n	0.351
ɡ	ə	0.571
ʦ	ʦ_#>	0.571
ˈa	ˈaː	0.471
ˈɪ	ˈiː	0.091
ə	ə	0.172
ˈa	ˈɑ	0.412
ˈaʊ̯	ˈaː	0.462
ˈoː	ˈu	0.2
t	t	0.333
ˈaː	ˈuə̯	0.143
ˈiː	ˈɜɪ̯	0.833
ˈuː	ˈəʊ̯	0.333
ˈuː	ˈu	0.333
ˈuː	ˈʊ	0.333
ˈɛ	ˈɛ	0.143
ˈɛ	ˈiː	0.143
n_#>	ŋ_#>	0.114
ɡ̊_#>	ɕ_#>	0.4
ˈaʊ̯	ˈæːʊ̯	0.154
ˈɛ	ˈə	0.214
ˈɛ	ˈiə̯	0.214
ˈʊ	ˈo	0.714
k	k_ə	0.375
k	k	0.625
l	l_ə	0.385
l	l	0.615
ˈaɪ̯	ˈæːɪ̯	0.455
ˈaɪ̯	ˈeː	0.545
ˈaʊ̯	ˈɑʊ̯	0.385
ˈaː	ˈoː	0.5
ˈɪ	ˈə	0.455
n_#>	n_#>	0.886
x	χ_#>	0.286
x	χ	0.286
ɡ̊_#>	#>	0.6
ˈeː	ˈiə̯	0.286
ˈeː	ˈɜɪ̯	0.286
ˈɛ	ˈɛː	0.286
ˈɪ	ˈe	0.136
ˈʊ	-	0.286
t	t_#>	0.667
ˈaː	ˈaː	0.357
ˈiː	-	0.167
ə	-	0.828
ˈa	ˈæ	0.118
ˈoː	ˈəʊ̯	0.8
ˈɪ	ˈɑ	0.318
d	d	0.429
n	-	0.189
n	n	0.459
x	ɕ	0.429
ɡ	-	0.429
ʦ	ʦ	0.429
ˈeː	-	0.429
