Upper Sorbian	Upper Sorbian	probability
ʧ	ʧ	1.0
ʥ	d	1.0
ʒ̊	ʒ̊	1.0
ʒ	ʒ	1.0
ʀ_ɪ	a_r	1.0
ʀ	r	1.0
ɪ_#>	#>	1.0
ɥ	ʋ	1.0
ɔ_ʀ	r̩	1.0
ɔ_w	uː	1.0
ɔ_m	a_n	1.0
z	z	1.0
xʲ	x	1.0
w_u	u_̂	1.0
u	uː	1.0
s_#>	s_#>	1.0
s	s	1.0
pʲ	p	1.0
p	p	1.0
mʲ	m	1.0
m	m	1.0
kʲ	-	1.0
k	k	1.0
i_#>	#>	1.0
e_ʀ	r̩	1.0
d̥	d̥	1.0
b̥	b̥	1.0
bʲ	b	1.0
b	b	1.0
<#_ʀ	<#_r	1.0
<#_w_ɔ	<#_o	1.0
<#_w	<#_ʋ	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
t	t	0.895
ɦ	ɡ	0.875
d	d	0.867
l	l	0.818
a	a	0.778
x	x	0.727
ɲ	n	0.714
n	n	0.7
ʨ	t	0.667
j	j	0.667
i	i	0.636
ʦ	ʦ	0.6
ɔ	o	0.575
ʀʲ	̂_r	0.571
ɛ	e	0.545
w	l	0.52
ɔ_#>	e_#>	0.5
ɔ_#>	#>	0.5
o	oː	0.5
<#	<#_ʦ	0.5
<#	<#_ʋ	0.5
ʀʲ	r	0.429
ʦ	c	0.4
ʃ	ʧ	0.4
ʃ	r	0.4
i	iː	0.364
ʨ	t_i	0.333
j	-	0.333
e	i_̂	0.312
n	̌_n	0.3
ɲ	ɲ	0.286
o	-	0.286
ɛ	-	0.273
x	ɡ̊	0.273
e	iː	0.25
ɪ	iː_̂	0.231
ɪ	i_̂	0.231
ɪ	-	0.231
o	aː_̂	0.214
ʃ	ʃ	0.2
w	ʋ	0.2
e	e_̂	0.188
ɛ	i_̂	0.182
l	uː	0.182
ɪ	̌_ʋ	0.154
ɪ	iː	0.154
d	-	0.133
ɦ	-	0.125
ɔ	e	0.125
e	iː_̌	0.125
e	eː	0.125
w	aː	0.12
a	eː	0.111
t	-	0.105
ɔ	a	0.1
w	o	0.08
w	a	0.08
ɔ	oː	0.075
ɔ	-	0.075
a	aː_̌	0.056
a	aː	0.056
