American English	East Low German	probability
<#	<#_kʰ	1.0
<#_b	<#_b	1.0
<#_d	<#_d	1.0
<#_f	<#_f	1.0
<#_h	<#_h	1.0
<#_j	<#_j	1.0
<#_kʰ	<#_kʰ	1.0
<#_m	<#_m	1.0
<#_n	<#_n	1.0
<#_tʰ	<#_tʰ	1.0
<#_w	<#_v	1.0
<#_ɫ	<#_l	1.0
<#_ɹ	<#_r	1.0
<#_ʃ	<#_ʃ	1.0
<#_ʧ	<#_kʰ	1.0
<#_ˈaʊ̯	<#_ˈuː	1.0
<#_ˈæ	<#_ˈa	1.0
<#_θ	<#_d	1.0
d	d_n	1.0
f_#>	f_#>	1.0
i	ɪ_ç	1.0
k_#>	k_#>	1.0
k_ɪ	k	1.0
m_#>	m_#>	1.0
n_#>	n_#>	1.0
n_d	n	1.0
s_#>	s_#>	1.0
s_t	s_t	1.0
t	t	1.0
v_#>	f_#>	1.0
z	s	1.0
ð	ɾ	1.0
ŋ	ŋ_k	1.0
ŋ_#>	ŋ_#>	1.0
ŋ_ɡ	ŋ	1.0
ɚ	æ_#>	1.0
ɫ	l	1.0
ɫ_#>	l_#>	1.0
ɹ_#>	æ	1.0
ɾ	t	1.0
ʃ_#>	ʃ_#>	1.0
ʔ	t_n	1.0
ʔ_#>	t_#>	1.0
ʤ	ç	1.0
ʧ	k	1.0
ˈaʊ̯	ˈuː	1.0
ˈaʊ̯_#>	ç	1.0
ˈoʊ̯_ɫ	ˈɔ_l	1.0
ˈɑ_ɹ	ˈaː	1.0
ˈɔ	-	1.0
ˈɔ_ɹ	ˈuː_æ	1.0
ˈɛ_s	s	1.0
ˈɝ	æ	1.0
ˈʊ	ˈaʊ̯	1.0
ˈʊ_ɫ	ˈʊ_l	1.0
ˈʌ_ð	ˈaʊ̯_ɾ	1.0
ˈʌɪ̯	ˈiː	1.0
ˈʌɪ̯_ʔ_#>	ˈɪ_ç	1.0
θ_#>	d_#>	1.0
ɹ	-	0.1
ˈeɪ̯	ˈɛ	0.231
ˈeɪ̯	ˈa	0.231
ˈɛ	ˈʏ	0.091
ˈɛ	ˈɛː	0.091
ˈɛ	ˈɪ	0.091
p	p	0.2
p	p_n	0.2
ˈi	ˈɒː	0.2
ˈi	ˈɔʏ̯	0.32
ˈɛ	ˈae̯	0.182
ˈʌ	ˈʊ	0.412
<#_s	<#_z	0.613
<#_ɡ	<#_j	0.333
k	-	0.333
k	n	0.333
k	k_n	0.333
w	v	0.333
ˈaɪ̯	ç	0.143
ˈu	ˈae̯	0.333
ˈæ	ˈa	0.583
ˈɛ	ˈɛ	0.273
ˈɪ	ˈɛ	0.083
ˈɪ	ˈae̯	0.083
ˈɪ	ˈiː	0.083
d_#>	d_#>	0.444
v	b_m	0.4
ˈeɪ̯	ˈa_x	0.154
ˈi_#>	ˈae̯_#>	0.4
ˈoʊ̯	ˈeː	0.154
ˈoʊ̯	ˈaʊ̯	0.154
ˈoʊ̯	ˈɪ	0.154
<#_ˈʌ	<#	0.5
<#_ˈʌ	<#_ˈʊ	0.5
n	-	0.125
n	n	0.875
ˈaɪ̯_#>	ˈaʊ̯_x	0.5
ˈaɪ̯_#>	ˈae̯_ŋ	0.5
ˈeɪ̯	ˈɒː	0.385
ˈi_ɚ	ˈiː_æ	0.5
ˈi_ɚ	ˈyː_æ	0.5
ˈæ	ˈaː	0.25
ˈɑ	ˈa	0.375
ˈɑ	ˈɔ	0.625
ˈɪ	ˈʏ	0.25
ˈɪ	ˈɪ	0.5
d_#>	t_#>	0.556
p	p_#>	0.6
v	m	0.6
ˈi	ˈae̯	0.16
ˈi	ˈaʊ̯	0.16
ˈi_#>	ˈiː_#>	0.6
ˈɛ	ˈaʊ̯	0.136
ˈɛ	ˈoː	0.136
ˈʌ	ˈuː	0.176
ˈʌ	ˈɒː	0.176
<#_s	<#_ʃ	0.387
<#_ɡ	<#_ɡ	0.667
w	w	0.667
ˈu	ˈaʊ̯	0.667
ˈæ	ˈa_l	0.167
ˈi	ˈɛː	0.08
ˈi	ˈoː	0.08
ˈoʊ̯	ˈae̯	0.538
ˈʌ	ˈœː	0.118
ˈʌ	ˈɔ	0.118
ɹ	r	0.9
ˈaɪ̯	ˈiː	0.429
ˈaɪ̯	ˈɪ	0.429
