West Flemish	West Flemish	probability
ˈɪ	ˈi	1.0
ˈɛː_#>	#>	1.0
ˈɛː	-	1.0
ˈɒː_n	ˈɛ̃ː	1.0
ˈøː_n	ˈõː	1.0
ˈøː	-	1.0
ˈuə̯_n	ˈĩː	1.0
ˈu_d̥	ˈaː_l	1.0
ˈi_n	ˈɑ̃i̯	1.0
ˈi	ˈai̯	1.0
ˈeː_ɦ	ˈoĩ̯	1.0
ʃ_h	ʃ	1.0
ɾ_ə_#>	ɐ_#>	1.0
ɾ_n	ɐ_n	1.0
ɪ	i	1.0
ɦ̥_#>	#>	1.0
ɦ_ɾ	k_ʀ	1.0
ə_ɾ	æ̆	1.0
ŋ	ŋ	1.0
ç	i_ʃ	1.0
z̥	s	1.0
z_ʋ	ʃ_v	1.0
w	l	1.0
v̥	b̥	1.0
v_ˈøː	f	1.0
v_n	v_ə	1.0
t_ə	ʦ	1.0
t_#>	s_#>	1.0
s_t	ʃ_d̥	1.0
p_#>	f_#>	1.0
n_d	n	1.0
m	m	1.0
l	l	1.0
k_n	ɡ̊_ə	1.0
j	j	1.0
iə̯	ɛː	1.0
d̥	d̥	1.0
d_n	ə	1.0
<#_ˈoː	<#	1.0
<#_ɾ	<#_ʀ	1.0
<#_ɦ	<#	1.0
<#_t	<#_ʦ	1.0
<#_n	<#_n	1.0
<#	<#_h	1.0
v	f	0.92
z	s	0.9
ə	-	0.852
ʋ	v	0.833
d	d̥	0.818
ɾ_#>	æ̆_#>	0.812
ˈyː	ˈau̯	0.75
k_#>	#>	0.714
k	kʰ	0.706
ɦ̥	ʃ	0.667
ˈɛ	-	0.625
ɦ_ə	k	0.6
ˈɔ	ˈu	0.571
ˈuə̯	ˈuː	0.571
ˈiə̯	ˈiː	0.562
ɾ	ʀ	0.556
ˈɑ	ˈɑ	0.55
b	p	0.533
ˈu	ˈu	0.5
ˈu	l	0.5
ɦ	ɣ̊	0.5
ɦ	-	0.5
t	t	0.5
h	ʃ	0.5
h	x	0.5
ˈɒː	ˈɑː	0.467
b	b̥	0.467
n	n	0.465
s	ʃ	0.462
ˈœ	ˈi	0.444
ˈɔ	-	0.429
ɦ_ə	ɣ̊	0.4
n	ə	0.395
s	s	0.385
ˈɛ	ˈi	0.375
ˈœ	ˈo	0.333
ˈæ	-	0.333
ˈeː	ˈɛ	0.333
ɦ̥	x	0.333
p	v̥	0.333
p	p	0.333
p	f	0.333
ˈuə̯	ˈu	0.286
ˈoː	ˈoː	0.286
k_#>	x_#>	0.286
ˈɒː	ˈa	0.267
ˈɒː	-	0.267
ˈæ	ˈɛ	0.267
ˈæ	ˈæ	0.267
ɾ	ɐ	0.259
ˈɑ	ˈa	0.25
ˈyː	ˈoi̯	0.25
ˈiə̯	ˈoi̯	0.25
ˈeː	ˈaː	0.25
ˈeː	-	0.25
ˈoː	ˈaː	0.238
ˈœ	-	0.222
ˈɑ	ˈɑː	0.2
ˈoː	ˈɔ	0.19
ˈiə̯	-	0.188
ɾ_#>	#>	0.188
ɾ	-	0.185
t	z̥	0.182
d	t	0.182
k	ʃ	0.176
ˈeː	ˈɛː	0.167
ʋ	-	0.167
s	k_s	0.154
ə	ə	0.148
ˈuə̯	ˈiː	0.143
ˈoː	-	0.143
n	-	0.14
t	ʦ	0.136
ˈæ	ˈi	0.133
k	x	0.118
z	-	0.1
ˈoː	ˈo	0.095
t	s	0.091
t	d̥	0.091
v	v	0.08
