Westphalian	Swedish	probability
b	b	0.89
b	v	0.056
b	-	0.054
d	d	0.601
d	-	0.17
d	tʰ	0.129
d	ɕ	0.05
d_ɐ	r	1.0
f	f	0.765
f	v	0.178
f	m	0.054
h	h	1.0
j	-	1.0
k	k	0.534
k	kʰ	0.295
k	-	0.056
k	ɡː	0.056
l	l	0.834
l	lː	0.057
l_ə	lː	1.0
m	m	0.758
m	mː	0.187
n	n	0.441
n	a	0.22
n	-	0.196
n	nː	0.12
p	p	0.556
p	r	0.257
p	pː	0.062
r	r	0.945
r	-	0.055
s	s	0.874
t	t	0.398
t	tʰ	0.16
t	d	0.141
t	-	0.136
t	tː	0.101
v	-	0.496
v	v	0.457
w	v	0.67
w	-	0.259
w	ˈʊ	0.061
w_ˈʊ	ˈɵ	0.473
x	ɡ	0.605
x	j	0.183
x	-	0.109
x	tː	0.082
z	s	1.0
ç	ɡ	0.466
ç	tː	0.167
ç	rː	0.114
ç	ŋ	0.11
ŋ	ŋː	0.616
ŋ	ŋ	0.237
ŋ	a	0.136
ŋ_k	kː	1.0
ɐ	r	0.535
ɐ	ɛ	0.277
ɐ	r_a	0.104
ə	a	0.639
ə	-	0.301
ə	ɛ	0.055
ɡ	ɡ_ɛ	0.392
ɡ	jː	0.297
ɡ	ɡ	0.297
ɣ	ɡː	0.574
ɣ	ɡ	0.148
ɪ	-	0.392
ɪ	ɪ	0.213
ɪ	ɵ	0.213
ʃ	s	0.742
ʃ	ɧ	0.165
ʃ	f	0.065
ˈa	ˈa	0.64
ˈa	ˈɑː	0.133
ˈa	ˈoː	0.098
ˈa	ˈɛ	0.08
ˈaɪ̯	ˈʉː	0.32
ˈaɪ̯	ˈyː	0.19
ˈaɪ̯	ˈeː	0.144
ˈaɪ̯	ˈɛː	0.109
ˈaɪ̯	ˈøː	0.078
ˈaɪ̯	ʊ	0.059
ˈaɪ̯	ˈœ	0.058
ˈaʊ̯	ˈøː	0.684
ˈaʊ̯	ˈoː	0.092
ˈaʊ̯	ˈuː	0.092
ˈaʊ̯	ˈœ	0.092
ˈaː	ˈɑː	0.684
ˈaː	ˈa	0.308
ˈeː	ˈeː	0.542
ˈeː	ˈoː	0.152
ˈeː	ˈyː	0.152
ˈeː	ˈɛ	0.152
ˈiə̯	ˈeː	1.0
ˈiɛ̯	ˈɔ	1.0
ˈiː	ˈiː	0.614
ˈiː	ˈɛ	0.165
ˈiː	ˈæː	0.082
ˈiː	ˈyː	0.065
ˈiː	j	0.064
ˈoː	ˈuː	0.817
ˈoː	ˈʊ	0.152
ˈuə̯	ˈoː	0.312
ˈuə̯	ˈuː	0.148
ˈuː	ˈʉː	0.544
ˈuː	ˈɵ	0.351
ˈuː	ˈɔ	0.074
ˈuːə̯	ˈœ	0.229
ˈuːə̯	ˈʉː	0.229
ˈuːə̯	r	0.143
ˈuːə̯	ˈoː	0.143
ˈuːə̯	ˈɔ	0.143
ˈyə̯	ˈɵ	1.0
ˈyː	ˈyː	0.488
ˈyː	ˈɔ	0.231
ˈyː	ˈʏ	0.068
ˈyːœ̯	ˈøː	0.224
ˈø	ˈɛ	0.473
ˈøː	ˈøː	0.699
ˈøː	ˈœ	0.136
ˈœː	ˈœː	0.359
ˈœː	ˈœ	0.08
ˈɒː	ˈɑː	0.473
ˈɔ	ˈa	0.629
ˈɔ	ˈɔ	0.196
ˈɔː	ˈoː	0.722
ˈɔː	ˈa	0.107
ˈɔː	ˈuː	0.08
ˈɔː	ˈœː	0.077
ˈɛ	ˈɛ	0.556
ˈɛ	ˈɛː	0.13
ˈɛ	ˈɪ	0.093
ˈɛ	ˈɑː	0.091
ˈɛ	ˈøː	0.063
ˈɛː	ˈɛː	0.312
ˈɛː	ˈæː	0.119
ˈɛː	j	0.085
ˈɪ	ˈɪ	0.535
ˈɪ	ˈeː	0.11
ˈɪ	ˈiː	0.11
ˈɪ	ˈɛ	0.077
ˈɪ	ˈʉː	0.073
ˈɪə̯	ˈeː	0.37
ˈɪə̯	ˈɛː	0.37
ˈɪə̯	ˈʉː	0.109
ˈɪɛ̯	ˈɛ	0.4
ˈɪɛ̯	ˈɛː	0.28
ˈɪɛ̯	ˈʉː	0.128
ˈɪɛ̯	ˈʏ	0.054
ˈʊ	ˈɵ	0.39
ˈʊ	ˈʉː	0.306
ˈʊ	ˈʊ	0.289
ˈʏ	ˈʏ	0.461
ˈʏ	ˈɵ	0.304
ˈʏ	ˈœ	0.165
