Slovak	Štokavian	probability
ʧ	ʧ	1.0
ʒ̊	ʒ	1.0
ʒ	ʒ	1.0
ʋ_ɔ	ʋ_o	1.0
ʋ	ʋ	1.0
ɪ̯a	eː	1.0
ɦ	ɡ	1.0
ɡ̊	ɡ̊	1.0
ɟ̊	-	1.0
ɟ	d	1.0
ɛ_m	a_m	1.0
æ	eː_̂	1.0
z̥	-	1.0
z	z	1.0
x	x	1.0
v	u	1.0
t_a	t_a	1.0
t	t	1.0
r̩ː	r̩ː	1.0
r	r	1.0
p	p	1.0
n	n	1.0
m	m	1.0
l̩	u	1.0
iː	iː	1.0
f	p	1.0
eː	-	1.0
e	e	1.0
d̥	d̥	1.0
b̥	b	1.0
b	b	1.0
ɫ	l	0.949
k	k	0.942
s	s	0.938
l	l	0.813
ɲ	n	0.793
d	d	0.781
a	a	0.705
u	uː	0.691
r̩	r̩	0.667
ʦ	ʦ	0.661
ʊ̯ɔ	o_̂	0.648
ʎ	l	0.635
uː	uː_̌	0.6
ɔ	o	0.577
ɫ̩	uː	0.574
c	t_i	0.554
ɛ	e	0.49
c	t	0.446
ɪ̯ɛ	j_eː	0.44
ɫ̩	u_̂	0.426
i	i_̂	0.407
uː	uː	0.4
i	iː	0.374
ʎ	ʎ	0.365
ʊ̯ɔ	oː	0.352
ɪ̯ɛ	j	0.352
ʦ	ʨ	0.339
r̩	r̩ː	0.333
aː	aː	0.333
aː	a_̂	0.333
aː	a	0.333
u	u	0.309
i	i	0.219
ɪ̯ɛ	-	0.209
ɲ	ɲ	0.207
ɔ	oː	0.207
l	-	0.187
a	aː	0.18
ɔ	a	0.176
ɛ	j_eː	0.167
d	d_a	0.133
ɛ	a	0.116
d	-	0.085
ɛ	eː	0.081
a	e	0.073
ɛ	a_̂	0.066
s	s_a	0.062
k	-	0.058
ɫ	o	0.051
