Bavarian	Bavarian	probability
β	b	1.0
ˈɑː	ˈa	1.0
ˈoː	ˈoː	1.0
ˈou̯	ˈoː	1.0
ˈiː	-	1.0
ˈi_ɐ	ˈʌ	1.0
ˈeɐ̯	ˈɔə̯	1.0
ˈau̯	ˈao̯	1.0
ʋ	ʋ	1.0
ʃ	ʃ	1.0
ɡ̊	ɡ	1.0
ə	-	1.0
ɑ	-	1.0
ŋ_ɡ̊	ŋ	1.0
ç	ç	1.0
s_n	s_a	1.0
s	s	1.0
n_ˈɑː	n	1.0
l	l	1.0
kʰ	kʰ	1.0
j_d̥	l_d	1.0
i	i	1.0
h	h	1.0
f	f	1.0
eɐ̯	eə̯	1.0
b̥͡v̥	p͡f	1.0
b̥	b	1.0
<#_ˈo	<#	1.0
#>	e_#>	1.0
d̥	d	0.958
ʦ	ʦ	0.933
j	l	0.889
r	ʁ	0.875
ˈoɐ̯	ˈɔe̯	0.867
m	m	0.839
ˈuɐ̯	ˈuə̯	0.818
ɐ	ʕ	0.812
ˈɑ	ˈa	0.8
ˈiɐ̯	ˈiə̯	0.778
ˈe	ˈɛ	0.75
n	n	0.714
ˈa	ˈa	0.667
d̥_n	d_a	0.667
ˈai̯	ˈəi̯	0.65
x	x	0.643
ˈaː	-	0.571
ŋ	ɡ_a	0.571
a	ʌ	0.558
ˈɒː	ˈaː	0.462
ˈo	ˈo	0.45
ˈaː	ˈao̯	0.429
ŋ	ŋ	0.429
ˈu	ˈo	0.4
ˈi	ˈi	0.4
ˈeː	ˈeː	0.385
a	a	0.372
x	ç	0.357
ˈu	ˈu	0.35
ˈo	ˈa	0.35
ˈai̯	ˈae̯	0.35
ˈa	-	0.333
d̥_n	d	0.333
ˈɒː	ˈa	0.308
ˈeː	ˈɛː	0.308
ˈeː	-	0.308
ˈɒː	ˈɔː	0.231
ˈiɐ̯	ˈi	0.222
ˈɑ	-	0.2
ˈo	ˈɔ	0.2
ˈi	ˈɪ	0.2
ˈi	ˈe	0.2
ɐ	ʌ	0.188
ˈuɐ̯	-	0.182
ˈu	-	0.15
ˈe	-	0.15
n	a	0.143
n	-	0.143
ˈoɐ̯	-	0.133
r	ʕ	0.125
ˈi	-	0.12
j	j	0.111
ˈu	ˈuː	0.1
ˈe	ˈe	0.1
m	b_a	0.097
ˈi	ˈɛ	0.08
a	-	0.07
ʦ	ʣ	0.067
m	-	0.065
