Eastphalian	Swiss German	probability
b	b̥	0.91
b	f	0.051
d	d̥	0.488
d	t	0.464
f	f	0.88
f	b̥	0.12
h	h	1.0
j	ɡ̊	0.884
j	j	0.116
k	χ	0.734
k	k	0.101
k	kː	0.081
k	ɡ̊	0.054
l	l	0.952
m	m	0.777
m	-	0.176
n	n	0.486
n	ə	0.395
n	nː	0.058
p	f	0.347
p	p͡f	0.323
p	fː	0.226
p	p	0.104
r	r	1.0
s	ʃ	0.744
s	s	0.256
t	sː	0.327
t	t	0.308
t	ʦ	0.242
t	d̥	0.07
v	ʋ	0.824
v	b̥	0.155
w	ʋ	1.0
x	χ	0.858
x	ɡ̊	0.142
z	s	0.921
z	-	0.079
ç	ɡ̊	0.521
ç	χ	0.479
ŋ	ŋ	0.727
ŋ	ɡ̊	0.273
ɐ	r	0.604
ɐ	ə_r	0.319
ɒː	æ	1.0
ə	ə	0.798
ə	-	0.121
ə	i	0.081
ɡ	ɡ̊ː	0.892
ɡ	ɡ̊	0.108
ɣ	ɡ̊	0.791
ɣ	-	0.106
ɣ	χ	0.064
ɪ	i	1.0
ʃ	ʃ	0.926
ˈa	ˈɒ	0.716
ˈa	ˈæ	0.135
ˈa	ˈɒː	0.098
ˈaʊ̯	ˈuə̯	0.824
ˈaʊ̯	ˈyə̯	0.133
ˈaː	ˈɒː	0.659
ˈaː	ˈɒ	0.341
ˈeo̯	ˈoː	0.533
ˈeo̯	ˈau̯	0.467
ˈeː	ˈæ	0.269
ˈeː	ˈæː	0.24
ˈeː	ˈe	0.112
ˈeː	ˈeː	0.112
ˈeː	ˈu	0.112
ˈeː	ˈi	0.077
ˈeː	ˈyː	0.077
ˈiː	ˈiː	0.658
ˈiː	ˈøi̯	0.116
ˈiː	ˈei̯	0.067
ˈiː	ˈi	0.067
ˈiː	ˈyː	0.055
ˈoː	ˈoː	0.551
ˈoː	ˈo	0.156
ˈoː	ˈeː	0.097
ˈoː	ˈu	0.09
ˈoː	ˈy	0.052
ˈuː	ˈuː	0.798
ˈuː	ˈo	0.112
ˈuː	ˈu	0.059
ˈyː	ˈyː	1.0
ˈøː	ˈøi̯	0.509
ˈøː	ˈøː	0.256
ˈøː	ˈi	0.16
ˈøː	ˈo	0.075
ˈœ	ˈø	0.538
ˈœ	ˈe	0.323
ˈœ	ˈu	0.139
ˈɒː	ˈɒː	0.569
ˈɒː	ˈɒ	0.164
ˈɒː	ˈoː	0.159
ˈɒː	ˈo	0.107
ˈɔ	ˈo	0.511
ˈɔ	ˈu	0.275
ˈɔ	ˈɒ	0.167
ˈɔʏ̯	ˈyə̯	0.768
ˈɔʏ̯	ˈuə̯	0.116
ˈɔʏ̯	ˈyː	0.079
ˈɛ	ˈæ	0.638
ˈɛ	ˈi	0.139
ˈɛ	ˈe	0.081
ˈɛ	ˈø	0.052
ˈɛ	ˈɒː	0.052
ˈɛə̯	ˈɒ	1.0
ˈɛɪ̯	ˈæi̯	0.31
ˈɛɪ̯	ˈyː	0.265
ˈɛɪ̯	ˈeː	0.124
ˈɛɪ̯	ˈæː	0.1
ˈɛɪ̯	ˈiə̯	0.091
ˈɛɪ̯	ˈy	0.073
ˈɛː	ˈɒ	0.279
ˈɛː	ˈæ	0.244
ˈɛː	ˈæː	0.243
ˈɛː	ˈi	0.233
ˈɪ	ˈi	0.713
ˈɪ	ˈy	0.081
ˈɪ	ˈæ	0.079
ˈʊ	ˈu	0.734
ˈʊ	ˈuː	0.09
ˈʊ	ˈo	0.088
ˈʏ	ˈy	0.582
ˈʏ	ˈu	0.197
ˈʏ	ˈyː	0.072
ˈʏ	ˈæ	0.072
ˈʏ	ˈiː	0.051
