Swabian	Pennsylvania German	probability
ˈɪ	ˈɪ	1.0
ˈɛː_b	ˈɛ_ʋ	1.0
ˈɛː	-	1.0
ˈəi̯	ˈaɪ̯	1.0
ˈɔe̯	ˈeː	1.0
ˈuː	ˈuː	1.0
ˈuə̯	ˈuː	1.0
ˈu_ɡ	ˈɪ_k	1.0
ˈu	ˈʊ	1.0
ˈiə̯	ˈiː	1.0
ˈeə̯	ˈeː	1.0
ˈa_ʕ	ˈaː	1.0
ʌ	ɑ	1.0
ʋ	ʋ	1.0
ʃ	ʃ	1.0
ʁ	ɾ	1.0
ɪ	ɪ	1.0
ŋ	ŋ	1.0
ç	ç	1.0
x	x	1.0
t	-	1.0
s	s	1.0
n_d	n	1.0
n	n	1.0
m	m	1.0
l	l	1.0
kʰ	k	1.0
j	j	1.0
h	h	1.0
f	f	1.0
e	-	1.0
b̥͡f	-	1.0
a	ə	1.0
#>	ə_#>	1.0
ˈa	ˈa	0.923
ʦ	ʦ	0.867
ˈaː	ˈɔː	0.75
ʕ	ɑ	0.733
ˈae̯	ˈaɪ̯	0.727
ˈi	ˈɪ	0.706
ˈoː	ˈoː	0.692
ˈao̯	ˈaʊ̯	0.688
ˈiː	ˈiː	0.667
ˈe	ˈɪ	0.667
b	b	0.633
ˈeː	ˈeː	0.625
ˈɛ	ˈɛ	0.619
ˈo	ˈʊ	0.6
ˈɔː	ˈɔː	0.571
d_a	ə	0.5
d_a	d_ə	0.5
d	d	0.463
ˈɔː	ˈoː	0.429
ˈɔ	ˈɔ	0.429
ˈo	ˈɔ	0.4
ˈeː	-	0.375
d	d̥	0.375
ˈiː	-	0.333
ˈe	ˈɛ	0.333
ɡ	ɡ	0.333
ˈao̯	ˈɔː	0.312
ˈoː	-	0.308
ˈi	-	0.294
ˈɔ	ˈʊ	0.286
ˈɔ	-	0.286
ˈae̯	ˈeː	0.273
ˈaː	ˈa_n	0.25
ˈɛ	ˈɛː	0.238
ɡ	k	0.205
b	b̥	0.2
ɡ	ɡ̊	0.179
d	t	0.162
ˈɛ	-	0.143
ʦ	-	0.133
ʕ	ˈaː	0.133
ʕ	-	0.133
ɡ	ɣ	0.103
ɡ	ç	0.103
b	ʋ	0.1
ˈa	ˈɔː	0.077
ɡ	j	0.077
b	-	0.067
