Saterland Frisian	Danish	probability
a	ə	0.5
a	ˈyː	0.5
b	b̥	0.907
b	-	0.089
d	ð̞ˠ	0.367
d	d̥	0.279
d	-	0.225
d	ʦʰ	0.124
d_ə	ɐ	0.488
d_ə	ɐˀ	0.299
f	f	0.833
f	w	0.078
f	-	0.074
h	h	0.93
h	j	0.064
j	-	0.641
j	d̥	0.098
j	ɡ̊	0.085
j	ˈyː	0.06
j	j	0.047
k	k	0.523
k	kʰ	0.198
k	-	0.144
k	j	0.113
l	l	0.84
l	lˀ	0.122
l	-	0.036
l_d	lˀ	1.0
m	m	0.859
m	mˀ	0.123
m	-	0.027
n	n	0.725
n	-	0.152
n	nˀ	0.077
n	ŋ	0.03
n	m	0.024
n_d	nˀ	1.0
p	b̥	0.672
p	pʰ	0.149
p	p	0.102
p	-	0.044
r	ʁ	0.476
r	ɐ	0.236
r	-	0.177
r	ɐˀ	0.052
r	ɐ_n	0.03
r_m	m	1.0
r_ə	ɐ	0.463
s	s	0.978
s	kʰ	0.026
t	ð̞ˠ	0.389
t	t	0.238
t	-	0.196
t	ʦʰ	0.138
t	nˀ	0.025
t_v	ʦʰ	1.0
v	ʋ	0.579
v	-	0.383
v	v	0.038
v_ˈʊ	ˈu	1.0
w	w	0.24
w	mˀ	0.209
w	ʋ	0.209
x	-	0.429
x	ɡ̊	0.18
x	w	0.119
x	j	0.068
x	ŋ	0.065
x_t	t	1.0
z	s	0.903
z	-	0.055
ŋ	ŋˀ	0.686
ŋ	ŋ	0.293
ŋ_k	k	0.463
ə	ə	0.561
ə	-	0.312
ə	w	0.043
ə	ɐ	0.028
ə	wˀ	0.022
ə_r	ɐ	1.0
ɣ	ɡ̊	0.513
ɣ	-	0.411
ɣ	j	0.074
ɣ_ə	w	1.0
ɪ	i	0.28
ɪ	ə	0.172
ɪ	-	0.099
ɪ	w	0.099
ɪ	ɐˀ	0.093
ɫ	lˀ	0.215
ˈa	ˈeː	0.24
ˈa	ˈœː	0.209
ˈa	ˈɛ	0.209
ˈaː	ˈeˀ	0.425
ˈaː	ˈa	0.28
ˈaː	ˈɛ	0.186
ˈaːi̯	jˀ	0.392
ˈaːi̯	ˈæˀ	0.392
ˈaːi̯	ˈɑˀ	0.111
ˈaːu̯	ˈiː	0.187
ˈaːu̯	ˈoː	0.187
ˈeː	ˈeˀ	0.447
ˈeː	ˈɛˀ	0.194
ˈeː	ˈuˀ	0.078
ˈeː	ˈøː	0.059
ˈeː	ˈœ	0.058
ˈeːu̯	ˈiˀ	0.463
ˈi	ˈiˀ	0.379
ˈi	ˈɑ	0.108
ˈi	-	0.094
ˈi	ˈiː	0.094
ˈi	ˈɛˀ	0.094
ˈiː	ˈiː	0.268
ˈiː	ˈe	0.128
ˈiː	ˈiˀ	0.111
ˈiː	ˈɛ	0.106
ˈiː	ˈæ	0.072
ˈiːu̯	ˈeˀ	1.0
ˈoː	ˈœˀ	0.222
ˈoː	ˈyˀ	0.089
ˈoː	-	0.084
ˈoː	ˈøː	0.084
ˈoː	ˈʌˀ	0.077
ˈoːu̯	ˈoˀ	0.272
ˈoːu̯	ˈo	0.123
ˈoːu̯	ˈœ	0.099
ˈoːu̯	ˈʌ	0.099
ˈoːu̯	ˈa	0.086
ˈu	ˈoˀ	0.266
ˈu	ˈɔ	0.266
ˈu	e	0.046
ˈuː	ˈuˀ	0.359
ˈuː	ˈu	0.112
ˈuː	-	0.087
ˈuː	ˈʌ	0.087
ˈuː	ˈœ	0.064
ˈyː	ˈy	0.306
ˈyː	ˈɑ	0.306
ˈœː	ˈʌ	0.463
ˈɔ	ˈɛ	0.276
ˈɔ	ˈu	0.276
ˈɔ	ˈœ	0.182
ˈɔ	ˈo	0.111
ˈɔ	ˈɑ	0.077
ˈɔː	ˈɑ	0.146
ˈɔː	ˈɛ	0.146
ˈɔː	j_ˈœˀ	0.127
ˈɔː	ˈe	0.111
ˈɔː	ˈɑː	0.096
ˈɔːɪ̯	ˈeˀ	1.0
ˈɛ	ˈa	0.283
ˈɛ	ˈɛ	0.283
ˈɛ	ˈæ	0.108
ˈɛ	ˈɔˀ	0.108
ˈɛ	ˈɛː	0.108
ˈɛɪ̯	ˈoˀ	0.168
ˈɛɪ̯	ˈuˀ	0.146
ˈɛɪ̯	ˈyˀ	0.127
ˈɛɪ̯	ˈɔˀ	0.127
ˈɛɪ̯	ˈœ	0.084
ˈɛː	ˈa	0.186
ˈɛː	ˈy	0.186
ˈɛː	ˈø	0.186
ˈɛː	ˈœ	0.186
ˈɛː	ˈɛ	0.119
ˈɛː_r	ˈa	1.0
ˈɪ	ˈe	0.56
ˈɪ	ˈiˀ	0.153
ˈɪ	ˈɛ	0.088
ˈɪ	ˈeˀ	0.067
ˈɪ	ˈœ	0.066
ˈʊ	ˈu	0.199
ˈʊ	ˈœ	0.199
ˈʊ	ˈɔ	0.15
ˈʊ	ˈo	0.084
ˈʊ	ˈø	0.082
