Upper Sorbian	Upper Sorbian	probability
ʧ	ʧ	1.0
ʒ̊	-	1.0
ʒ	ʒ	1.0
ʀʲ	r	1.0
ʀ_ɪ_#>	r_#>	1.0
ʀ	r	1.0
z̥	z̥	1.0
z	z	1.0
xʲ_i_#>	x_#>	1.0
w_ɪ	f	1.0
w_o	ɫ_a	1.0
w_#>	ɫ_#>	1.0
t_ɔ	t_ɔ	1.0
t	t	1.0
s_a	s_ɛ	1.0
s_#>	s_#>	1.0
s	s	1.0
p	p	1.0
n_ɪ	ɛ_n	1.0
n	n	1.0
m	m	1.0
kʲ_i	ɐ_k	1.0
i	i	1.0
d̥	d̥	1.0
d_w	ɫ	1.0
d	d	1.0
b̥	b̥	1.0
b	b	1.0
a_#>	ɐ_#>	1.0
<#_ʀ	<#_r	1.0
<#_x	<#_x	1.0
<#_n	<#_n	1.0
<#_j	<#	1.0
k	k	0.913
ɦ	ɡ	0.882
a	a	0.838
ʥ	d	0.833
ɲ	n	0.833
ʨ	t	0.824
o	ɔ	0.818
ɛ	ɛ	0.75
pʲ	p	0.75
mʲ	m	0.667
bʲ	-	0.667
w	ɫ	0.636
ɥ	v	0.583
j	j	0.571
<#_w	<#_v	0.533
ʃ	ʃ	0.5
ʃ	r	0.5
x	x	0.5
<#_w	<#	0.467
j	-	0.429
ɪ	-	0.421
ɥ	vʲ	0.417
ʦ	ʦ	0.4
ʦ	-	0.4
e	a	0.4
ɪ	i_ˈ	0.368
u	ɤ	0.368
u	u	0.368
l	lʲ	0.368
mʲ	mʲ	0.333
bʲ	bʲ	0.333
e	ɛ_ˈ	0.32
ɔ	o	0.316
l	l	0.316
x	ɡ̊	0.3
u	-	0.263
pʲ	pʲ	0.25
ɔ	ɛ	0.246
ɔ	ɔ	0.228
ʦ	ʦʲ	0.2
x	k_ɐ	0.2
w	v	0.182
o	ɤ	0.182
ʨ	j_ɐ	0.176
ʥ	dʲ	0.167
ɲ	nʲ	0.167
e	ɤ_ˈ	0.16
l	ˈ_ɫ	0.158
l	ɫ	0.158
ɛ	a	0.125
ɛ	-	0.125
e	ɛ	0.12
ɦ	-	0.118
ɪ	ɫ	0.105
ɪ	ɛ	0.105
ɔ	ɤ	0.105
w	ɐ	0.091
w	a	0.091
k	-	0.087
a	ɛ	0.054
a	ɐ	0.054
a	-	0.054
ɔ	ɐ	0.053
ɔ	a_ˈ	0.053
