Westphalian	Limburgish	probability
b	b	0.939
b	p	0.061
d	d	0.465
d	t	0.377
d	-	0.153
f	v	0.787
f	f	0.169
h	ɦ	1.0
j	j	1.0
k	k	0.909
k	x	0.06
l	l	0.869
l	j	0.064
m	m	0.942
m	-	0.058
n	n	0.61
n	ə	0.361
n_d	ə	0.119
p	p	1.0
r	ʀ	1.0
s	s	0.5
s	z	0.499
s_t	s	0.492
t	t	0.821
t	ʀ_t	0.072
t	j	0.051
v	v	0.684
v	f	0.137
v	β	0.126
w	β	1.0
x	ɣ	0.623
x	x	0.373
x_t	x	1.0
z	s	0.24
z	z	0.24
z	ʀ	0.24
ç	x	0.837
ç	ŋ	0.096
ç	-	0.055
ŋ	ŋ	0.85
ŋ	ɣ	0.141
ɐ	ʀ	0.515
ɐ	ə	0.482
ə	-	1.0
ɡ	ɣ	0.488
ɡ	ɡ	0.28
ɡ	x	0.172
ɣ	k	0.45
ɣ	ɣ	0.221
ɣ	x	0.125
ɪ	ə	0.683
ɪ	ɪ	0.221
ʃ	s	0.532
ʃ	ʃ	0.293
ʃ	z	0.113
ʃ_k	s	1.0
ˈa	ˈɑ	0.364
ˈa	ˈaː	0.283
ˈa	ˈɑː	0.206
ˈa	ˈæː_ʀ	0.066
ˈaɪ̯	ˈeː	0.482
ˈaɪ̯	ˈi	0.225
ˈaɪ̯	ˈɛːi̯	0.081
ˈaɪ̯	ˈœi̯	0.079
ˈaɪ̯	ˈiː	0.06
ˈaɪ̯	ˈɛi̯	0.059
ˈaʊ̯	ˈu	0.396
ˈaʊ̯	ˈɔː	0.301
ˈaʊ̯	j	0.147
ˈaʊ̯	ˈɔu̯	0.128
ˈaː	ˈaː	0.654
ˈaː	ˈæ	0.211
ˈaː	ˈɑ	0.093
ˈeː	ˈɛː	0.743
ˈeː	ˈeː	0.128
ˈeː	ˈi	0.128
ˈiə̯	ˈɛː	0.492
ˈiɛ̯	ˈæ	0.492
ˈiː	ˈiː	0.61
ˈiː	ˈeː	0.141
ˈiː	ˈœi̯	0.081
ˈiː	ˈɛːi̯	0.081
ˈiː	ˈɛ	0.053
ˈoː	ˈʊː	0.439
ˈoː	ˈɔ	0.187
ˈoː	ˈoː	0.151
ˈoː	ˈøː	0.135
ˈuə̯	ˈoː	0.324
ˈuə̯	ˈʊː	0.16
ˈuː	ˈuː	0.64
ˈuː	ˈʏː	0.128
ˈuː	ˈœi̯	0.094
ˈuː	ˈʊː	0.06
ˈuːə̯	ˈœː	0.425
ˈuːə̯	ˈʊː	0.322
ˈuːə̯	ˈɔ	0.172
ˈyə̯	ˈɪ	0.492
ˈyː	ˈyː	0.562
ˈyː	ˈøː	0.155
ˈyː	ˈœi̯	0.101
ˈyː	-	0.065
ˈyːœ̯	ˈøː	0.492
ˈø	ˈʏː	1.0
ˈøː	ˈøː	0.761
ˈøː	ˈu	0.232
ˈœː	ˈyː	0.361
ˈœː	ˈɒː	0.361
ˈœː	ˈʊː	0.204
ˈɒː	ˈɒː	1.0
ˈɔ	ˈɔ	0.596
ˈɔ	ˈaː	0.384
ˈɔː	ˈɒː	0.683
ˈɔː	ˈʊː	0.153
ˈɔː	ˈuː	0.101
ˈɔː	ˈi	0.057
ˈɛ	ˈɛ	0.262
ˈɛ	ˈeː	0.242
ˈɛ	ˈɪ	0.165
ˈɛ	ˈæ	0.095
ˈɛ	ˈœ	0.095
ˈɛ	ˈɑː	0.072
ˈɛ	ˈʏ	0.056
ˈɛː	ˈaː	0.517
ˈɛː	ˈeː	0.45
ˈɪ	ˈɪː	0.385
ˈɪ	ˈɪ	0.114
ˈɪ	ˈeː	0.111
ˈɪ	ˈɛ	0.097
ˈɪ	ˈi	0.084
ˈɪ	-	0.064
ˈɪ	ˈɛː	0.055
ˈɪ	ɪː	0.054
ˈɪə̯	ˈeː	0.683
ˈɪə̯	ˈɒː	0.221
ˈɪɛ̯	ˈeː	0.604
ˈɪɛ̯	ˈɛː	0.133
ˈɪɛ̯	ˈɑ	0.092
ˈɪɛ̯	ˈæː	0.088
ˈʊ	ˈʊː	0.377
ˈʊ	ˈɔ	0.269
ˈʊ	ˈuː	0.174
ˈʊ	ˈʊ	0.115
ˈʏ	ˈœ	0.322
ˈʏ	ˈɔː	0.322
ˈʏ	ˈʏː	0.182
ˈʏ	ˈɪː	0.068
