Bulgarian	Bulgarian	probability
ʧ	ʨ	1.0
ʦʲ	ʦ_ɛ	1.0
ʦ	ʦ	1.0
ʒ̊	ʐ̊	1.0
ʒ	ʐ	1.0
ʃ	ʂ	1.0
ɫ_#>	lʲ_#>	1.0
ɫ	ɫ	1.0
ɡ̊	ɡ̊	1.0
ɡ	ɡ	1.0
ɛ_n	n_ɨ	1.0
ɐ_ɡ̊	ɡʲ	1.0
z̥	-	1.0
vʲ	vʲ	1.0
tʲ	tʲ	1.0
t_o	t_ə	1.0
s_#>	s_#>	1.0
pʲ	pʲ	1.0
o_#>	ə_#>	1.0
o	ɐ	1.0
nʲ	nʲ	1.0
mʲ	-	1.0
lʲ	lʲ	1.0
j_ɐ	tʲ	1.0
dʲ	dʲ	1.0
bʲ	bʲ	1.0
a_ˈ	ɪ	1.0
<#_x	<#_x	1.0
<#_t	<#_tʲ	1.0
<#_s	<#_s	1.0
<#_r	<#_r	1.0
<#_o	<#_ɐ	1.0
<#_j	<#_j	1.0
ˈ	ˈ	0.951
ɔ	o	0.875
x	x	0.857
ɐ_#>	ə_#>	0.846
k	k	0.808
d̥	d̥	0.8
ˈ_#>	ˈ_#>	0.793
ɛ_ˈ	e_ˈ	0.786
l	lʲ	0.778
b	b	0.7
z	z	0.692
v	v	0.682
r_#>	r_#>	0.667
b̥	b̥	0.667
n	n	0.65
t	t	0.593
a	a	0.592
d	d	0.571
i	i	0.55
m	mʲ	0.529
ɤ	o	0.5
ɐ	-	0.5
u	ʊ	0.5
s	sʲ	0.5
s	s	0.5
r	r	0.5
p	pʲ	0.5
p	p	0.5
f	v_ɨ	0.5
<#	<#_ɐ	0.5
<#	<#_j	0.5
m	m	0.471
ɛ	ɪ	0.463
i	ɨ	0.45
t	tʲ	0.407
r	rʲ	0.393
u	u_ˈ	0.333
r_#>	r_ɨ_j_#>	0.333
d	dʲ	0.333
b̥	b̥ʲ	0.333
v	vʲ	0.318
z	zʲ	0.308
b	bʲ	0.3
ɤ	u	0.273
n	nʲ	0.25
f	fʲ	0.25
f	f	0.25
a	e	0.245
l	-	0.222
ɛ_ˈ	ˈ	0.214
ˈ_#>	#>	0.207
d̥	d̥ʲ	0.2
u	ʉ	0.167
ɐ_#>	#>	0.154
ɛ	ɵ	0.146
x	xʲ	0.143
ɤ	e	0.136
ɔ	ə	0.125
ɐ	ɪ	0.125
ɐ	ə	0.125
k	-	0.115
r	ɐ_r	0.107
a	o	0.102
n	n_ɨ	0.1
d	-	0.095
ɤ	ɵ	0.091
ɐ	ʊ	0.083
ɐ	kʲ_ɪ	0.083
ɐ	e_ˈ	0.083
k	j	0.077
ɛ	ɨ	0.073
ɛ	ə	0.073
ɛ	ɐ	0.073
ɛ	a	0.073
a	ə	0.061
