Corsican	Spanish	probability
a	a	0.875
a	e	0.068
b	b	0.549
b	β	0.297
b	-	0.101
c	x	0.65
c	ɟ͡ʝ	0.206
c	θ	0.136
d	d	0.498
d	-	0.318
d	ð	0.131
e	e	0.445
e	-	0.336
e	ˈi_ɾ	0.063
e	ˈe_ɾ	0.051
e_ʧ	θ	0.521
f	-	0.582
f	f	0.335
f	ɟ͡ʝ	0.078
f_ˈa	ˈa	1.0
i	e	0.371
i	i	0.222
i	o_s	0.156
i	-	0.065
i	ˈe	0.065
i	j	0.056
j	j	0.381
j	l	0.272
j	ˈe	0.162
j	-	0.107
j	u	0.073
k	k	0.682
k	ɣ	0.184
k	-	0.113
l	l	0.507
l	-	0.287
l	ʝ	0.152
l_e	l	1.0
m	m	0.911
m	-	0.087
n	n	0.95
n_n	ɲ	1.0
o	o	0.944
o	ˈa	0.056
p	p	0.795
p	β	0.204
p_j	ɟ͡ʝ	0.521
r	ɾ	0.801
r	r	0.101
r	-	0.079
s	s	0.851
s	-	0.097
s_s	x	1.0
t	t	0.476
t	ð	0.239
t	-	0.173
t	ʧ	0.093
u	o	0.815
u	-	0.091
u	e	0.051
v	b	0.567
v	β	0.391
w	w	0.663
w	o	0.189
w	ɾ	0.13
z	s	0.715
z	ɡ	0.28
ŋ	ŋ	0.626
ŋ	n	0.232
ŋ	ɲ	0.083
ɟ	x	0.428
ɟ	-	0.23
ɟ	θ	0.157
ɟ	ɡ	0.104
ɟ	ɟ͡ʝ	0.067
ɡ	ɡ	0.673
ɡ	ɣ	0.321
ɲ	ɲ	0.856
ɲ	n	0.143
ʃ	θ	0.428
ʃ	-	0.292
ʃ	e_s	0.254
ʎ	x	1.0
ʒ	θ	0.66
ʒ	m	0.179
ʣ	θ	1.0
ʤ	-	0.723
ʤ	β	0.217
ʦ	θ	0.822
ʦ	-	0.125
ʧ	θ	0.763
ʧ	-	0.094
ʧ	t	0.075
ʧ	θ_j	0.06
ʧ_a	a	0.521
ʧ_e	θ	1.0
ˈa	ˈa	0.915
ˈe	ˈe	0.457
ˈe	j_ˈe	0.385
ˈe	-	0.093
ˈe	ˈi	0.05
ˈi	ˈi	0.767
ˈi	ˈe	0.07
ˈo	ˈo	0.781
ˈo	w_ˈe	0.136
ˈu	ˈu	0.822
ˈu	ˈo	0.084
ˈu	ɲ	0.056
ˈu_t	ˈo	0.521
ˈɔ	w_ˈe	0.445
ˈɔ	ˈo	0.412
ˈɔ	o	0.12
ˈɛ	ˈe	0.567
ˈɛ	j_ˈe	0.25
ˈɛ	ˈi	0.132
