Limburgish	East Low German	probability
b	b	0.964
d	d	0.811
d	-	0.189
f	f	0.591
f	l_f	0.31
f	m	0.1
i	ae̯	1.0
j	ɾ	0.257
j	-	0.235
j	t	0.193
j	l	0.165
j	j	0.125
k	k	0.464
k	kʰ	0.346
k	ç	0.18
l	l	0.996
m	m	0.973
n	n	0.991
p	p	0.936
s	s	0.536
s	ʃ	0.464
t	t	0.685
t	d	0.157
t	tʰ	0.117
v	f	0.784
v	m	0.159
v	v	0.057
w	l	1.0
x	ç	0.492
x	x	0.265
x	k	0.166
x	-	0.077
z	z	0.779
z	ʃ	0.156
z	s	0.065
ŋ	ŋ	0.792
ŋ	ç	0.208
ə	n	0.614
ə	-	0.31
ə	ɾ	0.05
ɡ	ŋ	1.0
ɣ	ɡ	0.555
ɣ	j	0.317
ɣ	ŋ	0.087
ɦ	h	1.0
ɪ	ɪ	1.0
ɪː	ˈɪ	1.0
ʀ	æ	0.559
ʀ	r	0.374
ʀ	-	0.067
ʃ	ʃ	1.0
ʦ	ʃ	1.0
ˈaː	ˈa	0.431
ˈaː	ˈaʊ̯	0.146
ˈaː	ˈɒː	0.101
ˈaː	ˈoː	0.089
ˈaː	ˈɔ	0.067
ˈaː	-	0.059
ˈaː	ˈiː	0.059
ˈeː	ˈiː	0.243
ˈeː	ˈae̯	0.215
ˈeː	ˈɛ	0.133
ˈeː	ˈɛː	0.132
ˈeː	ˈaɪ̯	0.068
ˈeː	ˈoː	0.068
ˈi	ˈae̯	0.359
ˈi	ˈeː	0.278
ˈi	ˈɛɪ̯	0.108
ˈi	ˈɪ	0.102
ˈi	ˈɒː	0.079
ˈi	ˈiː	0.074
ˈiː	ˈiː	0.806
ˈiː	ˈae̯	0.194
ˈoː	ˈaʊ̯	0.334
ˈoː	ˈʊ	0.278
ˈoː	ˈɒː	0.267
ˈoː	ˈɔ	0.121
ˈu	ˈaʊ̯	0.796
ˈu	ˈɔʏ̯	0.204
ˈuː	ˈuː	0.969
ˈv	f	1.0
ˈyː	ˈyː	0.963
ˈæ	ˈa	0.445
ˈæ	ˈɛ	0.269
ˈæ	ˈaː	0.147
ˈæ	ˈœ	0.14
ˈæː	ˈaː	0.829
ˈæː	ˈʏ	0.106
ˈæː	ˈɛ	0.065
ˈøː	ˈɔʏ̯	0.33
ˈøː	ˈœː	0.215
ˈøː	ɾ	0.199
ˈøː	ˈɛː	0.11
ˈøː	ˈyː	0.074
ˈøː	ˈøː	0.072
ˈœ	ˈʏ	0.696
ˈœ	ˈɛ	0.212
ˈœ	ˈœ	0.093
ˈœi̯	ˈɔʏ̯	0.721
ˈœi̯	ˈyː	0.115
ˈœi̯	ˈiː	0.102
ˈœi̯	ˈuː	0.063
ˈœː	ˈoː	0.5
ˈœː	ˈuː	0.5
ˈɑ	ˈa	0.815
ˈɑ	ˈaː	0.149
ˈɑː	ˈa	0.901
ˈɑː	ˈɛː	0.099
ˈɒː	ˈɒː	0.725
ˈɒː	ˈoː	0.232
ˈɔ	ˈʊ	0.411
ˈɔ	ˈɔ	0.316
ˈɔ	ˈaʊ̯	0.178
ˈɔ	-	0.068
ˈɔu̯	ˈuː	0.588
ˈɔu̯	ˈaʊ̯	0.412
ˈɔː	ˈaʊ̯	0.519
ˈɔː	ˈɒː	0.331
ˈɔː	ˈʊ	0.092
ˈɔː	ˈɔ	0.058
ˈɛ	ˈɪ	0.491
ˈɛ	ˈɛ	0.245
ˈɛ	ˈiː	0.166
ˈɛ	ˈœ	0.098
ˈɛi̯	ˈae̯	1.0
ˈɛː	ˈae̯	0.555
ˈɛː	ˈɪ	0.18
ˈɛː	ˈiː	0.143
ˈɛː	ˈɛ	0.07
ˈɛː	ˈɛː	0.052
ˈɛːi̯	ˈae̯	0.776
ˈɛːi̯	ˈiː	0.224
ˈɪ	ˈɪ	0.814
ˈɪ	ˈœː	0.095
ˈɪ	ˈɛ	0.091
ˈɪː	ˈɪ	0.906
ˈɪː	ˈʏ	0.094
ˈʊ	ˈʊ	1.0
ˈʊː	ˈʊ	0.334
ˈʊː	ˈuː	0.276
ˈʊː	ˈaʊ̯	0.098
ˈʊː	ˈɒː	0.085
ˈʊː	ˈɔ	0.071
ˈʊː	ˈœː	0.056
ˈʏ	ˈɛ	0.5
ˈʏ	ˈʏ	0.5
ˈʏː	ˈʏ	0.885
ˈʏː	ˈʊ	0.115
β	v	0.853
β	w	0.139
