German	Afrikaans	probability
a	-	1.0
b	b	0.768
b	-	0.112
b	v	0.068
b	f	0.053
d	d	0.786
d	t	0.136
d	-	0.077
eː	i	1.0
f	f	0.664
f	p	0.293
h	ɦ	1.0
j	j	1.0
k	χ	0.643
k	k	0.285
k	-	0.072
kʰ	k	1.0
l	ɫ	0.951
m	m	0.987
n	n	0.866
n	-	0.103
p	f	0.914
p	p	0.059
p͡f	p	1.0
s	t	0.525
s	s	0.475
t	t	0.865
t	-	0.078
tʰ	d	0.945
tʰ	t	0.055
v	v	0.779
v	w	0.197
x	χ	0.593
x	k	0.407
z	s	1.0
ç	k	0.371
ç	χ	0.336
ç	ŋ	0.19
ç	-	0.104
ŋ	ŋ	1.0
ɐ	r	0.609
ɐ	ə	0.307
ə	ə	0.542
ə	-	0.279
ə	i	0.179
ɡ	χ	0.763
ɡ	-	0.237
ɪ	ə	1.0
ʁ	r	0.893
ʁ	s	0.09
ʃ	s	1.0
ʦ	t	0.964
ˈa	ˈa	0.762
ˈa	ˈɑː	0.132
ˈaɪ̯	ˈəɪ̯	0.524
ˈaɪ̯	ˈɪə̯	0.353
ˈaɪ̯	ˈə	0.069
ˈaʊ̯	ˈʊə̯	0.389
ˈaʊ̯	ˈœɪ̯	0.382
ˈaʊ̯	ˈœu̯	0.137
ˈaʊ̯	ˈɔ	0.051
ˈaː	ˈɑː	0.489
ˈaː	ˈa	0.318
ˈaː	ˈɛː	0.09
ˈaː	ˈɔː	0.052
ˈaː	ˈɪø̯	0.052
ˈeː	ˈi	0.342
ˈeː	ˈɪə̯	0.313
ˈeː	ˈɛ	0.148
ˈeː	ˈɑː	0.082
ˈeː	ˈʊə̯	0.062
ˈeː	ˈæ	0.053
ˈiː	ˈi	0.76
ˈiː	ˈəɪ̯	0.085
ˈiː	ˈɪə̯	0.056
ˈiː	j	0.055
ˈoː	ˈʊə̯	0.417
ˈoː	ˈɪø̯	0.284
ˈoː	ˈɑː	0.247
ˈoː	ˈoːɪ̯	0.051
ˈuː	ˈu	0.885
ˈuː	ˈɔ	0.115
ˈyː	ˈu	0.727
ˈyː	ˈi	0.19
ˈøː	ˈʊə̯	1.0
ˈœ	ˈɑː	1.0
ˈɔ	ˈɔ	0.589
ˈɔ	ˈʊə̯	0.314
ˈɔʏ̯	ˈi	0.345
ˈɔʏ̯	ˈœɪ̯	0.235
ˈɔʏ̯	ˈɪə̯	0.212
ˈɔʏ̯	ˈyː	0.126
ˈɔʏ̯	ˈʊə̯	0.081
ˈɛ	ˈɛ	0.308
ˈɛ	ˈæ	0.247
ˈɛ	ˈa	0.155
ˈɛ	ˈɪə̯	0.148
ˈɛ	ˈæː	0.061
ˈɛː	ˈɑː	0.693
ˈɛː	ˈɪə̯	0.307
ˈɪ	ˈə	0.787
ˈɪ	ˈɛ	0.062
ˈɪ	ˈæ	0.051
ˈʊ	ˈɔ	0.883
ˈʏ	ˈœ	0.682
ˈʏ	ˈɛ	0.21
ˈʏ	ˈəɪ̯	0.088
