Spanish	Catalan	probability
a	ə	0.961
a_θ	ə	0.269
b	b	0.877
b	-	0.084
d	d	0.814
d	-	0.124
d	t	0.062
e	ə	0.439
e	-	0.422
e	ʒ_ə	0.056
e_n	ə	0.5
e_n	ˈɛ	0.5
f	f	1.0
i	i	0.749
i	-	0.116
i	j	0.116
j	ˈe	0.538
j	j	0.179
j	-	0.171
j	i	0.07
j_ˈe	ˈɛ	1.0
k	k	0.971
l	ʎ	0.521
l	l	0.442
l_o	l	1.0
m	m	0.967
n	n	0.673
n	-	0.326
n_e	n	0.269
n_t	n	1.0
n_ˈe	n	0.518
o	-	0.625
o	u	0.238
o	ə	0.081
o_l	ɾ	1.0
o_s	s	1.0
p	p	1.0
p_o	s	1.0
r	r	1.0
s	s	0.887
s	z	0.063
s_o	s	1.0
t	t	0.837
t	l_t	0.071
u	u	0.784
u	w	0.139
w	ˈɔ	0.833
w	w	0.142
x	ʎ	0.549
x	ʒ	0.307
x	ʃ	0.081
x	ʧ	0.067
x_o	ʎ	1.0
ð	ð	0.609
ð	t	0.276
ð	z	0.064
ð_o	t	0.518
ð_ɾ	ɾ	0.518
ŋ	ŋ	1.0
ɟ͡ʝ	p_l	0.463
ɟ͡ʝ	l	0.281
ɟ͡ʝ	ʒ	0.127
ɟ͡ʝ	ʎ	0.082
ɡ	ɡ	0.809
ɡ	-	0.186
ɣ	ɣ	0.698
ɣ	k	0.149
ɣ	ɡ	0.069
ɣ	ʤ	0.069
ɣ_o	k	1.0
ɲ	ɲ	0.733
ɲ	n	0.168
ɲ	ŋ	0.066
ɲ	m	0.05
ɲ_o	ɲ	0.871
ɲ_o	t	0.085
ɾ	ɾ	0.486
ɾ	-	0.323
ɾ	r	0.165
ɾ_o	r	1.0
ʝ	l	0.304
ʝ	ʎ	0.265
ʝ	ʒ	0.265
ʝ	ʧ	0.152
ʝ_o	ʎ	1.0
ʧ	t	0.71
ʧ	j	0.219
ʧ_o	t	0.723
ʧ_o	l	0.215
ˈa	ˈa	0.955
ˈe	-	0.375
ˈe	ˈɛ	0.29
ˈe	ˈe	0.211
ˈe	ˈi	0.071
ˈe_j	ˈi	0.362
ˈe_j	w	0.315
ˈe_n	n	0.313
ˈe_n	ˈi	0.175
ˈe_n	ˈɛ	0.166
ˈe_n	ɲ	0.113
ˈe_s	s	0.518
ˈe_ɾ	r	0.75
ˈe_ɾ	ˈɛ	0.207
ˈe_β	w	1.0
ˈi	ˈi	0.685
ˈi	ˈe	0.116
ˈi	f_ˈi	0.101
ˈi_ɾ	ˈi	1.0
ˈo	ˈo	0.356
ˈo	ˈɔ	0.337
ˈo	ˈu	0.155
ˈo	ˈa	0.053
ˈo	w	0.05
ˈo_n	ˈo	1.0
ˈo_ɾ	ˈo	1.0
ˈu	ˈu	0.762
ˈu	ˈo	0.099
ˈu	w	0.086
ˈu	ˈɔ	0.05
ˈu_ɾ	ˈu	1.0
β	β	0.677
β	-	0.163
β	p	0.073
β	b	0.051
β_o	w	0.518
β_ˈe	ˈɛ	1.0
θ	s	0.454
θ	-	0.296
θ	ʃ	0.107
θ_a	ə	0.269
θ_ˈi	ˈi	1.0
