Saterland Frisian	Luxembourgish	probability
a	ˈi	0.525
a	ə	0.475
b	b	0.92
b	-	0.08
d	t	0.411
d	d	0.406
d	-	0.095
d	ɐ_t	0.069
f	f	1.0
h	h	0.959
i	e	1.0
j	-	0.521
j	ɡ	0.212
j	ˈe	0.114
j	j	0.111
k	k	0.303
k	ɕ	0.268
k	kʰ	0.25
k	χ	0.143
l	l	0.986
m	m	0.949
m	-	0.051
n	n	0.877
n	ŋ	0.089
p	f	0.639
p	p	0.361
r	ɐ	0.527
r	ʀ	0.439
s	ʃ	0.467
s	z	0.328
s	s	0.144
s	kʰ	0.06
t	s	0.305
t	ʦ	0.283
t	t	0.257
t	d	0.102
v	v	0.67
v	w	0.266
v	-	0.056
w	ə	0.472
w	ˈɑɪ̯	0.472
w	w	0.056
x	ɕ	0.582
x	k	0.212
x	f	0.108
x	χ	0.052
z	s	0.588
z	z	0.206
z	ʀ	0.206
ŋ	ŋ	0.944
ŋ	-	0.056
ə	ə	0.76
ə	-	0.167
ə	ʀ	0.051
ɡ	ɡ	1.0
ɣ	ɡ	0.478
ɣ	-	0.194
ɣ	k	0.127
ɣ	v	0.117
ɣ	ʑ	0.085
ɪ	ə	0.594
ɪ	e	0.247
ɪ	-	0.159
ɫ	l	1.0
ˈa	ˈaː	0.285
ˈa	ˈo	0.285
ˈa	ˈuə̯	0.265
ˈa	ˈeː	0.165
ˈaː	ˈɛː	0.346
ˈaː	ˈeː	0.264
ˈaː	ˈaː	0.261
ˈaː	ˈɑ	0.13
ˈaːi̯	ˈeː	0.507
ˈaːi̯	ˈaː	0.257
ˈaːi̯	ˈoː	0.236
ˈaːu̯	ˈɑ	0.505
ˈaːu̯	ˈɜɪ̯	0.495
ˈeː	ˈeː	0.514
ˈeː	ˈɜɪ̯	0.322
ˈeː	ˈiə̯	0.129
ˈeːu̯	ˈi	1.0
ˈi	ˈæːɪ̯	0.343
ˈi	ˈeː	0.123
ˈi	ɐ	0.108
ˈi	ˈɑɪ̯	0.093
ˈi	ˈə	0.089
ˈi	-	0.083
ˈi	ˈæɪ̯	0.071
ˈi	ˈɜɪ̯	0.071
ˈiː	ˈɑ	0.269
ˈiː	ˈoː	0.224
ˈiː	ˈɜɪ̯	0.101
ˈiː	ˈɛː	0.093
ˈiː	ˈə	0.069
ˈiː	ˈiː	0.067
ˈiːu̯	ˈiə̯	1.0
ˈoː	ˈɜɪ̯	0.299
ˈoː	ˈaː	0.248
ˈoː	ˈəʊ̯	0.161
ˈoː	-	0.089
ˈoːu̯	ˈɑ	0.283
ˈoːu̯	ˈəʊ̯	0.222
ˈoːu̯	ˈu	0.154
ˈoːu̯	ˈo	0.112
ˈoːu̯	ˈʊ	0.058
ˈu	ˈɔ	0.69
ˈu	ˈəʊ̯	0.31
ˈuː	ˈɑɪ̯	0.263
ˈuː	ˈæːʊ̯	0.185
ˈuː	ˈo	0.177
ˈuː	ˈu	0.116
ˈuː	ˈʊ	0.082
ˈuː	ˈaː	0.081
ˈuː	-	0.052
ˈyː	ˈə	0.791
ˈyː	ˈæːɪ̯	0.209
ˈœː	ˈi	1.0
ˈɔ	ˈə	0.336
ˈɔ	ˈɑ	0.299
ˈɔ	ˈo	0.26
ˈɔ	ˈaː	0.07
ˈɔː	ˈaː	0.369
ˈɔː	ˈiː	0.262
ˈɔː	ˈuː	0.132
ˈɔː	ˈə	0.09
ˈɔːɪ̯	ˈeː	1.0
ˈɛ	ˈɛ	0.182
ˈɛ	ˈoː	0.178
ˈɛ	ˈæːɪ̯	0.178
ˈɛ	ˈə	0.178
ˈɛ	ˈaː	0.164
ˈɛ	ˈu	0.12
ˈɛɪ̯	ˈɜɪ̯	0.165
ˈɛɪ̯	ˈi	0.12
ˈɛɪ̯	ˈe	0.098
ˈɛɪ̯	ˈɛː	0.089
ˈɛɪ̯	ˈaː	0.081
ˈɛɪ̯	ˈoː	0.08
ˈɛɪ̯	ˈæːɪ̯	0.077
ˈɛɪ̯	ˈu	0.069
ˈɛɪ̯	ˈæːʊ̯	0.069
ˈɛɪ̯	ˈɑɪ̯	0.067
ˈɛː	-	0.21
ˈɛː	ˈaː	0.18
ˈɛː	ˈe	0.173
ˈɛː	ˈə	0.172
ˈɛː	ˈæ	0.093
ˈɛː	ˈiː	0.086
ˈɛː	ˈɛ	0.085
ˈɪ	ˈɑ	0.491
ˈɪ	ˈe	0.264
ˈɪ	ˈə	0.178
ˈʊ	ˈo	0.261
ˈʊ	ˈʊ	0.211
ˈʊ	ˈɔ	0.162
ˈʊ	ˈuː	0.093
ˈʊ	ˈɑ	0.079
ˈʊ	ˈoː	0.059
