Upper Sorbian	Upper Sorbian	probability
ʨ_ɛ	ʦʲ_æ	1.0
ʧ	ʧ	1.0
ʥ	ʣʲ	1.0
ʒ̊	ʐ̊	1.0
ʒ	ʐ	1.0
ʀʲ	r	1.0
ɲ	nʲ	1.0
ɥ	vʲ	1.0
ɔ_d	a_d	1.0
z̥	z̥	1.0
xʲ	xʲ	1.0
x_ʨ	a_ʦʲ	1.0
x	x	1.0
w_o	o	1.0
t_ɔ	t_o	1.0
pʲ	pʲ	1.0
p	p	1.0
n	n	1.0
mʲ	mʲ	1.0
kʲ	kʲ	1.0
d_w	ɫ	1.0
b̥	b̥	1.0
bʲ	bʲ	1.0
a_z	æ_z	1.0
<#_ʀ	<#_r	1.0
<#_w_ɔ	<#_a	1.0
ʨ	ʦʲ	0.944
ɦ	ɣ	0.933
k	k	0.905
l	lʲ	0.889
t	t	0.875
ʀ	r	0.85
o	o	0.846
d	d	0.833
m	m	0.8
d̥	d̥	0.8
b	b	0.778
ɪ	ɨ	0.774
ɔ_#>	a_#>	0.706
s	s	0.686
u	u	0.684
w_#>	ɫ_#>	0.667
i	i	0.667
e	e	0.625
ʦ	ʦ	0.6
a	a_ˈ	0.574
j	j	0.545
ɔ	o	0.543
w	v	0.528
z	zʲ	0.5
z	z	0.5
j	-	0.455
ʃ	-	0.429
ɛ	e	0.417
ʦ	ʧ	0.4
w	ɫ	0.389
w_#>	w_#>	0.333
i	ɨ	0.333
s	sʲ	0.314
ɔ_#>	#>	0.294
ʃ	ʂ	0.286
ʃ	r	0.286
ɔ	a	0.286
a	a	0.234
b	bʲ	0.222
ɛ	æ	0.208
ɛ	a	0.208
m	mʲ	0.2
d̥	d̥ʲ	0.2
d	ʣʲ	0.167
o	-	0.154
ʀ	a_r	0.15
a	æ	0.149
ɪ	-	0.129
t	ʦʲ	0.125
e	æ	0.125
e	o	0.125
e	-	0.125
l	ʌ_ɫ	0.111
u	ʉ	0.105
u	ɨ	0.105
u	-	0.105
ɪ	i	0.097
k	-	0.095
ɔ	ɵ	0.086
ɔ	e	0.086
ɛ	o	0.083
ɛ	-	0.083
w	w	0.083
ɦ	ɣʲ	0.067
ʨ	ʤ̥	0.056
