Pennsylvania German	Swabian	probability
ˈɪ_k	ˈu_ɡ	1.0
ˈɛ_ʋ	ˈɛː_b	1.0
ˈaʊ̯	ˈao̯	1.0
ˈa_n	ˈaː	1.0
ʦ	ʦ	1.0
ʃ	ʃ	1.0
ɣ	ɡ	1.0
ɡ̊	ɡ	1.0
ɡ	ɡ	1.0
ə_#>	#>	1.0
ŋ	ŋ	1.0
x	x	1.0
t	d	1.0
p	-	1.0
m	m	1.0
l	l	1.0
h	h	1.0
f	f	1.0
d̥	d	1.0
d_ə	d_a	1.0
d	d	1.0
b̥	b	1.0
b	b	1.0
s	s	0.96
ə	a	0.952
ɾ	ʁ	0.9
ʋ	ʋ	0.893
ˈa	ˈa	0.857
n	n	0.786
ˈɛ	ˈɛ	0.765
ˈuː	ˈuə̯	0.75
ɪ	-	0.75
ɑ	ʌ	0.703
ˈoː	ˈoː	0.643
ˈaɪ̯	ˈəi̯	0.619
ˈaː	ˈa_ʕ	0.6
j	ɡ	0.6
ˈɛː	ˈɛ	0.556
k	kʰ	0.556
ˈɔ	ˈo	0.545
ç	ç	0.533
ˈʊ	ˈo	0.5
ˈiː	ˈiə̯	0.5
ˈeː	ˈɔe̯	0.5
ˈɪ	ˈi	0.48
ˈɛː	-	0.444
k	ɡ	0.444
ˈaː	ʕ	0.4
j	j	0.4
ˈaɪ̯	ˈae̯	0.381
ˈɔː	ˈaː	0.353
ɑ	ʕ	0.297
ˈɔː	ˈao̯	0.294
ˈiː	ˈiː	0.286
ˈʊ	ˈu	0.278
ˈɔ	ˈɔ	0.273
ç	ɡ	0.267
ˈuː	ˈuː	0.25
ɪ	ɪ	0.25
ˈɔː	ˈɔː	0.235
ˈoː	ˈɔː	0.214
ˈiː	-	0.214
ˈɪ	ˈɪ	0.2
ç	-	0.2
ˈeː	ˈeː	0.192
ˈɔ	-	0.182
ˈɪ	ˈe	0.16
ˈɪ	-	0.16
ˈoː	-	0.143
ˈa	-	0.143
n	-	0.119
ˈɛ	ˈe	0.118
ˈɛ	-	0.118
ˈɔː	ˈa	0.118
ˈeː	ˈae̯	0.115
ˈeː	-	0.115
ˈʊ	ˈɔ	0.111
ˈʊ	-	0.111
ʋ	b	0.107
ɾ	-	0.1
n	n_d	0.095
ˈeː	ˈeə̯	0.077
