Min Bei	Min Bei	probability
⁵⁴	⁴²	1.0
ɥ	-	1.0
œ_ɥ	u	1.0
u_j	ɵ	1.0
tʰ	tʰ	1.0
pʰ	pʰ	1.0
o	-	1.0
m	m	1.0
l	l	1.0
kʰ	kʰ	1.0
j_ŋ	n	1.0
j_a	j_ɛ	1.0
i_ŋ	ɛ_n	1.0
e_j	i	1.0
e	ɛ_w	1.0
<#_ɔ	<#_h_ɔ	1.0
<#_œ	<#_ɵ	1.0
<#_x	<#	1.0
<#_w	<#	1.0
<#	<#_f	1.0
#>	⁴²_#>	1.0
⁵⁵	¹¹	0.833
a	a	0.826
ʦʰ	ʦʰ	0.8
n	nʲ	0.75
ʦ	ʦ	0.714
²¹	²¹³	0.667
x	f	0.667
w	w	0.625
s	s	0.615
p	p	0.556
³³	³⁵	0.548
i	i	0.545
²⁴	t̚_⁵	0.533
ŋ	n	0.51
<#_ŋ	<#_nʲ	0.5
<#_ŋ	<#	0.5
ŋ	ŋ	0.49
ɔ	u	0.474
²⁴	⁵	0.467
i	z̩	0.455
⁴²	⁵	0.444
k	ʨ	0.417
s	ɕ	0.385
u	w	0.375
ɛ	j	0.353
⁴²	²	0.333
x	h	0.333
k	k	0.333
u	u	0.312
t	ʦ	0.3
t	tʰ	0.3
ʦ	ʨʰ	0.286
y	ɥ	0.278
ɔ	ɔ	0.263
³³	²⁴	0.258
n	l	0.25
k	ʨʰ	0.25
j	i	0.25
⁴²	¹¹	0.222
y	y	0.222
y	u_ʔ	0.222
p	pʰ	0.222
p	-	0.222
ʦʰ	ʨʰ	0.2
t	ʦʰ	0.2
t	t	0.2
³³	²¹³	0.194
w	a	0.188
w	-	0.188
j	ɵ	0.188
j	j	0.188
ɛ	ɛ_t̚	0.176
ɛ	a_j	0.176
ɛ	-	0.176
⁵⁵	²¹³	0.167
²¹	³⁵	0.167
²¹	²⁴	0.167
ɔ	-	0.158
u	ɨ	0.125
u	-	0.125
j	ɨ	0.125
j	a	0.125
j	-	0.125
ɛ	ɵ_t̚	0.118
y	ɨ	0.111
y	a	0.111
ɔ	ɔ_ʔ	0.105
a	ɔ	0.087
a	-	0.087
u	ŋ̍	0.062
y	e	0.056
