Štokavian	Štokavian	probability
̌_n	̀_n	1.0
̌_l	̀_l	1.0
̌_k	̀_k	1.0
̂_t	̀_t	1.0
̂_s	s	1.0
ʨ	ʧ	1.0
ʧ	-	1.0
ʦ	ʦ	1.0
ʎ	l	1.0
ʋ_j	ʋ	1.0
ʋ_#>	ʋ_#>	1.0
ʋ	ʋ	1.0
ɲ	n	1.0
ɡ̊	ɡ̊	1.0
ɡ_#>	ɡ̊_#>	1.0
ɡ	ɡ	1.0
z	z	1.0
x	x	1.0
s	s	1.0
r̩ː	-	1.0
r̩	ə	1.0
r_#>	r_#>	1.0
p	p	1.0
o_̂	oː_̀	1.0
n	n	1.0
m	m	1.0
l_#>	w_#>	1.0
l	l	1.0
j_eː	eː	1.0
j_e	eː	1.0
j	-	1.0
e_#>	ɛ_#>	1.0
d_#>	d̥_#>	1.0
d	d	1.0
b_#>	b̥_#>	1.0
b	b	1.0
a_̂	aː_̀	1.0
a_o	ə_w	1.0
a_n	ə_n	1.0
a_k	ə_k	1.0
a_#>	#>	1.0
<#_u	<#_ʋ	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_o	<#_ɔː	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_j	<#_j	1.0
#>	́_#>	1.0
t	t	0.931
k	k	0.905
r	r	0.889
aː	aː	0.833
̌	̀	0.818
oː	oː	0.8
iː	iː	0.8
ʒ	ʒ	0.778
̂	́	0.7
i	i	0.682
a	a	0.667
eː	eː	0.5
o	ɔ	0.407
e	ɛ	0.385
uː	uː	0.333
uː	oː	0.333
u	ɔː	0.333
u	oː	0.333
u	-	0.333
i	iː	0.318
o	oː	0.296
a	ə	0.292
e	eː	0.269
e	ɛː	0.231
ʒ	ʒ̊	0.222
eː	eː_́	0.214
uː	ɔː	0.2
oː	ɔ	0.2
iː	-	0.2
̌	-	0.182
aː	aː_́	0.167
o	ɔː	0.148
o	o	0.148
eː	ə	0.143
eː	e	0.143
uː	oː_́	0.133
̂	-	0.125
e	e	0.115
r	r_j	0.111
̂	̀	0.1
k	x	0.095
t	̀_t	0.069
