Elfdalian	Alsatian	probability
ˈʉ̃ːə̯	-	1.0
ˈʉːə̯_ɣ	j	1.0
ˈɛː	-	1.0
ˈɔ̃ː	-	1.0
ˈɔ	ˈɒ	1.0
ˈɑːu̯	ˈyː	1.0
ˈyːœ̯	ˈiː	1.0
ˈyœ̯	-	1.0
ˈo	ˈɒ	1.0
ʨː	-	1.0
ʥ	ɡ̊	1.0
ʉ_ŋ	i	1.0
ʉ	n	1.0
ɽ	l	1.0
ɪ	-	1.0
ɡː	k	1.0
ɡ_#>	#>	1.0
ɛ_ɽ	l	1.0
ɛ	ə	1.0
ɔ	ə	1.0
ɑ_#>	#>	1.0
ɑ	ə	1.0
ŋ_ɡ	ŋ	1.0
ŋ	-	1.0
w	ʋ	1.0
v_ɔ	n	1.0
t_#>	ʦ_#>	1.0
t	s	1.0
s_ʨ	ʃ	1.0
s_t	ʃ_t	1.0
s_j	s	1.0
s_#>	z̥_#>	1.0
p	f	1.0
n_#>	#>	1.0
n	n	1.0
mː	m	1.0
m	m	1.0
lː	l	1.0
l	l	1.0
kː	-	1.0
kʰ	kʰ	1.0
j_ˈʉːə̯	ˈiː	1.0
j_ˈæ	ˈæ	1.0
f	f	1.0
d_#>	d̥_#>	1.0
b	b̥	1.0
<#_ˈɑː	<#_ˈɒ	1.0
<#_ɡ	<#_ɡ̊	1.0
<#_r	<#_ʁ	1.0
<#_n	<#_n	1.0
r	ʁ	0.913
ð	t	0.889
ˈɪ	ˈi	0.882
ˈiːe̯	ˈəi̯	0.778
ɣ	-	0.714
ˈɑ	ˈɒ	0.7
<#	<#_h	0.7
ˈʉː	-	0.667
ˈɑːi̯	ˈiː	0.667
j	-	0.667
#>	n_#>	0.667
nː	n	0.625
k_#>	ʃ_#>	0.625
d	d̥	0.611
ˈʏ	ˈu	0.6
ˈʉːə̯	ˈʊː	0.6
ˈɪː	ˈi	0.571
tʰ	ʦ	0.571
s	s	0.55
ˈʏː	ˈiː	0.5
ˈʏː	-	0.5
ˈʉə̯	ˈo	0.5
ˈʉə̯	-	0.5
ˈɛ	ˈe	0.5
ˈɛ	-	0.5
ˈɑː	ˈɒː	0.5
ˈæː	ˈeː	0.5
ˈæː	-	0.5
ˈoː	ˈoː	0.5
ˈoː	-	0.5
v	f	0.5
ˈʉ	ˈu	0.467
s	ʃ	0.45
ˈɔː	-	0.444
ˈɪː	ˈiː	0.429
tʰ	d̥	0.429
ˈʏ	-	0.4
d	t	0.389
nː	ʁ_n	0.375
k_#>	#>	0.375
ˈʉː	ˈi	0.333
ˈɔː	ˈoː	0.333
ˈɑːi̯	-	0.333
ˈœː	ˈʊː	0.333
ˈœː	ˈoː	0.333
ˈœː	-	0.333
tː	ʦ	0.333
tː	x_t	0.333
tː	t	0.333
j	ʋ	0.333
#>	ʁ_#>	0.333
ˈɑ	ˈɒː	0.3
<#	<#_ʋ	0.3
ɣ	ɡ̊	0.286
ˈʉ	ˈo	0.267
ˈɑː	ˈɒ	0.25
ˈɑː	ˈaː	0.25
v	l_b̥	0.25
v	b̥	0.25
ˈɔː	ˈɒ	0.222
ˈiːe̯	-	0.222
ˈʉːə̯	ˈiː	0.2
ˈʉːə̯	-	0.2
ˈʉ	h_ˈu	0.133
ˈʉ	-	0.133
ˈɪ	-	0.118
ð	d̥	0.111
r	ə_ʁ	0.087
