Swabian	Bokmål Norwegian	probability
a	ə	0.599
a	-	0.268
a	n	0.082
a	ˈiː	0.044
b	b	0.633
b	-	0.364
b̥͡f	p	0.482
d	d	0.412
d	-	0.186
d	tʰ	0.186
d	t	0.156
d	nː	0.046
d_l	l	0.112
d_ʌ	ɾ	1.0
e	-	0.482
f	f	0.59
f	ʋ	0.156
f	p	0.125
f	-	0.097
h	h	0.938
h	-	0.062
i	ə	1.0
j	-	0.66
j	ˈʊ	0.153
kʰ	kʰ	0.668
kʰ	ç	0.215
kʰ	-	0.082
l	l	0.778
l	lː	0.148
l	nː	0.038
l	-	0.036
l_d	lː	1.0
m	m	0.819
m	ʋ	0.107
m	mː	0.07
n	n	0.604
n	-	0.25
n	nː	0.081
n	ŋ	0.057
n_d	nː	1.0
p͡f	d	0.232
s	s	0.573
s	t	0.261
s	sː	0.066
s	d	0.038
s	ʂ	0.038
t	d	0.53
t	-	0.141
t	n	0.078
x	-	0.361
x	j	0.361
x	k	0.2
x_d	tː	1.0
ç	k	0.677
ç	s	0.179
ç	tː	0.119
ŋ	ŋː	1.0
ŋ_ɡ	kː	1.0
ɐ	ə	0.232
ə	ə	0.482
ɡ	ɡ	0.407
ɡ	-	0.336
ɡ	ɡː	0.084
ɡ	j	0.071
ɡ	k	0.042
ɡ_l	l	1.0
ɪ	i	0.318
ɪ	ɪ	0.318
ʁ	ɾ	0.952
ʁ	s	0.05
ʃ	s	0.623
ʃ	s_k	0.323
ʃ	ʃ	0.051
ʋ	ʋ	0.768
ʋ	-	0.089
ʋ	ˈʉː	0.089
ʋ	ˈœ	0.053
ʋ_ˈo	ˈʉ	0.784
ʋ_ˈo	ˈuː	0.12
ʌ	ə_ɾ	0.351
ʌ	-	0.148
ʌ	ɾ	0.115
ʌ	nː	0.085
ʌ	ɾ_ə	0.085
ʕ	ɾ	0.669
ʕ	ɾ_ə	0.201
ʕ	-	0.05
ʕ	ɳ	0.048
ʕ_d	ɾ	1.0
ʕ_n	ɳ	1.0
ʦ	tʰ	0.42
ʦ	-	0.143
ʦ	tː	0.143
ʦ	ç	0.143
ʦ	t	0.073
ʦ_ʋ	tʰ	0.482
ˈa	ˈɑ	0.608
ˈa	ˈɑː	0.143
ˈa	ˈɛ	0.088
ˈa	ə	0.058
ˈa	ˈeː	0.058
ˈa_s	ˈɑ	1.0
ˈae̯	ˈɛ	0.354
ˈae̯	ˈʉː	0.203
ˈae̯	ˈiː	0.129
ˈae̯	ˈeː	0.086
ˈae̯	ˈœ	0.059
ˈao̯	ˈʉː	0.532
ˈao̯	ˈøː	0.191
ˈao̯	ˈʉ	0.11
ˈao̯	ˈuː	0.08
ˈao̯	ˈœ	0.063
ˈaː	ˈɑː	0.281
ˈaː	ˈoː	0.197
ˈaː	ˈɑ	0.171
ˈaː	ˈæɪ̯	0.13
ˈaː	ˈiː	0.092
ˈe	ˈɪ	0.231
ˈe	ˈiː	0.222
ˈe	ˈœ	0.147
ˈe	ˈɔ	0.133
ˈe	ˈɛ	0.065
ˈeə̯	ˈʉː	0.425
ˈeə̯	ˈiː	0.235
ˈeə̯	ˈœ	0.13
ˈeː	ˈeː	0.234
ˈeː	ˈʊ	0.234
ˈeː	ˈøː	0.212
ˈeː	ˈɪ	0.089
ˈeː	ˈæɪ̯	0.063
ˈi	ˈiː	0.379
ˈi	ˈɪ	0.278
ˈi	ˈyː	0.1
ˈi	ˈoː	0.077
ˈi	ˈæɪ̯	0.075
ˈiə̯	ˈyː	0.623
ˈiə̯	ˈøː	0.349
ˈiː	ˈyː	0.594
ˈiː	ˈʉː	0.392
ˈo	ˈʉ	0.451
ˈo	ˈɔ	0.158
ˈo	ˈœ	0.109
ˈo	ˈʊ	0.074
ˈo	-	0.072
ˈoː	ˈœ	0.265
ˈoː	ˈʊ	0.168
ˈoː	ˈɔ	0.159
ˈoː	ˈʉː	0.107
ˈoː	ˈøː	0.101
ˈoː_d	ˈøː	1.0
ˈu	ˈʏ	0.699
ˈu	ˈuː	0.297
ˈuə̯	ˈuː	0.822
ˈuə̯	ˈʉː	0.107
ˈuə̯_d	ˈuː	1.0
ˈuː	ˈʉː	0.318
ˈuː	ˈuː	0.153
ˈɔ	ˈuː	0.506
ˈɔ	ˈʉː	0.234
ˈɔ	-	0.14
ˈɔ	ˈɑ	0.057
ˈɔe̯	ˈæɪ̯	0.592
ˈɔe̯	ˈeː	0.157
ˈɔe̯	j	0.108
ˈɔe̯	ˈuː	0.108
ˈɔə̯	ˈuː	1.0
ˈɔː	ˈoː	0.487
ˈɔː	ˈɑ	0.314
ˈɔː	ˈeː	0.18
ˈəi̯	ˈiː	0.408
ˈəi̯	ˈyː	0.276
ˈəi̯	ˈʏ	0.114
ˈəi̯	ˈɛ	0.086
ˈəi̯	ˈɪ	0.086
ˈəi̯_d	ˈiː	1.0
ˈɛ	ˈɛ	0.278
ˈɛ	ˈeː	0.179
ˈɛ	ˈæː	0.136
ˈɛ	ˈɑ	0.121
ˈɛ	ˈɛː	0.09
ˈɛː	j	0.549
ˈɛː	ˈeː	0.268
ˈɛː	ˈæɪ̯	0.102
ˈɪ	ˈɪ	0.384
ˈɪ	ˈœ	0.253
ˈɪ	ˈeː	0.161
ˈɪ	ˈʏ	0.097
ˈʌ	ˈɪ	0.574
ˈʌ	ˈæ	0.277
