Swabian	Bokmål Norwegian	probability
a	ə	0.61
a	-	0.306
b	b	0.616
b	-	0.379
b̥͡f	p	0.482
d	d	0.366
d	-	0.277
d	tʰ	0.165
d	t	0.138
d_ʌ	ɾ	1.0
e	-	0.482
f	f	0.619
f	ʋ	0.142
f	p	0.131
f	-	0.075
h	h	0.936
h	-	0.063
i	ə	1.0
j	-	0.66
j	ˈʊ	0.153
kʰ	kʰ	0.668
kʰ	ç	0.215
kʰ	-	0.082
l	l	0.774
l	lː	0.151
l_d	lː	1.0
m	m	0.81
m	mː	0.074
m	ʋ	0.065
m	n	0.05
n	n	0.604
n	-	0.25
n	nː	0.081
n	ŋ	0.057
n_d	nː	1.0
p͡f	d	0.232
s	s	0.578
s	t	0.263
s	sː	0.067
t	d	0.53
t	-	0.141
t	n	0.078
x	-	0.361
x	j	0.361
x	k	0.2
x_d	tː	1.0
ç	k	0.677
ç	s	0.179
ç	tː	0.119
ŋ	ŋː	1.0
ŋ_ɡ	kː	1.0
ɐ	ə	0.232
ə	ə	0.482
ɡ	ɡ	0.407
ɡ	-	0.336
ɡ	ɡː	0.084
ɡ	j	0.071
ɡ_l	l	1.0
ɪ	i	0.318
ɪ	ɪ	0.318
ʁ	ɾ	0.952
ʁ	s	0.05
ʃ	s	0.63
ʃ	s_k	0.312
ʃ	ʃ	0.052
ʋ	ʋ	0.731
ʋ	-	0.129
ʋ	ˈʉː	0.085
ʋ	ˈœ	0.051
ʋ_ˈo	ˈʉ	1.0
ʌ	ə_ɾ	0.339
ʌ	ɾ	0.197
ʌ	-	0.143
ʌ	nː	0.082
ʌ	ɾ_ə	0.082
ʌ	ˈæː	0.065
ʌ	ə	0.051
ʕ	ɾ	0.716
ʕ	ɾ_ə	0.174
ʕ_n	ɳ	1.0
ʦ	tʰ	0.42
ʦ	-	0.143
ʦ	tː	0.143
ʦ	ç	0.143
ʦ	t	0.073
ʦ_ʋ	tʰ	0.482
ˈa	ˈɑ	0.608
ˈa	ˈɑː	0.143
ˈa	ˈɛ	0.088
ˈa	ə	0.058
ˈa	ˈeː	0.058
ˈa_s	ˈɑ	1.0
ˈae̯	ˈɛ	0.37
ˈae̯	ˈʉː	0.213
ˈae̯	ˈiː	0.135
ˈae̯	ˈeː	0.086
ˈae̯	ˈœ	0.059
ˈao̯	ˈʉː	0.532
ˈao̯	ˈøː	0.191
ˈao̯	ˈʉ	0.11
ˈao̯	ˈuː	0.08
ˈao̯	ˈœ	0.063
ˈaː	ˈɑː	0.266
ˈaː	ˈoː	0.201
ˈaː	ˈɑ	0.175
ˈaː	ˈæɪ̯	0.133
ˈaː	ˈiː	0.094
ˈaː	ˈɛ	0.092
ˈe	ˈɪ	0.231
ˈe	ˈiː	0.222
ˈe	ˈœ	0.147
ˈe	ˈɔ	0.133
ˈe	ˈɛ	0.065
ˈeə̯	ˈʉː	0.425
ˈeə̯	ˈiː	0.235
ˈeə̯	ˈœ	0.13
ˈeː	ˈeː	0.234
ˈeː	ˈʊ	0.234
ˈeː	ˈøː	0.212
ˈeː	ˈɪ	0.089
ˈeː	ˈæɪ̯	0.063
ˈi	ˈiː	0.379
ˈi	ˈɪ	0.278
ˈi	ˈyː	0.1
ˈi	ˈoː	0.077
ˈi	ˈæɪ̯	0.075
ˈi	ˈɛ	0.075
ˈiə̯	ˈyː	0.623
ˈiə̯	ˈøː	0.349
ˈiː	ˈyː	0.594
ˈiː	ˈʉː	0.392
ˈo	ˈʉ	0.412
ˈo	ˈɔ	0.144
ˈo	ˈœ	0.099
ˈo	ˈuː	0.071
ˈo	ˈʊ	0.071
ˈo	-	0.068
ˈo	ˈoː	0.052
ˈoː	ˈøː	0.478
ˈoː	ˈœ	0.187
ˈoː	ˈʊ	0.129
ˈoː	ˈʉː	0.082
ˈoː	ˈɔ	0.055
ˈu	ˈʏ	0.699
ˈu	ˈuː	0.297
ˈuə̯	ˈuː	0.74
ˈuə̯	ˈʉː	0.13
ˈuə̯_d	ˈuː	1.0
ˈuː	ˈʉː	0.318
ˈuː	ˈuː	0.153
ˈɔ	ˈuː	0.506
ˈɔ	ˈʉː	0.234
ˈɔ	-	0.14
ˈɔ	ˈɑ	0.057
ˈɔe̯	ˈæɪ̯	0.592
ˈɔe̯	ˈeː	0.157
ˈɔe̯	j	0.108
ˈɔe̯	ˈuː	0.108
ˈɔə̯	ˈuː	1.0
ˈɔː	ˈoː	0.487
ˈɔː	ˈɑ	0.314
ˈɔː	ˈeː	0.18
ˈəi̯	ˈiː	0.437
ˈəi̯	ˈyː	0.295
ˈəi̯	ˈʏ	0.122
ˈəi̯	ˈɛ	0.089
ˈəi̯_d	ˈiː	1.0
ˈɛ	ˈɛ	0.283
ˈɛ	ˈeː	0.182
ˈɛ	ˈæː	0.138
ˈɛ	ˈɑ	0.107
ˈɛ	ˈøː	0.091
ˈɛ	ˈɛː	0.091
ˈɛ	-	0.054
ˈɛː	j	0.549
ˈɛː	ˈeː	0.268
ˈɛː	ˈæɪ̯	0.102
ˈɪ	ˈɪ	0.384
ˈɪ	ˈœ	0.253
ˈɪ	ˈeː	0.161
ˈɪ	ˈʏ	0.097
ˈʌ	ˈɪ	0.574
ˈʌ	ˈæ	0.277
