Bokmål Norwegian	Swabian	probability
b	b	0.983
b	-	0.035
d	d	0.846
d	s	0.057
d	t	0.057
d	p͡f	0.049
e	-	1.0
f	f	1.0
h	h	0.959
h	-	0.047
i	ɪ	0.241
j	-	0.316
j	ɡ	0.281
j	ˈɛː	0.167
j	x	0.097
j	ˈɔe̯	0.07
k	ç	0.564
k	x	0.182
k	ɡ	0.178
kʰ	kʰ	0.613
kʰ	-	0.193
kʰ	ʁ	0.193
kː	ŋ_ɡ	0.644
kː	ɡ	0.24
l	l	0.914
l	ɡ_l	0.083
lː	l	0.616
lː	l_d	0.375
m	m	1.0
mː	m	1.0
n	n	0.53
n	-	0.304
n	a	0.118
n	t	0.048
nː	n_d	0.3
nː	-	0.287
nː	n	0.132
nː	d	0.115
nː	l	0.076
nː	ʌ	0.076
p	f	0.843
p	b̥͡f	0.131
s	s	0.532
s	ʃ	0.411
s	ç	0.037
s	ʁ	0.033
s_k	ʃ	1.0
sː	s	1.0
t	s	0.543
t	d	0.408
t	ʦ	0.05
tʰ	d	0.513
tʰ	ʦ	0.396
tʰ	ʦ_ʋ	0.057
tʰ	b	0.034
tː	x_d	0.425
tː	s	0.167
tː	x	0.117
tː	ç	0.117
tː	ʦ	0.117
ç	d	0.282
ç	kʰ	0.282
ŋ	n	0.574
ŋ	ɡ	0.282
ŋː	ŋ	1.0
ə	-	0.514
ə	a	0.36
ə	i	0.029
ə	ɐ	0.029
ə	ə	0.029
ə	ʌ	0.029
ə	ˈao̯	0.029
ə_ɾ	ʌ	1.0
ɡ	ɡ	0.979
ɡ	-	0.037
ɡː	ɡ	0.776
ɡː	-	0.172
ɪ	ɪ	0.491
ɳ	ʕ_n	0.488
ɳ	ʕ	0.316
ɾ	ʁ	0.487
ɾ	-	0.165
ɾ	ʕ	0.162
ɾ	d_ʌ	0.116
ɾ	ʌ	0.041
ɾ	ʕ_d	0.032
ɾ_ə	ʌ	0.299
ɾ_ə	ʕ	0.168
ʂ	s	0.118
ʃ	ʃ	0.491
ʈ	ʦ	0.491
ʈː	ʦ	0.491
ʋ	ʋ	0.483
ʋ	f	0.243
ʋ	-	0.21
ʋ	m	0.056
ˈeː	ˈɔe̯	0.212
ˈeː	ˈɛ	0.212
ˈeː	ˈae̯	0.14
ˈeː	ˈɔː	0.101
ˈeː	ˈɛː	0.101
ˈeː	ˈɪ	0.071
ˈeː	ˈeː	0.056
ˈeː	ˈoː	0.039
ˈeː	ˈa	0.038
ˈiː	ˈəi̯	0.415
ˈiː	ˈi	0.215
ˈiː	ˈəi̯_d	0.173
ˈiː	ˈeə̯	0.099
ˈiː	ˈae̯	0.076
ˈoː	ˈɔː	0.432
ˈoː	-	0.144
ˈoː	ˈi	0.144
ˈoː	ˈaː	0.133
ˈoː	ˈo	0.101
ˈuː	ˈuə̯	0.221
ˈuː	ˈɔ	0.164
ˈuː	ˈao̯	0.139
ˈuː	ˈɔə̯	0.139
ˈuː	ˈuə̯_d	0.121
ˈuː	ˈu	0.08
ˈuː	ˈuː	0.08
ˈuː	ˈɔe̯	0.044
ˈyː	ˈiə̯	0.372
ˈyː	ˈəi̯	0.299
ˈyː	ˈiː	0.193
ˈyː	ˈi	0.099
ˈæ	ˈʌ	0.372
ˈæ	ˈi	0.183
ˈæɪ̯	ˈɔe̯	0.396
ˈæɪ̯	ˈi	0.159
ˈæɪ̯	ˈɛː	0.159
ˈæɪ̯	ˈeː	0.115
ˈæɪ̯	ˈaː	0.108
ˈæː	ˈɛ	0.74
ˈæː	ʌ	0.135
ˈøː	ˈoː_d	0.259
ˈøː	ˈao̯	0.253
ˈøː	ˈiə̯	0.116
ˈøː	ˈɛ	0.116
ˈøː	ˈeː	0.1
ˈøː	-	0.089
ˈøː	ˈoː	0.038
ˈœ	ˈiə̯	0.149
ˈœ	ˈo	0.149
ˈœ	ˈoː	0.149
ˈœ	ʋ	0.104
ˈœ	ˈeə̯	0.104
ˈœ	ˈae̯	0.078
ˈœ	ˈe	0.073
ˈœ	ˈao̯	0.058
ˈœ	ˈɪ	0.051
ˈœ	-	0.038
ˈɑ	ˈa	0.614
ˈɑ	ˈa_s	0.104
ˈɑ	ˈaː	0.091
ˈɑ	ˈɔː	0.091
ˈɑ	ˈɛ	0.054
ˈɑ	ˈɔ	0.046
ˈɑː	ˈa	0.6
ˈɑː	ˈaː	0.388
ˈɔ	ˈo	0.401
ˈɔ	ˈa	0.197
ˈɔ	ˈoː	0.111
ˈɔ	ˈe	0.068
ˈɛ	ˈɛ	0.365
ˈɛ	ˈa	0.123
ˈɛ	ˈae̯	0.107
ˈɛ	ˈe	0.1
ˈɛ	ˈəi̯	0.066
ˈɛ	ˈi	0.065
ˈɛ	ˈɔe̯	0.064
ˈɛ	-	0.053
ˈɛ	ˈaː	0.044
ˈɛː	ˈɛ	0.491
ˈɪ	ˈi	0.245
ˈɪ	ˈɪ	0.208
ˈɪ	-	0.137
ˈɪ	ˈe	0.135
ˈɪ	ˈʌ	0.102
ˈɪ	ˈeː	0.089
ˈʉ	ˈo	0.511
ˈʉ	ʋ_ˈo	0.236
ˈʉ	ˈao̯	0.135
ˈʉ	ˈi	0.098
ˈʉː	ˈao̯	0.483
ˈʉː	ˈae̯	0.103
ˈʉː	ˈoː	0.103
ˈʉː	ˈɔ	0.08
ˈʉː	ˈeə̯	0.076
ˈʉː	ˈuə̯	0.063
ˈʉː	ˈuː	0.047
ˈʉː	ˈiː	0.046
ˈʊ	j	0.253
ˈʊ	ˈeː	0.253
ˈʊ	ˈo	0.253
ˈʊ	ˈoː	0.155
ˈʊ	ˈae̯	0.042
ˈʏ	ˈu	0.661
ˈʏ	ˈɪ	0.155
ˈʏ	ˈəi̯	0.1
