Eastphalian	Dutch	probability
#>	#>	1.0
<#	<#	1.0
b	b	0.914
b	p	0.081
d	d	0.639
d	t	0.349
f	v	0.795
f	f	0.203
h	ɦ	1.0
j	χ	0.766
j	j	0.213
k	k	0.969
l	ɫ	0.843
l	ə_ɫ	0.087
l_d	t	1.0
m	m	0.869
m	n	0.125
n	n	0.988
p	p	1.0
r	ɾ	1.0
s	s	0.784
s	z	0.216
t	t	0.96
v	ʋ	0.836
v	v_ə	0.097
v	-	0.059
w	ʋ	0.733
w	ˈʏ	0.265
x	χ	1.0
z	z	0.643
z	s	0.187
z	z_ə	0.155
ç	χ	0.855
ç	ŋ	0.13
ŋ	ŋ	0.882
ŋ	ə	0.116
ɐ	ɾ	1.0
ə	ə	0.702
ə	-	0.283
ə_#>	#>	1.0
ɡ	χ	0.272
ɣ	χ	0.956
ɣ	-	0.058
ɪ	ə	0.723
ɪ	ɪ	0.216
ʃ	s	0.566
ʃ	s_χ	0.423
ˈa	ˈɑ	0.912
ˈa	ˈɛ	0.084
ˈaʊ̯	ˈu	0.859
ˈaʊ̯	ˈɑ	0.14
ˈaː	ˈɑ	0.841
ˈaː	ˈaː	0.118
ˈeo̯	ˈoː	1.0
ˈeː	ˈeː	0.544
ˈeː	ˈaː	0.201
ˈeː	ˈi	0.138
ˈeː	ˈɛ	0.067
ˈiː	ˈɛi̯	0.907
ˈiː	w	0.066
ˈiː	ˈi	0.052
ˈoː	ˈoː	0.799
ˈoː	ˈɔ	0.196
ˈuː	ˈœy̯	0.707
ˈuː	ˈɑu̯	0.119
ˈuː	ˈoː	0.094
ˈuː	ˈɔ	0.076
ˈyː	ˈyː	0.803
ˈyː	ˈœy̯	0.099
ˈøː	ˈoː	0.85
ˈøː	-	0.091
ˈœ	ˈaː	0.361
ˈœ	ˈɛ	0.361
ˈœ	ˈʏ	0.216
ˈɒː	ˈaː	1.0
ˈɔ	ˈɔ	0.642
ˈɔ	ˈɑu̯	0.245
ˈɔ	ˈoː	0.1
ˈɔ_l	ˈɑu̯	0.521
ˈɔʏ̯	ˈu	0.776
ˈɔʏ̯	ˈoː	0.182
ˈɛ	ˈɛ	0.578
ˈɛ	ˈeː	0.194
ˈɛ	-	0.111
ˈɛ	ˈɪ	0.111
ˈɛə̯	ˈɑ	1.0
ˈɛɪ̯	ˈi	0.547
ˈɛɪ̯	ˈeː	0.253
ˈɛɪ̯	ˈɛi̯	0.087
ˈɛɪ̯	w	0.054
ˈɛɪ̯	ˈaː	0.054
ˈɛː	ˈeː	0.299
ˈɛː	ˈaː	0.161
ˈɛː	ˈɑ	0.161
ˈɛː	ˈɛ	0.12
ˈɛː	ˈøː	0.105
ˈɪ	ˈɪ	0.777
ˈɪ	ˈɛ	0.111
ˈɪ	-	0.055
ˈɪ	ˈɛi̯	0.055
ˈʊ	ˈɔ	0.791
ˈʊ	ˈu	0.184
ˈʏ	ˈʏ	0.389
ˈʏ	ˈi	0.161
ˈʏ	ˈɛ	0.145
ˈʏ	ˈœy̯	0.104
ˈʏ	ˈɔ	0.1
