Eastphalian	Dutch	probability
b	b	0.919
b	p	0.077
d	d	0.647
d	t	0.349
f	v	0.795
f	f	0.203
h	ɦ	1.0
j	χ	0.766
j	j	0.213
k	k	0.969
l	ɫ	1.0
l_d	t	1.0
m	m	0.846
m	ə	0.113
n	n	0.961
p	p	1.0
r	ɾ	1.0
s	s	0.784
s	z	0.216
t	t	0.96
v	ʋ	0.836
v	v	0.097
v	-	0.059
w	ʋ	0.733
w	ˈʏ	0.265
x	χ	1.0
z	z	1.0
z_ə	s	1.0
ç	χ	0.855
ç	ŋ	0.13
ŋ	ŋ	0.882
ŋ	ə	0.116
ɐ	ɾ	1.0
ə	-	0.866
ə	ə	0.132
ɡ	χ	0.272
ɣ	χ	0.911
ɣ	-	0.089
ɪ	ə	0.723
ɪ	ɪ	0.216
ʃ	s	0.566
ʃ	s_χ	0.423
ˈa	ˈɑ	0.912
ˈa	ˈɛ	0.084
ˈaʊ̯	ˈu	0.872
ˈaʊ̯	ˈɑ	0.126
ˈaː	ˈɑ	0.841
ˈaː	ˈaː	0.118
ˈeo̯	ˈoː	1.0
ˈeː	ˈeː	0.544
ˈeː	ˈaː	0.201
ˈeː	ˈi	0.138
ˈeː	ˈɛ	0.067
ˈiː	ˈɛi̯	0.907
ˈiː	w	0.066
ˈiː	ˈi	0.052
ˈoː	ˈoː	0.792
ˈoː	ˈɔ	0.203
ˈuː	ˈœy̯	0.772
ˈuː	ˈɑu̯	0.125
ˈuː	ˈoː	0.099
ˈyː	ˈyː	0.803
ˈyː	ˈœy̯	0.099
ˈøː	ˈoː	0.733
ˈøː	-	0.265
ˈœ	ˈaː	0.361
ˈœ	ˈɛ	0.361
ˈœ	ˈʏ	0.216
ˈɒː	ˈaː	1.0
ˈɔ	ˈɔ	0.642
ˈɔ	ˈɑu̯	0.245
ˈɔ	ˈoː	0.1
ˈɔ_l	ˈɑu̯	0.521
ˈɔʏ̯	ˈu	0.776
ˈɔʏ̯	ˈoː	0.182
ˈɛ	ˈɛ	0.578
ˈɛ	ˈeː	0.194
ˈɛ	-	0.111
ˈɛ	ˈɪ	0.111
ˈɛə̯	ˈɑ	1.0
ˈɛɪ̯	ˈi	0.565
ˈɛɪ̯	ˈeː	0.262
ˈɛɪ̯	ˈɛi̯	0.059
ˈɛɪ̯	w	0.056
ˈɛɪ̯	ˈaː	0.056
ˈɛː	ˈeː	0.299
ˈɛː	ˈaː	0.161
ˈɛː	ˈɑ	0.161
ˈɛː	ˈɛ	0.12
ˈɛː	ˈøː	0.105
ˈɪ	ˈɪ	0.743
ˈɪ	ˈɛ	0.106
ˈɪ	ˈɛi̯	0.092
ˈɪ	-	0.053
ˈʊ	ˈɔ	0.813
ˈʊ	ˈu	0.178
ˈʏ	ˈʏ	0.389
ˈʏ	ˈi	0.161
ˈʏ	ˈɛ	0.145
ˈʏ	ˈœy̯	0.104
ˈʏ	ˈɔ	0.1
