Lombard	Venetian	probability
a	a	0.957
ã	a	0.569
ã	e	0.431
b	b	1.0
d	d	0.752
d	-	0.098
d	n	0.085
d	ɡ	0.065
e	e	0.468
e	-	0.206
e	a	0.172
e	ˈe	0.063
e	o	0.06
ẽ	e	1.0
f	f	0.726
f	v_e	0.16
f	v_o	0.1
i	i	0.301
i	a	0.3
i	e	0.3
i	o	0.098
ĩ	i_ŋ	0.693
ĩ	e	0.307
j	j	0.784
j	ʤ_o	0.103
j	-	0.06
j	e	0.054
k	k	0.801
k	ɡ_o	0.108
l	ɰ	0.389
l	l	0.265
l	o	0.187
l	-	0.136
m	m	0.921
n	n	0.991
o	o	1.0
p	p	1.0
r	r	0.823
r	r_o	0.151
s	s	0.618
s	s_o	0.135
s	z	0.11
s	-	0.057
t	t	0.667
t	t_o	0.208
t	d_o	0.074
u	o	0.723
u	-	0.087
u	ˈe	0.073
u	e	0.061
ũ	ŋ	1.0
v	v	1.0
w	w	1.0
y	u	0.786
y	o	0.214
z	z	0.563
z	s	0.437
ɛ	a	0.839
ɛ	ˈa	0.161
ɡ	ɡ	0.915
ɡ	-	0.057
ɲ	ɲ	0.584
ɲ	ɲ_o	0.278
ɲ	ŋ	0.126
ʃ	s	0.641
ʃ	z	0.359
ʋ	v	0.917
ʋ	-	0.083
ʤ	z	0.704
ʤ	ʧ	0.164
ʤ	ʤ	0.066
ʤ	ɲ	0.066
ʦ	z_o	0.408
ʦ	s	0.21
ʦ	z	0.199
ʦ	s_o	0.156
ʧ	s	0.281
ʧ	ʧ_o	0.277
ʧ	ʧ	0.1
ʧ	t	0.094
ʧ	z	0.077
ʧ	t_o	0.073
ʧ	k	0.067
ˈa	ˈa	0.967
ˈaː	ˈa	1.0
ˈãː	ˈa_ŋ	1.0
ˈe	ˈe	0.591
ˈe	ˈɛ	0.137
ˈe	-	0.117
ˈe	j_ˈe	0.062
ˈe	e	0.057
ˈeː	ˈe	1.0
ˈẽː	ˈe_ŋ	0.594
ˈẽː	ˈe	0.315
ˈẽː	ˈa	0.091
ˈi	ˈi	0.965
ˈiː	ˈi	1.0
ˈĩː	ˈi	0.634
ˈĩː	ˈi_ŋ	0.366
ˈo	ˈɔ	1.0
ˈu	ˈo	0.748
ˈu	ˈu	0.131
ˈu	ˈɔ	0.121
ˈuː	ˈa	0.876
ˈuː	ˈo	0.124
ˈũː	ˈo_ŋ	1.0
ˈy	ˈu	0.854
ˈy	ˈe	0.109
ˈyː	ˈo	0.622
ˈyː	ˈu	0.378
ˈỹː	ˈu	1.0
ˈø	ˈɔ	0.68
ˈø	ˈo	0.32
ˈøː	ˈo	0.584
ˈøː	w	0.275
ˈøː	ˈɔ	0.142
ˈɔ	ˈɔ	0.815
ˈɔ	ˈo	0.115
ˈɛ	ˈɛ	0.779
ˈɛ	ˈe	0.145
ˈɛ	e	0.075
ˈɛ̃ː	ˈe_ŋ	1.0
ˈˈi	e	1.0
