Danish	Icelandic	probability
b̥	b̥	0.75
b̥	p	0.165
b̥	ʰp	0.076
d̥	d̥	0.926
d̥	θ	0.069
e	i	0.407
e	ɑu̯	0.089
f	f	1.0
h	h	0.817
h	ç	0.132
i	ʏ	0.574
i	ɛː	0.268
j	j	0.289
j	x	0.134
j	-	0.116
j	ɣ_ʏ	0.101
j	k	0.067
j	ɣ	0.067
j	c	0.053
j	ʏ	0.053
jˀ	ɡ̊	1.0
k	k	0.483
k	c	0.357
k	ʰk	0.151
kʰ	kʰ	0.583
kʰ	cʰ	0.308
kʰ	-	0.099
l	l	0.721
l	l̥	0.204
l	l_ʏ	0.062
lˀ	l̥	0.573
lˀ	l	0.186
lˀ	l_d̥	0.102
lˀ	n	0.089
m	m	0.646
m	m_ʏ	0.31
mˀ	m	1.0
n	n	0.571
n	n̥	0.285
n	nː	0.089
nˀ	n_d̥	0.412
nˀ	nː	0.207
nˀ	nː_ʏ	0.18
nˀ	ð	0.104
nˀ	n̥	0.075
p	p	0.218
s	s	0.923
t	t	0.619
t	ʰt	0.156
t	ʰt_ʏ	0.132
t	-	0.076
v	v	1.0
w	v_a	0.289
w	v_ʏ	0.105
w	ɡ̊	0.105
w	ʏ	0.105
w	-	0.087
w	u	0.076
w	ˈoːu̯	0.076
w	a	0.056
w	ˈœː	0.056
wˀ	p	1.0
ð̞ˠ	ð	0.387
ð̞ˠ	t	0.244
ð̞ˠ	t_ʏ	0.194
ð̞ˠ	ð_ʏ	0.098
ŋ	ŋ	0.826
ŋ	ɲ	0.135
ŋˀ	ŋ_ɡ̊	1.0
ɐ	r̥	0.455
ɐ	ɪ	0.183
ɐ	ð_ɪ	0.093
ɐ	r_t	0.081
ɐ	r_a	0.07
ɐ	r	0.068
ɐˀ	r	0.389
ɐˀ	r_t	0.331
ɐˀ	r_ð	0.266
ə	a	0.652
ə	ɪ	0.14
ə	ʏ	0.063
ɡ̊	ɡ̊	0.509
ɡ̊	ɟ̊	0.246
ɡ̊	ɡ̊ː	0.12
ɡ̊	ɟ̊ː	0.091
ʁ	r	0.91
ʁ	-	0.086
ʋ	v	0.717
ʋ	kʰ	0.182
ʋ	-	0.082
ʦʰ	tʰ	0.513
ʦʰ	θ	0.461
ʨ	θ	1.0
ˈa	ˈa	0.515
ˈa	ˈaː	0.326
ˈa	ˈœ	0.086
ˈa	ˈɛ	0.065
ˈaː	ˈaː	0.467
ˈe	ˈi	0.206
ˈe	ˈɛ	0.194
ˈe	ˈɪ	0.156
ˈe	ˈa	0.088
ˈe	ˈɔ	0.088
ˈe	ˈɛː	0.088
ˈe	ˈɪː	0.088
ˈe	ˈɔu̯	0.064
ˈeˀ	ˈɛi̯	0.152
ˈeˀ	ˈɛː	0.152
ˈeˀ	ˈɛːi̯	0.144
ˈeˀ	ˈɛ	0.115
ˈeˀ	j	0.11
ˈeˀ	ˈɪː	0.087
ˈeˀ	ˈœː	0.065
ˈeˀ	ˈeːi̯	0.063
ˈeˀ	ˈaːi̯	0.05
ˈeː	ˈɑːu̯	0.5
ˈeː	ˈɛ	0.5
ˈi	ˈɪ	0.247
ˈi	ˈʏː	0.247
ˈi	ˈɛː	0.071
ˈiˀ	ˈiː	0.83
ˈiˀ	ˈɪː	0.085
ˈiˀ	ˈɛː	0.061
ˈiː	ˈiː	0.461
ˈiː	j	0.147
ˈiː	ˈɪː	0.139
ˈiː	ˈɛːi̯	0.086
ˈo	ˈɔ	0.687
ˈo	ˈoːu̯	0.176
ˈo	ˈa	0.109
ˈoˀ	ˈoːu̯	0.504
ˈoˀ	ˈiː_r̥	0.203
ˈoˀ	ˈœ	0.085
ˈoˀ	ˈœː	0.083
ˈoˀ	ˈɔu̯	0.083
ˈoː	ˈoːu̯	0.253
ˈoː	ˈœː	0.156
ˈoː	ˈi	0.147
ˈoː	ˈɔ	0.147
ˈoː	ˈɑu̯	0.096
ˈu	ˈʏ	0.313
ˈu	ˈʏ_t	0.313
ˈu	ˈu	0.133
ˈu	ˈʏː	0.133
ˈu	ˈuː	0.089
ˈuˀ	ˈuː	0.608
ˈuˀ	ˈʏː	0.114
ˈuˀ	ˈiː	0.083
ˈuˀ	ˈʏ	0.083
ˈuː	ˈʏ	0.354
ˈuː	ˈʏː	0.077
ˈy	ˈi	0.242
ˈy	ˈu	0.242
ˈy	ˈɪ	0.113
ˈyˀ	j	0.443
ˈyˀ	ˈiː	0.386
ˈyˀ	ˈuː	0.116
ˈyː	j_ˈoːu̯	0.488
ˈyː	ˈu	0.199
ˈyː	ˈuː	0.116
ˈæ	ˈa	0.5
ˈæ	ˈɛ	0.5
ˈæˀ	ˈaː	0.467
ˈø	ˈi	0.308
ˈø	ˈʏ	0.308
ˈøː	ˈɛːi̯	0.461
ˈøː	ˈœːy̯	0.304
ˈøː	ˈœy̯	0.163
ˈœ	ˈɪ	0.426
ˈœ	ˈaːi̯	0.12
ˈœ	ˈɔː	0.12
ˈœ	ˈai̯	0.085
ˈœ	ˈoːu̯	0.085
ˈœ	ˈeːi̯	0.06
ˈœ	ˈœ	0.06
ˈœˀ	ˈœːy̯	0.548
ˈœˀ	ˈai̯	0.141
ˈœˀ	ˈʏ	0.1
ˈœˀ	ˈœ	0.094
ˈœˀ	ˈaːi̯	0.063
ˈœː	ˈaːi̯	0.467
ˈɑ	ˈɑu̯	0.246
ˈɑ	ˈa	0.186
ˈɑ	ˈɛː	0.141
ˈɑ	ˈɪː	0.141
ˈɑ	ˈœ	0.1
ˈɑ	ˈai̯	0.063
ˈɑ	ˈɛ	0.063
ˈɑˀ	ˈa_r	0.715
ˈɑˀ	ˈɛː	0.188
ˈɑː	ˈaː	0.5
ˈɑː	ˈɛː	0.5
ˈɒ	ˈɔ	0.467
ˈɒˀ	ˈɑːu̯	0.218
ˈɒː	ˈɔː	0.66
ˈɒː	ˈɔ	0.144
ˈɔ	ˈu	0.561
ˈɔ	ˈʏ	0.425
ˈɔˀ	ˈɑːu̯	0.409
ˈɔˀ	ˈaːu̯	0.131
ˈɔˀ	u	0.127
ˈɔˀ	ˈɔ	0.087
ˈɔˀ	ˈaːi̯	0.074
ˈɔː	ˈɑːu̯	1.0
ˈɛ	ˈɛ	0.499
ˈɛ	ˈa	0.166
ˈɛ	ˈɔu̯	0.123
ˈɛ	ˈaː	0.081
ˈɛ	ˈɪ	0.06
ˈɛˀ	ˈɛː	0.247
ˈɛˀ	ˈɛːi̯	0.177
ˈɛˀ	ˈaː	0.163
ˈɛˀ	ˈiː	0.071
ˈɛː	ˈaː	0.361
ˈɛː	ˈɛ	0.361
ˈɛː	ˈɛː	0.194
ˈʌ	ˈou̯	0.24
ˈʌ	ˈoːu̯	0.138
ˈʌ	ˈœːy̯	0.138
ˈʌ	ˈœ	0.098
ˈʌ	ˈa	0.089
ˈʌ	ˈaː	0.089
ˈʌ	ˈɔ	0.089
ˈʌˀ	ˈɛːi̯	0.354
ˈʌˀ	ˈɑːu̯	0.077
