Palatine German	Bavarian	probability
β_ə	m	1.0
β_ɐ	β_a	1.0
β	ʋ	1.0
ˈɛ̃ː	-	1.0
ˈɛ_ɐ	ˈi_ɐ	1.0
ˈɑ̃ː	-	1.0
ˈɑ̃ɪ̯	ˈai̯_n	1.0
ˈẽː	ˈeː	1.0
ʣ̥	ʦ	1.0
ɪ_ʃ	ɡ̊	1.0
ɪ	i	1.0
ɐ_d̥	ɐ_d̥	1.0
ŋ	ŋ	1.0
s_ə	s_n	1.0
s	s	1.0
r_ə	d̥_n	1.0
r_ɐ	d̥_a	1.0
r	r	1.0
n_#>	#>	1.0
m	m	1.0
l_d̥	j_d̥	1.0
kʰ_ˈeː	kʰ	1.0
kʰ	kʰ	1.0
j_ə	ŋ	1.0
j	j	1.0
h	h	1.0
f	f	1.0
d̥	d̥	1.0
b̥_#>	#>	1.0
<#_ˈɑ	<#_ˈo	1.0
#>	ɡ̊_#>	1.0
ɡ̊	ɡ̊	0.931
ˈaɪ̯	ˈai̯	0.9
b̥	b̥	0.893
n	n	0.854
x	x	0.846
ˈuː	ˈuɐ̯	0.833
ˈɛ	ˈe	0.818
ʃ	ʃ	0.816
ˈɔ	ˈo	0.812
ˈau̯	ˈau̯	0.8
ˈɪ	ˈi	0.75
ˈu	ˈu	0.733
ˈiː	ˈiɐ̯	0.667
ˈeː	ˈeː	0.667
ʃ_#>	#>	0.667
l	l	0.595
ə	a	0.577
ˈɛː	ˈoɐ̯	0.5
ɐ	a	0.405
l	j	0.405
ɐ	ɐ	0.378
ˈɑ	ˈɑ	0.346
ˈɑː	ˈɒː	0.333
ˈɑː	ˈaː	0.333
ˈeː	ˈoɐ̯	0.333
ʃ_#>	ɡ̊_#>	0.333
ˈoː	ˈoː	0.294
ˈoː	ˈou̯	0.294
ˈu	-	0.267
ˈɑ	ˈo	0.231
ˈɑː	-	0.222
ˈɛː	ˈe	0.214
ˈau̯	-	0.2
ə	n	0.192
ˈɔ	ˈu	0.188
ˈɛ	ˈeː	0.182
ˈoː	-	0.176
ˈuː	ˈu	0.167
ˈiː	ˈi	0.167
ˈiː	-	0.167
ˈɑ	ˈɒː	0.154
ˈɑ	ˈa	0.154
x	ɡ̊	0.154
ˈɪ	ˈu	0.143
ˈɛː	ˈai̯	0.143
ˈɛː	-	0.143
ʃ	x	0.132
ˈoː	ˈɒː	0.118
ˈoː	ˈo	0.118
ˈɑ	ˈɑː	0.115
ˈɑː	ˈɑː	0.111
ˈɪ	ˈiː	0.107
b̥	b̥͡v̥	0.107
ˈaɪ̯	-	0.1
ɐ	r	0.081
ɐ	d̥_a	0.081
ə	ŋ	0.077
ə	d̥_n	0.077
ə	-	0.077
ɡ̊	ɡ̊_a	0.069
n	ŋ	0.062
ɐ	-	0.054
ʃ	ç	0.053
