Fuzhounese	Fuzhounese	probability
⁵⁵	³³	1.0
⁵³	²²	1.0
⁵	³²	1.0
ʦ_w	tʰ	1.0
ʦ_j	ʦ	1.0
ɥ_ʔ	k̚	1.0
ɥ_ŋ	ŋ	1.0
ɥ	j	1.0
ɛ_j	u	1.0
ɔ	a	1.0
ŋ_o	m̩	1.0
ø	ɵ	1.0
w_ʔ	t̚	1.0
w_ɔ	u	1.0
w_ŋ	ŋ	1.0
tʰ	h	1.0
pʰ	pʰ	1.0
p_w	f	1.0
o_w	ɵ	1.0
m	ᵐb	1.0
l̃	l	1.0
j_ʔ	t̚	1.0
j_ŋ	ŋ	1.0
h_w	f	1.0
e_ŋ	n	1.0
a_ŋ	a_m	1.0
<#_ʦʰ	<#	1.0
<#_ŋ	<#_ᵑɡ	1.0
<#_w	<#_v	1.0
<#_t	<#	1.0
<#	<#_ᵑɡ	1.0
#>	²¹_#>	1.0
k	k	0.909
³³	⁵⁵	0.786
²¹³	³³	0.778
²⁴²	³²	0.75
²⁴	⁵⁵	0.722
ʦ	t	0.714
ɑ	a	0.7
w_o	u	0.667
j	j	0.667
ʔ	k̚	0.65
ŋ	n	0.61
y	u_j	0.6
t	ʦ	0.6
e_w	a_w	0.6
e	-	0.6
w	w	0.579
ʦʰ	tʰ	0.556
nˡ	ⁿd	0.556
kʰ	h	0.556
a	a	0.522
u	u	0.5
s	ɬ	0.5
s	s	0.5
o	ɔ	0.5
p	p	0.455
ʦʰ	ʦʰ	0.444
ɛ	e	0.444
nˡ	ᵑɡ	0.444
h	h	0.444
y	-	0.4
t	ʦʰ	0.4
i	i	0.4
i	e_j	0.4
e_w	w	0.4
e	i	0.4
ʔ	t̚	0.35
ŋ	ŋ	0.341
ɛ	a	0.333
w_o	j_a	0.333
o	u	0.333
h	f	0.333
ɑ	ɔ	0.3
u	e	0.3
ʦ	s	0.286
²⁴	³³	0.278
p	pʰ	0.273
p	f	0.273
w	-	0.263
²⁴²	⁵⁵	0.25
ɛ	a_j	0.222
²¹³	j_³³	0.222
kʰ	h_w	0.222
kʰ	f	0.222
h	-	0.222
a	e	0.217
u	-	0.2
i	j	0.2
³³	²¹	0.179
o	a_w	0.167
w	ɔ	0.158
j	i	0.148
a	ɔ	0.13
a	w_ɔ	0.13
j	e	0.111
k	kʰ	0.091
j	-	0.074
