Bavarian	Bavarian	probability
β	β	1.0
ˈɒː	ˈɑ	1.0
ˈɑː	ˈɑ	1.0
ˈɑ	ˈɑ	1.0
ˈuɐ̯	ˈɔː	1.0
ˈou̯	ˈɑu̯	1.0
ˈeɐ̯	ˈɔː	1.0
ˈau̯	ˈuː	1.0
ˈa_n	ɑi̯	1.0
ʦ	t	1.0
ʃ_d̥	s_t	1.0
ɡ̊_s	x_s	1.0
ŋ_ɡ̊	ŋ_k	1.0
ç	-	1.0
x_d̥	x_t	1.0
r	r	1.0
i	-	1.0
h	x	1.0
f_#>	p_ɑ̃_#>	1.0
eɐ̯	e_x	1.0
b̥͡v̥	p	1.0
<#_ˈɑ	<#_ˈɑ	1.0
<#_ʦ	<#_t	1.0
<#_ɡ̊	<#_ɣ	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_kʰ	<#_k	1.0
ʋ	w	0.92
ˈu	ˈu	0.9
ˈoɐ̯	ˈɑi̯	0.857
m	m	0.839
ɐ	r	0.833
n	n	0.82
ˈiɐ̯	ˈeu̯	0.818
f	ɸ	0.818
b̥	b	0.808
ˈi	ˈi	0.741
l	l	0.733
j	l	0.714
ˈe	ˈe	0.7
ˈaː	ˈɑu̯	0.667
ˈa	ˈɑ	0.667
<#_r	<#_r	0.667
ɡ̊	ɣ	0.652
ə	-	0.625
ʃ	s_k	0.619
s	s	0.619
ˈoː	ˈu	0.6
ˈo	ˈu	0.56
<#_d̥	<#_θ	0.519
ˈiː	ˈi	0.5
ˈiː	-	0.5
<#_d̥	<#_d	0.481
ˈai̯	ˈiː	0.476
ŋ	ŋ	0.438
ˈeː	ˈe	0.429
d̥	ð	0.413
ˈoː	ˈɛː	0.4
ʃ	s	0.381
ˈo	ˈɑ	0.36
ˈaː	-	0.333
ˈa	-	0.333
<#_r	<#_x_r	0.333
d̥	θ	0.326
#>	ɑ̃_#>	0.325
ˈe	ˈɑ	0.3
a	ɑ_n	0.289
ˈeː	ˈɑ	0.286
#>	ɑ_z_#>	0.251
ə	u_n	0.25
x	x	0.25
x	k_s	0.25
x	k_i	0.25
x	k	0.25
#>	z_#>	0.246
ˈi	ˈu	0.222
ˈai̯	-	0.19
s	t_ɑ	0.19
s	t	0.19
ŋ	ɣ_ɑ	0.188
ˈiɐ̯	-	0.182
f	p	0.182
ɐ	r_i	0.167
ˈeː	ˈɑu̯	0.143
ˈeː	ˈɑi̯_w	0.143
ˈai̯	ˈiu̯	0.143
j	lː	0.143
j	j	0.143
l	x_l	0.133
l	l_ɑ	0.133
ɡ̊	ɡ_ɑ	0.13
d̥	d_ɑ	0.13
m	β	0.129
ə	ɔːu̯	0.125
ŋ	ɣ_j	0.125
ŋ	ɣ	0.125
ŋ	ɑ_n	0.125
b̥	β_ɑ	0.115
a	ɛː	0.111
a	r_ɑ	0.111
a	r	0.111
ˈu	-	0.1
n	nː	0.1
ˈai̯	ˈi_j	0.095
ˈai̯	ˈi	0.095
a	ɔ̃ː	0.089
ɡ̊	k	0.087
ɡ̊	-	0.087
d̥	d	0.087
ˈo	-	0.08
ʋ	xʷ	0.08
b̥	β	0.077
ˈoɐ̯	ˈĩː	0.071
ˈoɐ̯	jː	0.071
a	e_r	0.067
