Nynorsk Norwegian	Ripuarian	probability
b	b	0.978
b	-	0.036
d	d	0.631
d	t	0.242
d	k	0.066
d	ʦ	0.058
e	-	0.63
e	ɐ	0.244
e	ə	0.064
e	ˈaʊ̯	0.057
f	f	1.0
h	h	0.913
h	k	0.086
j	-	0.391
j	ɣ	0.19
j	ˈɛ	0.15
j	j	0.082
j	l	0.04
k	ɕ	0.463
k	-	0.351
k	x	0.091
k	k	0.067
kʰ	k	0.622
kʰ	-	0.245
kʰ	f	0.091
l	l	0.872
l	ə_l	0.096
l	l_ə	0.035
lː	l	0.558
lː	l_t	0.437
m	m	0.964
m	v	0.037
m	n	0.032
m_j	m	1.0
mː	m	0.238
n	n	0.768
n	-	0.183
n	ŋ	0.048
nː	n	0.536
nː	ŋ_k	0.201
nː	ŋ	0.1
nː	l	0.076
nː	-	0.059
p	f	0.668
p	p	0.326
pʰ	f	1.0
s	ʃ	0.356
s	z	0.342
s	s	0.223
s	-	0.055
s	ɕ	0.028
sː	s	0.488
t	s	0.537
t	t	0.267
t	ʦ	0.125
t	-	0.056
tʰ	d	0.581
tʰ	ʦ	0.385
tʰ	b	0.036
v	ʋ	0.116
ç	k	0.375
ç	d	0.284
ç	ɕ	0.187
ç	t	0.121
çː	ʦ	0.488
ŋ	ɪ	0.238
ŋː	ŋ	1.0
ɑ	ə	0.86
ɑ	-	0.133
ə	n	0.322
ə	m	0.088
ə	ˈeɪ̯	0.049
ɛ	ɐ	0.629
ɛ	-	0.361
ɡ	j	0.313
ɡ	ɕ	0.251
ɡ	-	0.207
ɡ	x	0.116
ɡ	ɣ	0.058
ɡː	k	0.758
ɡː	-	0.18
ɲ	ŋ	1.0
ɾ	ʀ	0.365
ɾ	ɐ	0.327
ɾ	-	0.247
ɾ	d_ɐ	0.044
ʃ	ʃ	0.67
ʃ	z	0.194
ʃ	m	0.041
ʉ	-	1.0
ʋ	ʋ	0.375
ʋ	f	0.255
ʋ	v	0.178
ʋ	-	0.168
ʰkː	ŋ_k	0.74
ʰkː	k	0.133
ʰtː	x	0.639
ʰtː	ɕ	0.359
ˈeː	ˈɛ	0.324
ˈeː	ˈɪ	0.209
ˈeː	ˈɛː	0.182
ˈeː	ˈeː	0.134
ˈeː	ˈeɪ̯	0.067
ˈiː	ˈiː	0.576
ˈiː	ˈe	0.171
ˈiː	ˈɪ	0.087
ˈiː	ˈʏ	0.085
ˈiː	ˈeː	0.042
ˈoː	ˈoː	0.522
ˈoː	ˈɔ	0.147
ˈoː	ˈiː	0.097
ˈoː	ˈøː	0.097
ˈoː	ˈaʊ̯	0.072
ˈuː	ˈoː	0.435
ˈuː	ˈoː_d	0.194
ˈuː	ˈoː_t	0.194
ˈuː	ˈeː	0.073
ˈuː	ʀ	0.062
ˈyː	ˈeː	0.352
ˈyː	ˈyː	0.246
ˈyː	ˈiː	0.163
ˈyː	ˈɔʏ̯	0.163
ˈyː	ˈøː	0.053
ˈæ	ˈɛː	0.116
ˈæɪ̯	ˈeː	0.603
ˈæɪ̯	ˈaː	0.144
ˈæɪ̯	ˈɛ	0.144
ˈæʉ̯	ˈoː	0.323
ˈæʉ̯	ˈuː_t	0.281
ˈæʉ̯	ˈaʊ̯	0.213
ˈæʉ̯	ˈuː	0.162
ˈæːɪ̯	ˈeː	0.238
ˈøː	ˈøː	0.492
ˈøː	ˈiː	0.336
ˈøː	-	0.087
ˈøː	ˈeː	0.04
ˈœ	ˈɪ	0.574
ˈœ	ˈɛː	0.28
ˈœʏ̯	ˈyː	0.166
ˈœʏ̯	ˈøː	0.145
ˈœʏ̯	ˈuː	0.081
ˈɑ	ˈa	0.607
ˈɑ	ˈɛː	0.15
ˈɑ	ˈaː	0.138
ˈɑ	ˈɛ	0.064
ˈɑ	-	0.045
ˈɑː	ˈaː	0.528
ˈɑː	ˈa	0.46
ˈɔ	ˈʊ	0.32
ˈɔ	ˈɔ	0.192
ˈɔ	ˈaː	0.179
ˈɔ	ʋ	0.123
ˈɛ	ˈɛː	0.284
ˈɛ	ˈɛ	0.21
ˈɛ	ˈɪ	0.103
ˈɛ	ˈeɪ̯	0.081
ˈɛ	ˈa	0.078
ˈɛː	ˈɛː	0.37
ˈɛː	ˈɛ	0.088
ˈɪ	ˈe	0.485
ˈɪ	ˈɪ	0.347
ˈɪ	ˈa	0.074
ˈɪ	ʀ	0.068
ˈʉ	ˈɔ	0.447
ˈʉ	ˈo	0.133
ˈʉ	ˈu	0.133
ˈʉ	ˈœ	0.133
ˈʉ	ˈuː	0.093
ˈʉː	ˈuː	0.299
ˈʉː	ˈeː	0.246
ˈʉː	ˈoː	0.168
ˈʉː	ˈaʊ̯	0.146
ˈʉː	ˈɛː	0.059
ˈʊ	ˈo	0.31
ˈʊ	ˈɛ	0.189
ˈʊ	ˈɔ	0.127
ˈʊ	ˈyː	0.087
ˈʊ	ˈʏ	0.085
ˈʊ_ɾ	ˈoː	1.0
ˈʏ	ˈœ	0.33
ˈʏ	ˈɛ	0.152
ˈʏ	ˈiː	0.1
ˈʏ	ˈo	0.1
ˈʏ	ˈɪ	0.1
