Icelandic	Westphalian	probability
a	n	0.78
a	ə	0.212
aːu̯	aɪ̯	1.0
b̥	b	0.982
c	k	0.65
c	-	0.35
cʰ	k	1.0
d̥	d	0.83
d̥	-	0.12
f	f	0.989
h	h	0.919
h	k	0.081
i	n	1.0
j	-	0.562
j	ˈaɪ̯	0.279
j	ˈɛː	0.065
k	k	0.9
k	-	0.1
kʰ	k	0.755
kʰ	-	0.203
l	l	0.974
l̥	l	1.0
m	m	0.985
n	n	0.954
nː	n	0.944
nː	-	0.056
n̥	n	0.359
n̥	-	0.301
n̥	ɐ	0.17
n̥	ə	0.17
p	p	0.728
p	m	0.272
r	r	0.447
r	-	0.304
r	ɐ	0.226
rː̥	ç	1.0
r̥	-	0.857
r̥	ɐ	0.131
s	s	0.58
s	ʃ	0.358
s	z	0.051
sː	s	1.0
t	t	0.727
t	-	0.273
tʰ	t	0.963
u	-	0.5
u	ɪ	0.5
v	v	0.665
v	ʋ	0.15
v	b	0.055
v	-	0.054
x	k	1.0
ç	h	1.0
ð	d	0.685
ð	t	0.223
ð	-	0.092
ŋ	ŋ	0.725
ŋ	-	0.275
ɑu̯	ɪ	1.0
ɛ	-	1.0
ɟ̊	x	0.675
ɟ̊	-	0.325
ɟ̊ː	ɡ	1.0
ɡ̊	-	0.454
ɡ̊	x	0.346
ɡ̊	ç	0.093
ɡ̊	ŋ	0.075
ɡ̊ː	-	0.583
ɡ̊ː	k	0.265
ɡ̊ː	ç	0.152
ɣ	ç	0.266
ɣ	x	0.245
ɣ	ɡ	0.245
ɣ	ɣ	0.245
ɪ	ɐ	0.644
ɪ	-	0.239
ɪ	ə	0.117
ɲ	ŋ	1.0
ʏ	-	0.95
ʏ	ə	0.05
ʰc	k	1.0
ʰk	ŋ_k	0.516
ʰk	k	0.484
ʰp	p	1.0
ʰt	t	0.683
ʰt	x_t	0.142
ʰt	ç	0.127
ˈa	ˈa	0.488
ˈa	ˈɪɛ̯	0.115
ˈa	ˈɛ	0.115
ˈa	-	0.108
ˈa	ˈaː	0.074
ˈa	ˈɔ	0.054
ˈai̯	ˈø	0.404
ˈai̯	ˈʏ	0.361
ˈai̯	ˈøː	0.235
ˈau̯	ˈɛ	0.409
ˈau̯	ˈø	0.234
ˈau̯	ˈɔː	0.234
ˈau̯	ˈa	0.123
ˈaː	ˈa	0.429
ˈaː	ˈaː	0.312
ˈaː	ˈɛ	0.129
ˈaː	ˈɛː	0.129
ˈaːi̯	ˈøː	0.414
ˈaːi̯	ˈa	0.253
ˈaːi̯	ˈɛ	0.253
ˈaːi̯	ˈaʊ̯	0.08
ˈaːu̯	ˈɔː	0.753
ˈaːu̯	ˈeː	0.177
ˈaːu̯	ˈoː	0.07
ˈeːi̯	ˈaɪ̯	1.0
ˈi	ˈɪ	0.802
ˈi	ˈyːœ̯	0.156
ˈiː	ˈiː	0.479
ˈiː	ˈaɪ̯	0.137
ˈiː	ˈɪə̯	0.12
ˈiː	ˈaʊ̯	0.092
ˈiː	ˈɪ	0.063
ˈiː	ˈyː	0.06
ˈou̯	ˈiɛ̯	1.0
ˈoːu̯	-	0.369
ˈoːu̯	ˈoː	0.31
ˈoːu̯	ˈeː	0.198
ˈoːu̯	ˈɛ	0.074
ˈu	ˈʊ	0.906
ˈu	ˈyː	0.052
ˈuː	-	0.466
ˈuː	ˈuː	0.27
ˈuː	ˈʊ	0.204
ˈuː	ŋ	0.061
ˈœ	ˈɛː	0.552
ˈœ	ˈa	0.318
ˈœ	ˈɪ	0.077
ˈœ	ˈaː	0.052
ˈœː	ˈɪə̯	0.425
ˈœː	ˈɪɛ̯	0.219
ˈœː	ˈeː	0.178
ˈœː	ˈɔ	0.178
ˈœːy̯	ˈaʊ̯	1.0
ˈɑu̯	ˈa	1.0
ˈɑːu̯	ˈɔː	0.512
ˈɑːu̯	ˈaʊ̯	0.278
ˈɑːu̯	ˈɪɛ̯	0.105
ˈɑːu̯	-	0.105
ˈɔ	ˈuːə̯	0.768
ˈɔ	ˈɔː	0.169
ˈɔu̯	ˈɪɛ̯	0.534
ˈɔu̯	ˈoː	0.275
ˈɔu̯	ˈa	0.155
ˈɔː	ˈuə̯	0.655
ˈɔː	ˈuːə̯	0.345
ˈɛ	ˈɛ	0.314
ˈɛ	ˈɪɛ̯	0.268
ˈɛ	ˈɪ	0.237
ˈɛ	ˈaɪ̯	0.094
ˈɛi̯	ˈeː	1.0
ˈɛː	ˈiɛ̯	0.288
ˈɛː	-	0.155
ˈɛː	ˈɪə̯	0.129
ˈɛː	ˈɪ	0.124
ˈɛː	ˈɒː	0.103
ˈɛː	ˈiː	0.077
ˈɛː	ˈɛ	0.065
ˈɛː	ˈɪɛ̯	0.06
ˈɛːi̯	ˈeː	0.389
ˈɛːi̯	ˈœː	0.169
ˈɛːi̯	ˈɛ	0.169
ˈɛːi̯	ˈaʊ̯	0.144
ˈɛːi̯	ˈɔː	0.13
ˈɪ	ˈɪ	0.528
ˈɪ	ˈʏ	0.191
ˈɪ	ˈœː	0.112
ˈɪ	ˈɪɛ̯	0.112
ˈɪ	ˈiː	0.058
ˈɪː	ˈøː	0.394
ˈɪː	ˈɪ	0.343
ˈɪː	ˈiɛ̯	0.159
ˈɪː	ˈɪə̯	0.103
ˈʏ	ˈʊ	0.44
ˈʏ	ˈuː	0.161
ˈʏ	v_ˈʊ	0.156
ˈʏ	ˈyə̯	0.083
ˈʏ	ˈyː	0.081
ˈʏ	ˈʏ	0.052
ˈʏː	ˈa	0.378
ˈʏː	ˈyː	0.228
ˈʏː	ˈaɪ̯	0.117
ˈʏː	ˈuːə̯	0.117
ˈʏː	ˈʊ	0.083
ˈʏː	ˈɪɛ̯	0.076
θ	d	0.904
θ	-	0.096
